Year,Units,Series,type of area,federal state,GeoCode,Value
1996,hectre per day,calculated annual values,,,,119.576
1997,hectre per day,calculated annual values,,,,124.252
1998,hectre per day,calculated annual values,,,,130.622
1999,hectre per day,calculated annual values,,,,130.655
2000,hectre per day,calculated annual values,,,,131.098
2001,hectre per day,calculated annual values,,,,121.096
2002,hectre per day,calculated annual values,,,,109.315
2003,hectre per day,calculated annual values,,,,98.904
2004,hectre per day,calculated annual values,,,,131.148
2005,hectre per day,calculated annual values,,,,117.534
2006,hectre per day,calculated annual values,,,,105.753
2007,hectre per day,calculated annual values,,,,96.712
2008,hectre per day,calculated annual values,,,,95.082
2009,hectre per day,calculated annual values,,,,78.082
2010,hectre per day,calculated annual values,,,,76.712
2011,hectre per day,calculated annual values,,,,73.624
2012,hectre per day,calculated annual values,,,,69.349
2013,hectre per day,calculated annual values,,,,70.591
2014,hectre per day,calculated annual values,,,,63.273
2015,hectre per day,calculated annual values,,,,61.012
2016,hectre per day,calculated annual values,,,,51.278
2017,hectre per day,calculated annual values,,,,55.205
2018,hectre per day,calculated annual values,,,,57.997
2019,hectre per day,calculated annual values,,,,45.0
2020,hectre per day,calculated annual values,,,,58.0
1996,hectre per day,calculated annual values,verkehrsfläche,,,23.614
1997,hectre per day,calculated annual values,,,,20.642
1998,hectre per day,calculated annual values,,,,23.302
1999,hectre per day,calculated annual values,,,,23.308
2000,hectre per day,calculated annual values,,,,23.642
2001,hectre per day,calculated annual values,,,,23.0
2002,hectre per day,calculated annual values,,,,22.466
2003,hectre per day,calculated annual values,,,,20.274
2004,hectre per day,calculated annual values,,,,24.59
2005,hectre per day,calculated annual values,,,,25.205
2006,hectre per day,calculated annual values,,,,24.11
2007,hectre per day,calculated annual values,,,,24.384
2008,hectre per day,calculated annual values,,,,21.492
2009,hectre per day,calculated annual values,,,,18.082
2010,hectre per day,calculated annual values,,,,20.548
2011,hectre per day,calculated annual values,,,,16.95
2012,hectre per day,calculated annual values,,,,10.858
2013,hectre per day,calculated annual values,,,,18.52
2014,hectre per day,calculated annual values,,,,23.437
2015,hectre per day,calculated annual values,,,,9.768
2016,hectre per day,calculated annual values,,,,
2017,hectre per day,calculated annual values,,,,8.482
2018,hectre per day,calculated annual values,,,,15.953
2019,hectre per day,calculated annual values,,,,2.0
2020,hectre per day,calculated annual values,,,,6.0
1996,hectre per day,calculated annual values,,,,87.201
1997,hectre per day,calculated annual values,,,,83.405
1998,hectre per day,calculated annual values,,,,86.759
1999,hectre per day,calculated annual values,,,,86.781
2000,hectre per day,calculated annual values,,,,86.926
2001,hectre per day,calculated annual values,,,,69.863
2002,hectre per day,calculated annual values,,,,65.753
2003,hectre per day,calculated annual values,,,,44.932
2004,hectre per day,calculated annual values,,,,60.109
2005,hectre per day,calculated annual values,,,,34.616
2006,hectre per day,calculated annual values,,,,29.589
2007,hectre per day,calculated annual values,,,,39.726
