Year,Units,time series,Value
2014,millions,all objects,7.9
2015,millions,all objects,15.1
2016,millions,all objects,19.7
2017,millions,all objects,22.5
2018,millions,all objects,24.2
2019,millions,all objects,26.4
2020,millions,all objects,33.0
2021,millions,all objects,37.6
2022,millions,all objects,42.3
2014,millions,objects with digitised media,
2015,millions,objects with digitised media,
2016,millions,objects with digitised media,7.7
2017,millions,objects with digitised media,9.1
2018,millions,objects with digitised media,9.7
2019,millions,objects with digitised media,12.1
2020,millions,objects with digitised media,11.0
2021,millions,objects with digitised media,13.3
2022,millions,objects with digitised media,14.9
