Year,Units,Series,Series,Series,Series,Value
2015,percentage,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,
2016,percentage,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,
2017,percentage,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,
2018,percentage,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,
2019,percentage,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,
2020,percentage,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,
2021,percentage,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,12.6
2022,percentage,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,12.8
2024,percentage,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,
2023,percentage,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,
2026,percentage,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,xxxa) anteil nachhaltiger vergabeverfahren,
2015,2015 = 100,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,100.0
2016,2015 = 100,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,99.954
2017,2015 = 100,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,99.679
2018,2015 = 100,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,99.854
2019,2015 = 100,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,100.427
2020,2015 = 100,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,b) co2 emissions of vehicles in the public sector,101.93
