Year,Units,federal state,GeoCode,criminal offences,Value
1993,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,8354.095
1994,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,8062.642
1995,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,8211.891
1996,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,8165.843
1997,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,8078.662
1998,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7923.243
1999,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7742.636
2000,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7691.754
2001,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7811.684
2002,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7977.821
2003,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,8055.254
2004,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,8137.919
2005,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7851.874
2006,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7757.168
2007,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7751.507
2008,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7556.892
2009,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7509.802
2010,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7384.652
2011,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7467.62
2012,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7465.7
2013,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7403.6
2014,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7530.3
2015,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7796.6
2016,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,7754.759
2017,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,6982.4
2018,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,6710.185
2019,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,6548.365
2020,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,6385.513
2021,"per 100,000 inhabitants",Deutschland insgesamt,Straftaten insgesamt,Straftaten insgesamt,6070.42
1993,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,6123.163
1994,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5729.469
1995,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5675.863
1996,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5763.052
1997,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5822.949
1998,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5611.139
1999,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5508.378
2000,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5458.928
2001,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5551.18
2002,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5730.474
2003,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5547.172
2004,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,6220.291
2005,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5883.028
2006,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5794.919
2007,"per 100,000 inhabitants",baden-wuerttemberg,code08,Straftaten insgesamt,5815.19
