Year,Units,Series,federal state,GeoCode,Value
1999,percentage,data from the federal statistical office,,,2.852
2001,percentage,data from the federal statistical office,,,3.573
2002,percentage,data from the federal statistical office,,,
2003,percentage,data from the federal statistical office,,,4.299
2004,percentage,data from the federal statistical office,,,
2005,percentage,data from the federal statistical office,,,4.593
2006,percentage,data from the federal statistical office,,,
2007,percentage,data from the federal statistical office,,,5.079
2008,percentage,data from the federal statistical office,,,
2009,percentage,data from the federal statistical office,,,
2010,percentage,data from the federal statistical office,,,5.636
2011,percentage,data from the federal statistical office,,,
2012,percentage,data from the federal statistical office,,,5.76
2013,percentage,data from the federal statistical office,,,6.04
2014,percentage,data from the federal statistical office,,,6.18
2015,percentage,data from the federal statistical office,,,6.34
2016,percentage,data from the federal statistical office,,,6.82
2017,percentage,data from the federal statistical office,,,6.82
2018,percentage,data from the federal statistical office,,,7.34
2019,percentage,data from the federal statistical office,,,7.75
2020,percentage,data from the federal statistical office,,,9.59
2021,percentage,data from the federal statistical office,,,9.535
2000,percentage,data from the federal statistical office,,,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2001,percentage,data from the federal statistical office,baden-wuerttemberg,code08,6.7
2002,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2003,percentage,data from the federal statistical office,baden-wuerttemberg,code08,6.4
2004,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2005,percentage,data from the federal statistical office,baden-wuerttemberg,code08,6.4
2006,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2007,percentage,data from the federal statistical office,baden-wuerttemberg,code08,6.6
2008,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2009,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2010,percentage,data from the federal statistical office,baden-wuerttemberg,code08,7.0
2011,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2012,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2013,percentage,data from the federal statistical office,baden-wuerttemberg,code08,7.8
2014,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2015,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2016,percentage,data from the federal statistical office,baden-wuerttemberg,code08,9.3
2017,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2018,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2019,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2020,percentage,data from the federal statistical office,baden-wuerttemberg,code08,12.3
2021,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2000,percentage,data from the federal statistical office,baden-wuerttemberg,code08,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,bavaria,code09,
2001,percentage,data from the federal statistical office,bavaria,code09,2.8
2002,percentage,data from the federal statistical office,bavaria,code09,
2003,percentage,data from the federal statistical office,bavaria,code09,3.9
2004,percentage,data from the federal statistical office,bavaria,code09,
2005,percentage,data from the federal statistical office,bavaria,code09,3.9
2006,percentage,data from the federal statistical office,bavaria,code09,
2007,percentage,data from the federal statistical office,bavaria,code09,4.5
2008,percentage,data from the federal statistical office,bavaria,code09,
2009,percentage,data from the federal statistical office,bavaria,code09,
2010,percentage,data from the federal statistical office,bavaria,code09,6.1
2011,percentage,data from the federal statistical office,bavaria,code09,
2012,percentage,data from the federal statistical office,bavaria,code09,
2013,percentage,data from the federal statistical office,bavaria,code09,6.8
2014,percentage,data from the federal statistical office,bavaria,code09,
2015,percentage,data from the federal statistical office,bavaria,code09,
2016,percentage,data from the federal statistical office,bavaria,code09,8.3
2017,percentage,data from the federal statistical office,bavaria,code09,
2018,percentage,data from the federal statistical office,bavaria,code09,
2019,percentage,data from the federal statistical office,bavaria,code09,
2020,percentage,data from the federal statistical office,bavaria,code09,12.1
2021,percentage,data from the federal statistical office,bavaria,code09,
2000,percentage,data from the federal statistical office,bavaria,code09,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,berlin,code11,
2001,percentage,data from the federal statistical office,berlin,code11,
2002,percentage,data from the federal statistical office,berlin,code11,
2003,percentage,data from the federal statistical office,berlin,code11,
2004,percentage,data from the federal statistical office,berlin,code11,
2005,percentage,data from the federal statistical office,berlin,code11,
2006,percentage,data from the federal statistical office,berlin,code11,
2007,percentage,data from the federal statistical office,berlin,code11,
2008,percentage,data from the federal statistical office,berlin,code11,
2009,percentage,data from the federal statistical office,berlin,code11,
2010,percentage,data from the federal statistical office,berlin,code11,12.4
2011,percentage,data from the federal statistical office,berlin,code11,
2012,percentage,data from the federal statistical office,berlin,code11,
2013,percentage,data from the federal statistical office,berlin,code11,15.0
2014,percentage,data from the federal statistical office,berlin,code11,
2015,percentage,data from the federal statistical office,berlin,code11,
2016,percentage,data from the federal statistical office,berlin,code11,15.6
2017,percentage,data from the federal statistical office,berlin,code11,
2018,percentage,data from the federal statistical office,berlin,code11,
2019,percentage,data from the federal statistical office,berlin,code11,
2020,percentage,data from the federal statistical office,berlin,code11,15.8
2021,percentage,data from the federal statistical office,berlin,code11,
2000,percentage,data from the federal statistical office,berlin,code11,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,brandenburg,code12,
2001,percentage,data from the federal statistical office,brandenburg,code12,7.1
2002,percentage,data from the federal statistical office,brandenburg,code12,
2003,percentage,data from the federal statistical office,brandenburg,code12,8.7
2004,percentage,data from the federal statistical office,brandenburg,code12,
2005,percentage,data from the federal statistical office,brandenburg,code12,9.8
2006,percentage,data from the federal statistical office,brandenburg,code12,
2007,percentage,data from the federal statistical office,brandenburg,code12,10.1
2008,percentage,data from the federal statistical office,brandenburg,code12,
2009,percentage,data from the federal statistical office,brandenburg,code12,
2010,percentage,data from the federal statistical office,brandenburg,code12,10.6
2011,percentage,data from the federal statistical office,brandenburg,code12,
2012,percentage,data from the federal statistical office,brandenburg,code12,
2013,percentage,data from the federal statistical office,brandenburg,code12,10.3
2014,percentage,data from the federal statistical office,brandenburg,code12,
2015,percentage,data from the federal statistical office,brandenburg,code12,
2016,percentage,data from the federal statistical office,brandenburg,code12,10.4
2017,percentage,data from the federal statistical office,brandenburg,code12,
2018,percentage,data from the federal statistical office,brandenburg,code12,
2019,percentage,data from the federal statistical office,brandenburg,code12,
2020,percentage,data from the federal statistical office,brandenburg,code12,13.3
2021,percentage,data from the federal statistical office,brandenburg,code12,
2000,percentage,data from the federal statistical office,brandenburg,code12,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,bremen,code04,
2001,percentage,data from the federal statistical office,bremen,code04,
2002,percentage,data from the federal statistical office,bremen,code04,
2003,percentage,data from the federal statistical office,bremen,code04,
2004,percentage,data from the federal statistical office,bremen,code04,
2005,percentage,data from the federal statistical office,bremen,code04,
2006,percentage,data from the federal statistical office,bremen,code04,
2007,percentage,data from the federal statistical office,bremen,code04,
2008,percentage,data from the federal statistical office,bremen,code04,
2009,percentage,data from the federal statistical office,bremen,code04,
2010,percentage,data from the federal statistical office,bremen,code04,9.8
2011,percentage,data from the federal statistical office,bremen,code04,
2012,percentage,data from the federal statistical office,bremen,code04,
2013,percentage,data from the federal statistical office,bremen,code04,11.8
2014,percentage,data from the federal statistical office,bremen,code04,
2015,percentage,data from the federal statistical office,bremen,code04,
2016,percentage,data from the federal statistical office,bremen,code04,17.7
2017,percentage,data from the federal statistical office,bremen,code04,
2018,percentage,data from the federal statistical office,bremen,code04,
2019,percentage,data from the federal statistical office,bremen,code04,
2020,percentage,data from the federal statistical office,bremen,code04,22.7
2021,percentage,data from the federal statistical office,bremen,code04,
2000,percentage,data from the federal statistical office,bremen,code04,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,hamburg,code02,
2001,percentage,data from the federal statistical office,hamburg,code02,
2002,percentage,data from the federal statistical office,hamburg,code02,
2003,percentage,data from the federal statistical office,hamburg,code02,
2004,percentage,data from the federal statistical office,hamburg,code02,
2005,percentage,data from the federal statistical office,hamburg,code02,
2006,percentage,data from the federal statistical office,hamburg,code02,
2007,percentage,data from the federal statistical office,hamburg,code02,
2008,percentage,data from the federal statistical office,hamburg,code02,
2009,percentage,data from the federal statistical office,hamburg,code02,
2010,percentage,data from the federal statistical office,hamburg,code02,6.8
2011,percentage,data from the federal statistical office,hamburg,code02,
2012,percentage,data from the federal statistical office,hamburg,code02,
2013,percentage,data from the federal statistical office,hamburg,code02,6.9
2014,percentage,data from the federal statistical office,hamburg,code02,
2015,percentage,data from the federal statistical office,hamburg,code02,
2016,percentage,data from the federal statistical office,hamburg,code02,8.1
2017,percentage,data from the federal statistical office,hamburg,code02,
2018,percentage,data from the federal statistical office,hamburg,code02,
2019,percentage,data from the federal statistical office,hamburg,code02,
2020,percentage,data from the federal statistical office,hamburg,code02,8.6
2021,percentage,data from the federal statistical office,hamburg,code02,
2000,percentage,data from the federal statistical office,hamburg,code02,
2030.0,percentage,data from the federal statistical office,,,
1999,percentage,data from the federal statistical office,hesse,code06,
2001,percentage,data from the federal statistical office,hesse,code06,6.8
2002,percentage,data from the federal statistical office,hesse,code06,
2003,percentage,data from the federal statistical office,hesse,code06,7.0
2004,percentage,data from the federal statistical office,hesse,code06,
2005,percentage,data from the federal statistical office,hesse,code06,7.0
2006,percentage,data from the federal statistical office,hesse,code06,
2007,percentage,data from the federal statistical office,hesse,code06,7.8
2008,percentage,data from the federal statistical office,hesse,code06,
2009,percentage,data from the federal statistical office,hesse,code06,
2010,percentage,data from the federal statistical office,hesse,code06,9.4
2011,percentage,data from the federal statistical office,hesse,code06,
2012,percentage,data from the federal statistical office,hesse,code06,
2013,percentage,data from the federal statistical office,hesse,code06,10.5
2014,percentage,data from the federal statistical office,hesse,code06,
2015,percentage,data from the federal statistical office,hesse,code06,
2016,percentage,data from the federal statistical office,hesse,code06,11.6
2017,percentage,data from the federal statistical office,hesse,code06,
