Year,Units,time series,xxx,sex,Value
1999,percentage,xxx,,,33.351
2010,percentage,xxx,,,41.37
2011,percentage,xxx,,,42.263
2012,percentage,xxx,,,43.464
2013,percentage,xxx,,,44.518
2014,percentage,xxx,,,45.734
2015,percentage,xxx,,,46.839
2016,percentage,xxx,,,47.908
2017,percentage,xxx,,,48.835
2018,percentage,xxx,,,49.833
2019,percentage,xxx,,,50.488
2020,percentage,xxx,,,52.285
2021,percentage,xxx,,,53.555
2022,percentage,xxx,,,53.4
2023,percentage,xxx,,,56.327
2000,percentage,xxx,,,32.997
2001,percentage,xxx,,,33.172
2002,percentage,xxx,,,33.277
2003,percentage,xxx,,,33.948
2004,percentage,xxx,,,36.221
2005,percentage,xxx,,,36.0
2006,percentage,xxx,,,36.504
2007,percentage,xxx,,,37.638
2008,percentage,xxx,,,38.866
2009,percentage,xxx,,,40.802
2030,percentage,xxx,,,
1999,percentage,xxx,,female,31.358
2010,percentage,xxx,,female,42.746
2011,percentage,xxx,,female,44.361
2012,percentage,xxx,,female,45.984
2013,percentage,xxx,,female,46.843
2014,percentage,xxx,,female,48.374
2015,percentage,xxx,,female,50.493
2016,percentage,xxx,,female,51.329
2017,percentage,xxx,,female,52.64
2018,percentage,xxx,,female,53.827
2019,percentage,xxx,,female,54.411
2020,percentage,xxx,,female,56.649
2021,percentage,xxx,,female,57.167
2022,percentage,xxx,,female,57.353
2023,percentage,xxx,,female,60.244
2000,percentage,xxx,,female,30.88
2001,percentage,xxx,,female,31.088
2002,percentage,xxx,,female,31.291
2003,percentage,xxx,,female,32.233
2004,percentage,xxx,,female,34.654
2005,percentage,xxx,,female,34.992
2006,percentage,xxx,,female,36.482
2007,percentage,xxx,,female,38.032
2008,percentage,xxx,,female,39.689
2009,percentage,xxx,,female,42.199
1999,percentage,xxx,,male,35.172
2010,percentage,xxx,,male,40.016
2011,percentage,xxx,,male,40.109
2012,percentage,xxx,,male,40.903
2013,percentage,xxx,,male,42.229
2014,percentage,xxx,,male,42.906
2015,percentage,xxx,,male,43.075
2016,percentage,xxx,,male,44.598
2017,percentage,xxx,,male,45.188
2018,percentage,xxx,,male,46.02
2019,percentage,xxx,,male,46.764
2020,percentage,xxx,,male,48.319
2021,percentage,xxx,,male,49.586
2022,percentage,xxx,,male,49.666
2023,percentage,xxx,,male,52.616
2000,percentage,xxx,,male,35.042
2001,percentage,xxx,,male,35.23
2002,percentage,xxx,,male,35.233
2003,percentage,xxx,,male,35.467
2004,percentage,xxx,,male,37.722
2005,percentage,xxx,,male,36.975
2006,percentage,xxx,,male,36.526
2007,percentage,xxx,,male,37.256
2008,percentage,xxx,,male,37.854
2009,percentage,xxx,,male,39.223
1999,percentage,,xxx,,8.55
2010,percentage,,xxx,,11.56
2011,percentage,,xxx,,11.558
2012,percentage,,xxx,,11.543
2013,percentage,,xxx,,11.409
2014,percentage,,xxx,,14.326
2015,percentage,,xxx,,14.536
2016,percentage,,xxx,,14.797
2017,percentage,,xxx,,14.836
2018,percentage,,xxx,,14.907
2019,percentage,,xxx,,14.973
2020,percentage,,xxx,,15.756
2021,percentage,,xxx,,14.546
2022,percentage,,xxx,,14.325
2023,percentage,,xxx,,15.255
2000,percentage,,xxx,,7.666
2001,percentage,,xxx,,8.12
2002,percentage,,xxx,,8.206
2003,percentage,,xxx,,8.873
2004,percentage,,xxx,,9.464
2005,percentage,,xxx,,9.929
2006,percentage,,xxx,,10.656
2007,percentage,,xxx,,11.136
2008,percentage,,xxx,,11.191
2009,percentage,,xxx,,11.368
1999,percentage,,xxx,female,
2010,percentage,,xxx,female,13.04
2011,percentage,,xxx,female,12.903
2012,percentage,,xxx,female,13.183
2013,percentage,,xxx,female,12.814
2014,percentage,,xxx,female,17.633
2015,percentage,,xxx,female,18.226
2016,percentage,,xxx,female,18.417
2017,percentage,,xxx,female,18.449
2018,percentage,,xxx,female,18.492
2019,percentage,,xxx,female,18.438
2020,percentage,,xxx,female,19.419
2021,percentage,,xxx,female,17.977
2022,percentage,,xxx,female,17.255
2023,percentage,,xxx,female,18.391
2000,percentage,,xxx,female,9.1
2001,percentage,,xxx,female,
2002,percentage,,xxx,female,
2003,percentage,,xxx,female,9.703
2004,percentage,,xxx,female,10.396
2005,percentage,,xxx,female,10.87
2006,percentage,,xxx,female,12.066
2007,percentage,,xxx,female,12.365
2008,percentage,,xxx,female,12.744
2009,percentage,,xxx,female,13.059
1999,percentage,,xxx,male,
2010,percentage,,xxx,male,10.105
2011,percentage,,xxx,male,10.239
2012,percentage,,xxx,male,9.94
2013,percentage,,xxx,male,10.026
2014,percentage,,xxx,male,11.033
2015,percentage,,xxx,male,10.935
2016,percentage,,xxx,male,11.297
2017,percentage,,xxx,male,11.372
2018,percentage,,xxx,male,11.485
2019,percentage,,xxx,male,11.683
2020,percentage,,xxx,male,12.264
2021,percentage,,xxx,male,11.335
2022,percentage,,xxx,male,11.556
2023,percentage,,xxx,male,12.285
2000,percentage,,xxx,male,6.282
2001,percentage,,xxx,male,
2002,percentage,,xxx,male,
2003,percentage,,xxx,male,8.088
2004,percentage,,xxx,male,8.572
2005,percentage,,xxx,male,9.018
2006,percentage,,xxx,male,9.274
2007,percentage,,xxx,male,9.942
2008,percentage,,xxx,male,9.657
2009,percentage,,xxx,male,9.695
1999,percentage,,xxx,,10.043
2010,percentage,,xxx,,7.965
2011,percentage,,xxx,,9.987
2012,percentage,,xxx,,10.0
2013,percentage,,xxx,,9.449
2014,percentage,,xxx,,4.846
2015,percentage,,xxx,,4.99
2016,percentage,,xxx,,4.982
2017,percentage,,xxx,,5.384
2018,percentage,,xxx,,5.502
2019,percentage,,xxx,,5.442
2020,percentage,,xxx,,6.478
2021,percentage,,xxx,,7.246
2022,percentage,,xxx,,7.306
2023,percentage,,xxx,,6.986
2000,percentage,,xxx,,10.298
2001,percentage,,xxx,,9.434
2002,percentage,,xxx,,9.594
2003,percentage,,xxx,,8.973
2004,percentage,,xxx,,9.322
2005,percentage,,xxx,,8.395
2006,percentage,,xxx,,7.852
2007,percentage,,xxx,,7.318
2008,percentage,,xxx,,7.331
2009,percentage,,xxx,,7.447
1999,percentage,,xxx,female,
2010,percentage,,xxx,female,7.551
2011,percentage,,xxx,female,10.477
2012,percentage,,xxx,female,10.372
2013,percentage,,xxx,female,9.931
2014,percentage,,xxx,female,3.468
2015,percentage,,xxx,female,3.678
2016,percentage,,xxx,female,3.726
2017,percentage,,xxx,female,3.955
2018,percentage,,xxx,female,4.282
2019,percentage,,xxx,female,4.016
2020,percentage,,xxx,female,5.214
2021,percentage,,xxx,female,5.661
2022,percentage,,xxx,female,5.645
2023,percentage,,xxx,female,5.362
2000,percentage,,xxx,female,9.033
2001,percentage,,xxx,female,
2002,percentage,,xxx,female,
2003,percentage,,xxx,female,8.205
2004,percentage,,xxx,female,8.513
2005,percentage,,xxx,female,7.528
2006,percentage,,xxx,female,7.131
2007,percentage,,xxx,female,6.83
2008,percentage,,xxx,female,6.782
2009,percentage,,xxx,female,7.175
1999,percentage,,xxx,male,
2010,percentage,,xxx,male,8.371
2011,percentage,,xxx,male,9.506
2012,percentage,,xxx,male,9.637
