Year,Units,Series,federal state,GeoCode,county,Value
2006,percentage,all-day care provision for 0 to 2-year-old children,,,,5.87
2007,percentage,all-day care provision for 0 to 2-year-old children,,,,6.521
2008,percentage,all-day care provision for 0 to 2-year-old children,,,,7.313
2009,percentage,all-day care provision for 0 to 2-year-old children,,,,8.669
2010,percentage,all-day care provision for 0 to 2-year-old children,,,,10.167
2011,percentage,all-day care provision for 0 to 2-year-old children,,,,11.344
2012,percentage,all-day care provision for 0 to 2-year-old children,,,,12.745
2013,percentage,all-day care provision for 0 to 2-year-old children,,,,13.718
2014,percentage,all-day care provision for 0 to 2-year-old children,,,,15.306
2015,percentage,all-day care provision for 0 to 2-year-old children,,,,15.919
2016,percentage,all-day care provision for 0 to 2-year-old children,,,,16.158
2017,percentage,all-day care provision for 0 to 2-year-old children,,,,16.231
2018,percentage,all-day care provision for 0 to 2-year-old children,,,,16.528
2019,percentage,all-day care provision for 0 to 2-year-old children,,,,16.914
2020,percentage,all-day care provision for 0 to 2-year-old children,,,,17.096
2021,percentage,all-day care provision for 0 to 2-year-old children,,,,16.461
2022,percentage,all-day care provision for 0 to 2-year-old children,,,,16.803
2006,percentage,all-day care provision for 0 to 2-year-old children,,,,5.87
2007,percentage,all-day care provision for 0 to 2-year-old children,,,,6.521
2008,percentage,all-day care provision for 0 to 2-year-old children,,,,7.313
2009,percentage,all-day care provision for 0 to 2-year-old children,,,,8.669
2010,percentage,all-day care provision for 0 to 2-year-old children,,,,10.167
2011,percentage,all-day care provision for 0 to 2-year-old children,,,,11.344
2012,percentage,all-day care provision for 0 to 2-year-old children,,,,12.745
2013,percentage,all-day care provision for 0 to 2-year-old children,,,,13.718
2014,percentage,all-day care provision for 0 to 2-year-old children,,,,15.306
2015,percentage,all-day care provision for 0 to 2-year-old children,,,,15.919
2016,percentage,all-day care provision for 0 to 2-year-old children,,,,16.158
2017,percentage,all-day care provision for 0 to 2-year-old children,,,,16.231
2018,percentage,all-day care provision for 0 to 2-year-old children,,,,16.528
