Year,Units,federal state,GeoCode,Value
2008,percentage,,,21.2
2009,percentage,,,24.0
2010,percentage,,,25.9
2011,percentage,,,28.0
2012,percentage,,,30.0
2013,percentage,,,32.6
2014,percentage,,,34.8
2015,percentage,,,36.9
2016,percentage,,,38.8
2017,percentage,,,40.4
2018,percentage,,,42.1
2019,percentage,,,43.5
2008,percentage,baden-wuerttemberg,code08,20.6
2009,percentage,,,24.6
2010,percentage,,,27.4
2011,percentage,,,30.5
2012,percentage,,,33.4
2013,percentage,,,36.7
2014,percentage,,,39.2
2015,percentage,,,40.9
2016,percentage,,,42.2
2017,percentage,,,43.7
2018,percentage,,,45.4
2019,percentage,,,46.7
2008,percentage,,,27.4
2009,percentage,,,30.7
2010,percentage,,,33.5
2011,percentage,,,36.5
2012,percentage,,,38.6
2013,percentage,,,40.5
2014,percentage,,,42.2
2015,percentage,,,44.8
2016,percentage,,,46.5
2017,percentage,,,47.7
2018,percentage,,,49.3
2019,percentage,,,50.7
2008,percentage,,,27.5
2009,percentage,,,30.7
2010,percentage,,,32.2
2011,percentage,,,33.7
2012,percentage,,,35.5
2013,percentage,,,37.9
2014,percentage,,,39.7
2015,percentage,,,40.9
2016,percentage,,,42.9
2017,percentage,,,43.8
2018,percentage,,,45.2
2019,percentage,,,46.1
2008,percentage,,,25.5
2009,percentage,,,27.3
2010,percentage,,,28.1
2011,percentage,,,30.2
2012,percentage,,,32.4
2013,percentage,,,34.8
2014,percentage,,,36.6
2015,percentage,,,40.0
2016,percentage,,,42.5
2017,percentage,,,44.9
2018,percentage,,,45.8
2019,percentage,,,48.4
2008,percentage,,,18.3
2009,percentage,,,19.9
2010,percentage,,,19.3
2011,percentage,,,21.7
2012,percentage,,,22.9
2013,percentage,,,25.8
2014,percentage,,,27.1
2015,percentage,,,28.1
2016,percentage,,,31.0
2017,percentage,,,33.4
2018,percentage,,,35.0
2019,percentage,,,36.3
2008,percentage,,,22.9
2009,percentage,,,27.4
2010,percentage,,,28.5
2011,percentage,,,31.1
2012,percentage,,,33.7
2013,percentage,,,36.2
2014,percentage,,,38.0
2015,percentage,,,40.2
2016,percentage,,,41.0
2017,percentage,,,42.5
2018,percentage,,,44.8
2019,percentage,,,45.9
2008,percentage,,,20.3
2009,percentage,,,23.3
2010,percentage,,,25.3
2011,percentage,,,27.2
2012,percentage,,,29.4
2013,percentage,,,30.8
2014,percentage,,,33.1
2015,percentage,,,34.4
2016,percentage,,,35.8
2017,percentage,,,37.3
2018,percentage,,,38.5
2019,percentage,,,38.9
2008,percentage,,,20.5
2009,percentage,,,23.3
2010,percentage,,,23.5
2011,percentage,,,21.3
2012,percentage,,,25.3
2013,percentage,,,26.5
2014,percentage,,,28.0
2015,percentage,,,31.2
2016,percentage,,,35.2
2017,percentage,,,36.5
2018,percentage,,,38.4
2019,percentage,,,39.9
2008,percentage,,,19.5
2009,percentage,,,21.6
2010,percentage,,,23.2
2011,percentage,,,25.3
2012,percentage,,,26.9
2013,percentage,,,29.3
2014,percentage,,,31.5
2015,percentage,,,34.5
2016,percentage,,,36.7
2017,percentage,,,38.4
2018,percentage,,,40.6
2019,percentage,,,42.9
2008,percentage,,,16.8
2009,percentage,,,18.5
2010,percentage,,,19.7
2011,percentage,,,20.9
2012,percentage,,,22.0
2013,percentage,,,25.6
2014,percentage,,,27.5
2015,percentage,,,29.4
2016,percentage,,,31.7
2017,percentage,,,33.4
2018,percentage,,,35.3
2019,percentage,,,36.7
2008,percentage,,,17.5
2009,percentage,,,20.1
2010,percentage,,,21.7
2011,percentage,,,23.6
2012,percentage,,,25.0
2013,percentage,,,27.3
2014,percentage,,,30.3
2015,percentage,,,31.9
2016,percentage,,,33.5
2017,percentage,,,35.0
2018,percentage,,,37.0
2019,percentage,,,39.4
2008,percentage,,,12.9
2009,percentage,,,14.6
2010,percentage,,,16.4
2011,percentage,,,18.8
2012,percentage,,,19.1
2013,percentage,,,21.0
2014,percentage,,,24.1
2015,percentage,,,25.3
2016,percentage,,,28.5
2017,percentage,,,28.4
2018,percentage,,,29.2
2019,percentage,,,32.2
2008,percentage,,,26.9
2009,percentage,,,31.0
2010,percentage,,,33.0
2011,percentage,,,36.0
2012,percentage,,,38.5
2013,percentage,,,41.1
2014,percentage,,,44.7
2015,percentage,,,47.5
2016,percentage,,,49.1
2017,percentage,,,51.9
2018,percentage,,,53.5
2019,percentage,,,54.8
2008,percentage,,,17.6
2009,percentage,,,17.9
2010,percentage,,,20.1
2011,percentage,,,22.2
2012,percentage,,,23.2
2013,percentage,,,25.9
2014,percentage,,,28.6
2015,percentage,,,31.7
2016,percentage,,,35.1
2017,percentage,,,36.8
2018,percentage,,,38.8
2019,percentage,,,40.1
2008,percentage,,,18.4
2009,percentage,,,19.9
2010,percentage,,,22.0
2011,percentage,,,24.0
2012,percentage,,,24.7
2013,percentage,,,27.0
2014,percentage,,,29.4
2015,percentage,,,30.8
2016,percentage,,,33.4
2017,percentage,,,34.6
2018,percentage,,,36.5
2019,percentage,,,37.9
2008,percentage,,,25.0
2009,percentage,,,28.4
2010,percentage,,,29.4
2011,percentage,,,32.1
2012,percentage,,,34.6
2013,percentage,,,37.0
2014,percentage,,,40.6
2015,percentage,,,43.3
2016,percentage,,,45.2
2017,percentage,,,47.6
2018,percentage,,,49.1
2019,percentage,,,50.2
