Year,Units,Series,federal state,GeoCode,Value
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,99.68
2010,2008 = 100,final energy productivity,,,96.66
2011,2008 = 100,final energy productivity,,,105.29
2012,2008 = 100,final energy productivity,,,105.29
2013,2008 = 100,final energy productivity,,,102.76
2014,2008 = 100,final energy productivity,,,110.82
2015,2008 = 100,final energy productivity,,,109.96
2016,2008 = 100,final energy productivity,,,110.26
2017,2008 = 100,final energy productivity,,,111.75
2018,2008 = 100,final energy productivity,,,116.34
2019,2008 = 100,final energy productivity,,,116.92
2020,2008 = 100,final energy productivity,,,120.04
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,baden-wuerttemberg,code08,100.0
2009,2008 = 100,final energy productivity,,,95.56
2010,2008 = 100,final energy productivity,,,100.38
2011,2008 = 100,final energy productivity,,,109.6
2012,2008 = 100,final energy productivity,,,111.95
2013,2008 = 100,final energy productivity,,,107.65
2014,2008 = 100,final energy productivity,,,117.24
2015,2008 = 100,final energy productivity,,,116.7
2016,2008 = 100,final energy productivity,,,115.33
2017,2008 = 100,final energy productivity,,,119.71
2018,2008 = 100,final energy productivity,,,121.65
2019,2008 = 100,final energy productivity,,,117.75
2020,2008 = 100,final energy productivity,,,123.69
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,98.7
2010,2008 = 100,final energy productivity,,,96.32
2011,2008 = 100,final energy productivity,,,103.17
2012,2008 = 100,final energy productivity,,,104.63
2013,2008 = 100,final energy productivity,,,104.95
2014,2008 = 100,final energy productivity,,,112.9
2015,2008 = 100,final energy productivity,,,112.09
2016,2008 = 100,final energy productivity,,,111.26
2017,2008 = 100,final energy productivity,,,114.29
2018,2008 = 100,final energy productivity,,,113.39
2019,2008 = 100,final energy productivity,,,112.21
2020,2008 = 100,final energy productivity,,,
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,98.34
2010,2008 = 100,final energy productivity,,,93.1
2011,2008 = 100,final energy productivity,,,108.4
2012,2008 = 100,final energy productivity,,,107.01
2013,2008 = 100,final energy productivity,,,104.41
2014,2008 = 100,final energy productivity,,,115.02
2015,2008 = 100,final energy productivity,,,121.51
2016,2008 = 100,final energy productivity,,,124.0
2017,2008 = 100,final energy productivity,,,129.42
2018,2008 = 100,final energy productivity,,,135.5
2019,2008 = 100,final energy productivity,,,141.02
2020,2008 = 100,final energy productivity,,,154.73
2021,2008 = 100,final energy productivity,,,
2008,2008 = 100,final energy productivity,,,100.0
2009,2008 = 100,final energy productivity,,,99.37
2010,2008 = 100,final energy productivity,,,95.55
2011,2008 = 100,final energy productivity,,,100.24
2012,2008 = 100,final energy productivity,,,99.11
2013,2008 = 100,final energy productivity,,,97.89
2014,2008 = 100,final energy productivity,,,104.0
2015,2008 = 100,final energy productivity,,,107.39
2016,2008 = 100,final energy productivity,,,104.26
2017,2008 = 100,final energy productivity,,,104.0
2018,2008 = 100,final energy productivity,,,103.29
2019,2008 = 100,final energy productivity,,,109.04
2020,2008 = 100,final energy productivity,,,
