Year,Units,federal state,GeoCode,Value
2005,percentage,,,10.3
2006,percentage,,,11.7
2007,percentage,,,14.3
2008,percentage,,,15.2
2009,percentage,,,16.5
2010,percentage,,,17.1
2011,percentage,,,20.4
2012,percentage,,,23.6
2013,percentage,,,25.1
2014,percentage,,,27.3
2015,percentage,,,31.4
2016,percentage,,,31.6
2017,percentage,,,36.0
2018,percentage,,,37.6
2019,percentage,,,41.9
2020,percentage,,,45.2
2021,percentage,,,41.1
2005,percentage,baden-wuerttemberg,code08,8.77
2006,percentage,,,10.26
2007,percentage,,,11.48
2008,percentage,,,11.63
2009,percentage,,,12.33
2010,percentage,,,13.95
2011,percentage,,,15.47
2012,percentage,,,18.3
2013,percentage,,,19.12
2014,percentage,,,19.99
2015,percentage,,,20.14
2016,percentage,,,21.37
2017,percentage,,,22.72
2018,percentage,,,23.01
2019,percentage,,,24.59
2020,percentage,,,27.39
2021,percentage,,,
2005,percentage,,,18.45
2006,percentage,,,20.05
2007,percentage,,,22.14
2008,percentage,,,22.64
2009,percentage,,,24.65
2010,percentage,,,26.42
2011,percentage,,,27.67
2012,percentage,,,35.25
2013,percentage,,,37.1
2014,percentage,,,38.37
2015,percentage,,,40.33
2016,percentage,,,42.26
2017,percentage,,,44.36
2018,percentage,,,42.29
2019,percentage,,,45.78
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,0.74
2006,percentage,,,0.81
2007,percentage,,,0.83
2008,percentage,,,
2009,percentage,,,
2010,percentage,,,2.35
2011,percentage,,,2.39
2012,percentage,,,1.7
2013,percentage,,,1.89
2014,percentage,,,2.17
2015,percentage,,,2.47
2016,percentage,,,2.47
2017,percentage,,,2.72
2018,percentage,,,2.7
2019,percentage,,,2.73
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,22.21
2006,percentage,,,28.18
2007,percentage,,,38.86
2008,percentage,,,37.65
2009,percentage,,,40.99
2010,percentage,,,48.26
2011,percentage,,,54.48
2012,percentage,,,55.82
2013,percentage,,,59.34
2014,percentage,,,62.18
2015,percentage,,,68.97
2016,percentage,,,69.93
2017,percentage,,,82.26
2018,percentage,,,84.48
2019,percentage,,,94.96
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,3.91
2006,percentage,,,4.2
2007,percentage,,,5.02
2008,percentage,,,5.8
2009,percentage,,,6.07
2010,percentage,,,7.1
2011,percentage,,,8.8
2012,percentage,,,9.94
2013,percentage,,,13.16
2014,percentage,,,13.92
2015,percentage,,,15.08
2016,percentage,,,13.94
2017,percentage,,,14.8
2018,percentage,,,14.72
2019,percentage,,,16.28
2020,percentage,,,17.97
2021,percentage,,,
2005,percentage,,,1.32
2006,percentage,,,2.74
2007,percentage,,,2.68
2008,percentage,,,2.73
2009,percentage,,,2.91
2010,percentage,,,2.63
2011,percentage,,,2.82
2012,percentage,,,2.94
2013,percentage,,,2.81
2014,percentage,,,3.68
2015,percentage,,,3.83
2016,percentage,,,3.3
2017,percentage,,,3.73
2018,percentage,,,4.51
2019,percentage,,,4.82
2020,percentage,,,4.88
2021,percentage,,,
2005,percentage,,,3.79
2006,percentage,,,4.22
2007,percentage,,,5.4
2008,percentage,,,5.53
2009,percentage,,,6.71
2010,percentage,,,7.86
2011,percentage,,,9.68
2012,percentage,,,11.07
2013,percentage,,,12.52
2014,percentage,,,14.18
2015,percentage,,,16.38
2016,percentage,,,16.9
2017,percentage,,,19.47
2018,percentage,,,22.3
2019,percentage,,,22.72
2020,percentage,,,24.81
2021,percentage,,,
2005,percentage,,,
2006,percentage,,,
2007,percentage,,,
2008,percentage,,,
2009,percentage,,,
2010,percentage,,,56.67
2011,percentage,,,72.87
2012,percentage,,,90.19
2013,percentage,,,61.07
2014,percentage,,,63.33
2015,percentage,,,
2016,percentage,,,
2017,percentage,,,
2018,percentage,,,
2019,percentage,,,
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,
2006,percentage,,,18.63
2007,percentage,,,
2008,percentage,,,26.25
2009,percentage,,,26.6
2010,percentage,,,27.23
2011,percentage,,,33.84
2012,percentage,,,39.51
2013,percentage,,,40.3
2014,percentage,,,44.83
2015,percentage,,,54.28
2016,percentage,,,55.72
2017,percentage,,,68.11
2018,percentage,,,72.53
2019,percentage,,,82.9
2020,percentage,,,92.04
2021,percentage,,,
2005,percentage,,,5.7
2006,percentage,,,5.85
2007,percentage,,,6.14
2008,percentage,,,4.71
2009,percentage,,,8.03
2010,percentage,,,7.88
2011,percentage,,,8.9
2012,percentage,,,10.84
2013,percentage,,,10.15
2014,percentage,,,10.47
2015,percentage,,,12.58
2016,percentage,,,12.29
2017,percentage,,,13.75
2018,percentage,,,14.18
2019,percentage,,,16.7
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,7.91
2006,percentage,,,10.16
2007,percentage,,,12.58
2008,percentage,,,13.02
2009,percentage,,,14.52
2010,percentage,,,15.29
2011,percentage,,,16.81
2012,percentage,,,20.59
2013,percentage,,,23.1
2014,percentage,,,25.43
2015,percentage,,,30.73
2016,percentage,,,31.23
2017,percentage,,,33.94
2018,percentage,,,34.94
2019,percentage,,,38.12
2020,percentage,,,41.25
2021,percentage,,,
2005,percentage,,,3.23
2006,percentage,,,4.22
2007,percentage,,,5.3
2008,percentage,,,4.66
2009,percentage,,,4.92
2010,percentage,,,5.66
2011,percentage,,,6.53
2012,percentage,,,6.6
2013,percentage,,,7.61
2014,percentage,,,10.22
2015,percentage,,,13.08
2016,percentage,,,
2017,percentage,,,
2018,percentage,,,
2019,percentage,,,
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,7.87
2006,percentage,,,8.51
2007,percentage,,,11.53
2008,percentage,,,11.99
2009,percentage,,,12.92
2010,percentage,,,12.71
2011,percentage,,,15.29
2012,percentage,,,16.08
2013,percentage,,,17.28
2014,percentage,,,18.28
2015,percentage,,,20.7
2016,percentage,,,19.76
2017,percentage,,,21.37
2018,percentage,,,21.2
2019,percentage,,,22.78
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,18.95
2006,percentage,,,22.89
2007,percentage,,,34.35
2008,percentage,,,38.97
2009,percentage,,,42.29
2010,percentage,,,41.95
2011,percentage,,,49.6
2012,percentage,,,53.88
2013,percentage,,,57.08
2014,percentage,,,62.21
2015,percentage,,,71.93
2016,percentage,,,61.92
2017,percentage,,,70.98
2018,percentage,,,67.77
2019,percentage,,,76.22
2020,percentage,,,
2021,percentage,,,
2005,percentage,,,22.72
2006,percentage,,,23.45
2007,percentage,,,31.16
2008,percentage,,,36.45
2009,percentage,,,39.21
2010,percentage,,,42.21
2011,percentage,,,54.15
2012,percentage,,,61.87
2013,percentage,,,62.9
2014,percentage,,,75.77
2015,percentage,,,110.66
2016,percentage,,,121.4
2017,percentage,,,147.89
2018,percentage,,,137.57
2019,percentage,,,150.06
2020,percentage,,,155.68
2021,percentage,,,
2005,percentage,,,11.08
2006,percentage,,,12.29
2007,percentage,,,17.81
2008,percentage,,,17.97
2009,percentage,,,19.81
2010,percentage,,,19.53
2011,percentage,,,23.57
2012,percentage,,,25.62
2013,percentage,,,28.91
2014,percentage,,,30.13
2015,percentage,,,33.98
2016,percentage,,,34.26
2017,percentage,,,39.74
2018,percentage,,,39.46
2019,percentage,,,42.44
2020,percentage,,,
2021,percentage,,,
