Year,Units,federal state,GeoCode,Value
1991,percentage,,,24.891
1992,percentage,,,25.201
1993,percentage,,,24.056
1994,percentage,,,24.141
1995,percentage,,,23.539
1996,percentage,,,23.027
1997,percentage,,,22.651
1998,percentage,,,22.798
1999,percentage,,,23.039
2000,percentage,,,23.114
2001,percentage,,,21.778
2002,percentage,,,20.122
2003,percentage,,,19.523
2004,percentage,,,19.091
2005,percentage,,,19.077
2006,percentage,,,19.803
2007,percentage,,,20.057
2008,percentage,,,20.303
2009,percentage,,,19.268
2010,percentage,,,19.543
2011,percentage,,,20.371
2012,percentage,,,20.321
2013,percentage,,,19.901
2014,percentage,,,20.04
2015,percentage,,,20.02
2016,percentage,,,20.298
2017,percentage,,,20.411
2018,percentage,,,21.065
2019,percentage,,,21.374
2020,percentage,,,21.617
2021,percentage,,,21.762
1991,percentage,baden-wuerttemberg,code08,24.71
1992,percentage,,,24.33
1993,percentage,,,23.07
1994,percentage,,,21.77
1995,percentage,,,20.41
1996,percentage,,,20.32
1997,percentage,,,19.56
1998,percentage,,,20.07
1999,percentage,,,20.33
2000,percentage,,,21.21
2001,percentage,,,21.57
2002,percentage,,,20.47
2003,percentage,,,19.27
2004,percentage,,,19.84
2005,percentage,,,19.23
2006,percentage,,,20.17
2007,percentage,,,20.37
2008,percentage,,,21.17
2009,percentage,,,20.64
2010,percentage,,,19.83
2011,percentage,,,20.63
2012,percentage,,,21.71
2013,percentage,,,20.89
2014,percentage,,,20.53
2015,percentage,,,20.81
2016,percentage,,,20.98
2017,percentage,,,21.85
2018,percentage,,,22.9
2019,percentage,,,23.44
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,28.11
1992,percentage,,,27.4
1993,percentage,,,24.58
1994,percentage,,,25.28
1995,percentage,,,24.78
1996,percentage,,,24.41
1997,percentage,,,22.89
1998,percentage,,,23.71
1999,percentage,,,23.51
2000,percentage,,,24.27
2001,percentage,,,23.04
2002,percentage,,,21.68
2003,percentage,,,22.35
2004,percentage,,,21.33
2005,percentage,,,20.43
2006,percentage,,,23.7
2007,percentage,,,22.94
2008,percentage,,,23.15
2009,percentage,,,21.52
2010,percentage,,,21.6
2011,percentage,,,23.16
2012,percentage,,,22.92
2013,percentage,,,22.66
2014,percentage,,,23.02
2015,percentage,,,23.14
2016,percentage,,,22.95
2017,percentage,,,23.51
2018,percentage,,,24.38
2019,percentage,,,24.48
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,22.48
1992,percentage,,,23.05
1993,percentage,,,21.86
1994,percentage,,,20.36
1995,percentage,,,20.46
1996,percentage,,,24.5
1997,percentage,,,28.1
1998,percentage,,,22.95
1999,percentage,,,22.32
2000,percentage,,,20.85
2001,percentage,,,19.1
2002,percentage,,,16.37
2003,percentage,,,14.58
2004,percentage,,,15.74
2005,percentage,,,17.68
2006,percentage,,,17.27
2007,percentage,,,17.79
2008,percentage,,,17.26
2009,percentage,,,16.8
2010,percentage,,,17.02
2011,percentage,,,16.36
2012,percentage,,,18.61
2013,percentage,,,18.28
2014,percentage,,,19.31
2015,percentage,,,19.77
2016,percentage,,,19.35
2017,percentage,,,18.49
2018,percentage,,,19.09
2019,percentage,,,17.96
2020,percentage,,,
2021,percentage,,,
1991,percentage,,,41.35
1992,percentage,,,44.82
1993,percentage,,,49.55
1994,percentage,,,51.91
1995,percentage,,,46.89
1996,percentage,,,48.1
1997,percentage,,,45.03
1998,percentage,,,43.92
1999,percentage,,,40.89
2000,percentage,,,37.35
2001,percentage,,,30.73
