Year,Units,time series,Value
2/2015,percentage,all wired technologies,
1/2016,percentage,all wired technologies,
2/2016,percentage,all wired technologies,
1/2017,percentage,all wired technologies,
2/2017,percentage,all wired technologies,
1/2018,percentage,all wired technologies,
2/2018,percentage,all wired technologies,27.3
1/2019,percentage,all wired technologies,34.1
2/2019,percentage,all wired technologies,43.2
1/2020,percentage,all wired technologies,55.9
2/2020,percentage,all wired technologies,59.2
1/2021,percentage,all wired technologies,62.1
2/2015,percentage,fully fibre-optic networks (fttb/h),6.7
1/2016,percentage,fully fibre-optic networks (fttb/h),7.1
2/2016,percentage,fully fibre-optic networks (fttb/h),7.1
1/2017,percentage,fully fibre-optic networks (fttb/h),7.3
2/2017,percentage,fully fibre-optic networks (fttb/h),8.0
1/2018,percentage,fully fibre-optic networks (fttb/h),8.5
2/2018,percentage,fully fibre-optic networks (fttb/h),9.0
1/2019,percentage,fully fibre-optic networks (fttb/h),10.5
2/2019,percentage,fully fibre-optic networks (fttb/h),11.8
1/2020,percentage,fully fibre-optic networks (fttb/h),13.8
2/2020,percentage,fully fibre-optic networks (fttb/h),14.5
1/2021,percentage,fully fibre-optic networks (fttb/h),15.4
2/2015,percentage,cable television (catv),
1/2016,percentage,cable television (catv),
2/2016,percentage,cable television (catv),
1/2017,percentage,cable television (catv),
2/2017,percentage,cable television (catv),
1/2018,percentage,cable television (catv),
2/2018,percentage,cable television (catv),23.7
1/2019,percentage,cable television (catv),29.3
2/2019,percentage,cable television (catv),37.8
1/2020,percentage,cable television (catv),50.2
2/2020,percentage,cable television (catv),53.5
1/2021,percentage,cable television (catv),56.5
