Year,Units,Series,Art der Fläche,Bundesland,GeoCode,Value
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,119.576
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,124.252
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,130.622
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,130.655
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,131.098
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,121.096
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,109.315
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,98.904
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,131.148
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,117.534
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,105.753
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,96.712
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,95.082
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,78.082
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,76.712
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,73.624
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,69.349
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,70.591
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,63.273
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,61.012
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,51.278
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,55.205
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,57.997
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,45.0
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,58.0
1996,Hektar pro Tag,Berechnete jährliche Werte,Verkehrsfläche,,,23.614
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,20.642
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,23.302
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,23.308
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,23.642
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,23.0
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,22.466
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,20.274
