Year,Units,Zeitreihe,Value
2014,Millionen,Objekte insgesamt,7.9
2015,Millionen,Objekte insgesamt,15.1
2016,Millionen,Objekte insgesamt,19.7
2017,Millionen,Objekte insgesamt,22.5
2018,Millionen,Objekte insgesamt,24.2
2019,Millionen,Objekte insgesamt,26.4
2020,Millionen,Objekte insgesamt,33.0
2021,Millionen,Objekte insgesamt,37.6
2022,Millionen,Objekte insgesamt,42.3
2014,Millionen,Objekte mit Digitalisat,
2015,Millionen,Objekte mit Digitalisat,
2016,Millionen,Objekte mit Digitalisat,7.7
2017,Millionen,Objekte mit Digitalisat,9.1
2018,Millionen,Objekte mit Digitalisat,9.7
2019,Millionen,Objekte mit Digitalisat,12.1
2020,Millionen,Objekte mit Digitalisat,11.0
2021,Millionen,Objekte mit Digitalisat,13.3
2022,Millionen,Objekte mit Digitalisat,14.9
