Year,Units,Series,Bundesland,GeoCode,Value
2005,1 000,Beschäftigte in EMAS Organisationen,,,961.0
2006,1 000,Beschäftigte in EMAS Organisationen,,,926.0
2007,1 000,Beschäftigte in EMAS Organisationen,,,860.0
2008,1 000,Beschäftigte in EMAS Organisationen,,,840.0
2009,1 000,Beschäftigte in EMAS Organisationen,,,803.0
2010,1 000,Beschäftigte in EMAS Organisationen,,,781.0
2011,1 000,Beschäftigte in EMAS Organisationen,,,765.0
2012,1 000,Beschäftigte in EMAS Organisationen,,,773.0
2013,1 000,Beschäftigte in EMAS Organisationen,,,788.0
2014,1 000,Beschäftigte in EMAS Organisationen,,,785.0
2015,1 000,Beschäftigte in EMAS Organisationen,,,801.0
2016,1 000,Beschäftigte in EMAS Organisationen,,,842.0
2017,1 000,Beschäftigte in EMAS Organisationen,,,985.0
2018,1 000,Beschäftigte in EMAS Organisationen,,,929.0
2019,1 000,Beschäftigte in EMAS Organisationen,,,988.0
2020,1 000,Beschäftigte in EMAS Organisationen,,,860.0
2021,1 000,Beschäftigte in EMAS Organisationen,,,911.0
2005,Anzahl,EMAS-Organisationsstandorte,,,1958.0
2006,Anzahl,EMAS-Organisationsstandorte,,,1985.0
2007,Anzahl,EMAS-Organisationsstandorte,,,1956.0
2008,Anzahl,EMAS-Organisationsstandorte,,,1917.0
2009,Anzahl,EMAS-Organisationsstandorte,,,1906.0
2010,Anzahl,EMAS-Organisationsstandorte,,,1913.0
2011,Anzahl,EMAS-Organisationsstandorte,,,1909.0
2012,Anzahl,EMAS-Organisationsstandorte,,,1828.0
2013,Anzahl,EMAS-Organisationsstandorte,,,1862.0
2014,Anzahl,EMAS-Organisationsstandorte,,,1906.0
2015,Anzahl,EMAS-Organisationsstandorte,,,2004.0
2016,Anzahl,EMAS-Organisationsstandorte,,,2073.0
2017,Anzahl,EMAS-Organisationsstandorte,,,2182.0
2018,Anzahl,EMAS-Organisationsstandorte,,,2167.0
2019,Anzahl,EMAS-Organisationsstandorte,,,2176.0
2020,Anzahl,EMAS-Organisationsstandorte,,,2184.0
2021,Anzahl,EMAS-Organisationsstandorte,,,2290.0
2005,Anzahl,EMAS-Organisationsstandorte,Baden-Württemberg,code08,
2006,Anzahl,EMAS-Organisationsstandorte,,,
2007,Anzahl,EMAS-Organisationsstandorte,,,
2008,Anzahl,EMAS-Organisationsstandorte,,,
2009,Anzahl,EMAS-Organisationsstandorte,,,
2010,Anzahl,EMAS-Organisationsstandorte,,,493.0
2011,Anzahl,EMAS-Organisationsstandorte,,,498.0
2012,Anzahl,EMAS-Organisationsstandorte,,,508.0
2013,Anzahl,EMAS-Organisationsstandorte,,,522.0
2014,Anzahl,EMAS-Organisationsstandorte,,,538.0
2015,Anzahl,EMAS-Organisationsstandorte,,,578.0
2016,Anzahl,EMAS-Organisationsstandorte,,,582.0
2017,Anzahl,EMAS-Organisationsstandorte,,,574.0
2018,Anzahl,EMAS-Organisationsstandorte,,,591.0
2019,Anzahl,EMAS-Organisationsstandorte,,,594.0
2020,Anzahl,EMAS-Organisationsstandorte,,,597.0
