Year,Units,Anzeigen,Zeitreihe,Value
2015,2015 = 100,Zeitreihe,Anteil Recyclingpapier mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung,100.0
2016,2015 = 100,Zeitreihe,Anteil Recyclingpapier mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung,136.8
2017,2015 = 100,Zeitreihe,Anteil Recyclingpapier mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung,147.7
2018,2015 = 100,Zeitreihe,Anteil Recyclingpapier mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung,197.5
2019,2015 = 100,Zeitreihe,Anteil Recyclingpapier mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung,204.1
2020,2015 = 100,Ziel,Anteil Recyclingpapier mit Blauem Engel am Gesamtpapierverbrauch der unmittelbaren Bundesverwaltung,210.8
2015,2015 = 100,Zeitreihe,CO<sub>2</sub>-Emissionen je Fahrleistung der Kfz der öffentlichen Hand,100.0
2016,2015 = 100,Zeitreihe,CO<sub>2</sub>-Emissionen je Fahrleistung der Kfz der öffentlichen Hand,98.0
2017,2015 = 100,Zeitreihe,CO<sub>2</sub>-Emissionen je Fahrleistung der Kfz der öffentlichen Hand,97.1
2018,2015 = 100,Zeitreihe,CO<sub>2</sub>-Emissionen je Fahrleistung der Kfz der öffentlichen Hand,96.9
