Year,Units,Zeitreihe,Value
1999,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.918
2000,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.832
2001,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.958
2002,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,4.182
2003,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.741
2004,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.582
2005,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.577
2006,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.515
2007,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.524
2008,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.686
2009,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.602
2010,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.754
2011,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.785
2012,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.447
2013,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.41
2014,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.352
2015,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.146
2016,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,2.954
2017,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.191
2018,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.145
2019,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.17
2020,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.071
1999,Miligramm pro Liter,Stickstoffeinträge in Küsten- und Meeresgewässer der Ostsee,3.918
