Year,Units,Subindikatoren,Value
1990,2030 = 100,Teilindex Siedlungen,76.571
1991,2030 = 100,Teilindex Siedlungen,72.271
1992,2030 = 100,Teilindex Siedlungen,71.288
1993,2030 = 100,Teilindex Siedlungen,73.097
1994,2030 = 100,Teilindex Siedlungen,76.604
1995,2030 = 100,Teilindex Siedlungen,73.082
1996,2030 = 100,Teilindex Siedlungen,76.048
1997,2030 = 100,Teilindex Siedlungen,72.785
1998,2030 = 100,Teilindex Siedlungen,70.136
1999,2030 = 100,Teilindex Siedlungen,74.822
2000,2030 = 100,Teilindex Siedlungen,71.864
2001,2030 = 100,Teilindex Siedlungen,71.115
2002,2030 = 100,Teilindex Siedlungen,69.744
2003,2030 = 100,Teilindex Siedlungen,69.809
2004,2030 = 100,Teilindex Siedlungen,72.457
2005,2030 = 100,Teilindex Siedlungen,70.991
2006,2030 = 100,Teilindex Siedlungen,70.212
2007,2030 = 100,Teilindex Siedlungen,70.06
2008,2030 = 100,Teilindex Siedlungen,70.34
2009,2030 = 100,Teilindex Siedlungen,67.219
2010,2030 = 100,Teilindex Siedlungen,67.973
2011,2030 = 100,Teilindex Siedlungen,66.195
2012,2030 = 100,Teilindex Siedlungen,70.411
2013,2030 = 100,Teilindex Siedlungen,67.814
2014,2030 = 100,Teilindex Siedlungen,67.006
2015,2030 = 100,Teilindex Siedlungen,69.773
2016,2030 = 100,Teilindex Siedlungen,70.502
1990,2030 = 100,Teilindex Agrarland,81.624
1991,2030 = 100,Teilindex Agrarland,77.149
1992,2030 = 100,Teilindex Agrarland,76.79
1993,2030 = 100,Teilindex Agrarland,77.784
1994,2030 = 100,Teilindex Agrarland,80.786
1995,2030 = 100,Teilindex Agrarland,70.721
1996,2030 = 100,Teilindex Agrarland,77.961
1997,2030 = 100,Teilindex Agrarland,76.731
1998,2030 = 100,Teilindex Agrarland,70.613
1999,2030 = 100,Teilindex Agrarland,75.525
2000,2030 = 100,Teilindex Agrarland,73.416
2001,2030 = 100,Teilindex Agrarland,74.815
2002,2030 = 100,Teilindex Agrarland,74.307
2003,2030 = 100,Teilindex Agrarland,78.529
2004,2030 = 100,Teilindex Agrarland,79.188
2005,2030 = 100,Teilindex Agrarland,79.598
2006,2030 = 100,Teilindex Agrarland,78.604
2007,2030 = 100,Teilindex Agrarland,75.276
2008,2030 = 100,Teilindex Agrarland,81.808
2009,2030 = 100,Teilindex Agrarland,73.269
2010,2030 = 100,Teilindex Agrarland,79.536
2011,2030 = 100,Teilindex Agrarland,80.187
2012,2030 = 100,Teilindex Agrarland,86.987
2013,2030 = 100,Teilindex Agrarland,87.071
2014,2030 = 100,Teilindex Agrarland,84.293
2015,2030 = 100,Teilindex Agrarland,90.834
2016,2030 = 100,Teilindex Agrarland,87.507
1990,2030 = 100,Teilindex Binnengewässer,80.76
1991,2030 = 100,Teilindex Binnengewässer,73.731
1992,2030 = 100,Teilindex Binnengewässer,68.36
1993,2030 = 100,Teilindex Binnengewässer,75.142
1994,2030 = 100,Teilindex Binnengewässer,71.935
1995,2030 = 100,Teilindex Binnengewässer,75.152
1996,2030 = 100,Teilindex Binnengewässer,85.294
1997,2030 = 100,Teilindex Binnengewässer,77.357
1998,2030 = 100,Teilindex Binnengewässer,75.51
1999,2030 = 100,Teilindex Binnengewässer,74.896
2000,2030 = 100,Teilindex Binnengewässer,69.777
2001,2030 = 100,Teilindex Binnengewässer,69.65
2002,2030 = 100,Teilindex Binnengewässer,63.368
2003,2030 = 100,Teilindex Binnengewässer,59.161
2004,2030 = 100,Teilindex Binnengewässer,66.464
2005,2030 = 100,Teilindex Binnengewässer,66.47
2006,2030 = 100,Teilindex Binnengewässer,65.079
2007,2030 = 100,Teilindex Binnengewässer,66.038
2008,2030 = 100,Teilindex Binnengewässer,63.192
2009,2030 = 100,Teilindex Binnengewässer,63.825
2010,2030 = 100,Teilindex Binnengewässer,66.525
2011,2030 = 100,Teilindex Binnengewässer,70.467
2012,2030 = 100,Teilindex Binnengewässer,70.703
2013,2030 = 100,Teilindex Binnengewässer,67.524
2014,2030 = 100,Teilindex Binnengewässer,69.622
2015,2030 = 100,Teilindex Binnengewässer,72.21
2016,2030 = 100,Teilindex Binnengewässer,75.503
1990,2030 = 100,Teilindex Küsten/Meere,74.22
1991,2030 = 100,Teilindex Küsten/Meere,71.237
1992,2030 = 100,Teilindex Küsten/Meere,70.112
1993,2030 = 100,Teilindex Küsten/Meere,70.86
1994,2030 = 100,Teilindex Küsten/Meere,75.741
1995,2030 = 100,Teilindex Küsten/Meere,73.848
1996,2030 = 100,Teilindex Küsten/Meere,75.223
1997,2030 = 100,Teilindex Küsten/Meere,71.121
1998,2030 = 100,Teilindex Küsten/Meere,69.144
1999,2030 = 100,Teilindex Küsten/Meere,75.183
2000,2030 = 100,Teilindex Küsten/Meere,71.696
2001,2030 = 100,Teilindex Küsten/Meere,68.57
2002,2030 = 100,Teilindex Küsten/Meere,68.841
2003,2030 = 100,Teilindex Küsten/Meere,67.827
2004,2030 = 100,Teilindex Küsten/Meere,70.668
2005,2030 = 100,Teilindex Küsten/Meere,67.966
2006,2030 = 100,Teilindex Küsten/Meere,68.001
2007,2030 = 100,Teilindex Küsten/Meere,68.025
2008,2030 = 100,Teilindex Küsten/Meere,65.792
2009,2030 = 100,Teilindex Küsten/Meere,64.74
2010,2030 = 100,Teilindex Küsten/Meere,62.36
2011,2030 = 100,Teilindex Küsten/Meere,57.594
2012,2030 = 100,Teilindex Küsten/Meere,62.05
2013,2030 = 100,Teilindex Küsten/Meere,57.559
2014,2030 = 100,Teilindex Küsten/Meere,56.985
2015,2030 = 100,Teilindex Küsten/Meere,58.049
2016,2030 = 100,Teilindex Küsten/Meere,60.492
