Year,Series,Units,Value
2012,Corruption Perception Index in Deutschland,,79.0
2013,Corruption Perception Index in Deutschland,,78.0
2014,Corruption Perception Index in Deutschland,,79.0
2015,Corruption Perception Index in Deutschland,,81.0
2016,Corruption Perception Index in Deutschland,,81.0
2017,Corruption Perception Index in Deutschland,,81.0
2018,Corruption Perception Index in Deutschland,,80.0
2019,Corruption Perception Index in Deutschland,,80.0
2020,Corruption Perception Index in Deutschland,,80.0
2021,Corruption Perception Index in Deutschland,,80.0
2012,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",Anzahl,
2013,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",Anzahl,20.0
2014,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",Anzahl,40.0
2015,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",Anzahl,43.0
2016,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",Anzahl,45.0
2017,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",Anzahl,45.0
2018,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",Anzahl,44.0
2019,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",Anzahl,45.0
2020,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",Anzahl,47.0
2021,"Anzahl der Partnerländer deutscher Entwicklungszusammenarbeit, deren Bewertung sich gegenüber 2012 verbessert hat",Anzahl,48.0
