Year,Units,Anzeigen,Zeitreihe,Region,GeoCode,Value
2005,Anzahl,Zeitreihe,Insgesamt,,,140519
2006,Anzahl,Zeitreihe,Insgesamt,,,141289
2007,Anzahl,Zeitreihe,Insgesamt,,,136087
2008,Anzahl,Zeitreihe,Insgesamt,,,140832
2009,Anzahl,Zeitreihe,Insgesamt,,,147152
2010,Anzahl,Zeitreihe,Insgesamt,,,153690
2011,Anzahl,Zeitreihe,Insgesamt,,,158557
2012,Anzahl,Zeitreihe,Insgesamt,,,170618
2013,Anzahl,Zeitreihe,Insgesamt,,,185787
2014,Anzahl,Zeitreihe,Insgesamt,,,200349
2015,Anzahl,Zeitreihe,Insgesamt,,,215258
2016,Anzahl,Zeitreihe,Insgesamt,,,230688
2017,Anzahl,Zeitreihe,Insgesamt,,,247435
2018,Anzahl,Zeitreihe,Insgesamt,,,267250
2019,Anzahl,Zeitreihe,Insgesamt,,,285450
2020,Anzahl,Ziel,Insgesamt,,,237000
2006,Anzahl,Zeitreihe,Insgesamt,Baden-Württemberg,code08,20133
2007,Anzahl,Zeitreihe,Insgesamt,Baden-Württemberg,code08,19383
2008,Anzahl,Zeitreihe,Insgesamt,Baden-Württemberg,code08,19840
2009,Anzahl,Zeitreihe,Insgesamt,Baden-Württemberg,code08,20914
2010,Anzahl,Zeitreihe,Insgesamt,Baden-Württemberg,code08,21886
2011,Anzahl,Zeitreihe,Insgesamt,Baden-Württemberg,code08,21857
2012,Anzahl,Zeitreihe,Insgesamt,Baden-Württemberg,code08,24175
2013,Anzahl,Zeitreihe,Insgesamt,Baden-Württemberg,code08,26218
2014,Anzahl,Zeitreihe,Insgesamt,Baden-Württemberg,code08,28199
2015,Anzahl,Zeitreihe,Insgesamt,Baden-Württemberg,code08,30019
2016,Anzahl,Zeitreihe,Insgesamt,Baden-Württemberg,code08,32126
2017,Anzahl,Zeitreihe,Insgesamt,Baden-Württemberg,code08,32564
2018,Anzahl,Zeitreihe,Insgesamt,Baden-Württemberg,code08,32221
2019,Anzahl,Zeitreihe,Insgesamt,Baden-Württemberg,code08,31591
2006,Anzahl,Zeitreihe,Insgesamt,Bayern,code09,13978
2007,Anzahl,Zeitreihe,Insgesamt,Bayern,code09,13633
2008,Anzahl,Zeitreihe,Insgesamt,Bayern,code09,14130
2009,Anzahl,Zeitreihe,Insgesamt,Bayern,code09,14747
2010,Anzahl,Zeitreihe,Insgesamt,Bayern,code09,15618
2011,Anzahl,Zeitreihe,Insgesamt,Bayern,code09,16297
2012,Anzahl,Zeitreihe,Insgesamt,Bayern,code09,17742
2013,Anzahl,Zeitreihe,Insgesamt,Bayern,code09,20459
2014,Anzahl,Zeitreihe,Insgesamt,Bayern,code09,22184
2015,Anzahl,Zeitreihe,Insgesamt,Bayern,code09,24310
2016,Anzahl,Zeitreihe,Insgesamt,Bayern,code09,26347
2017,Anzahl,Zeitreihe,Insgesamt,Bayern,code09,30357
2018,Anzahl,Zeitreihe,Insgesamt,Bayern,code09,34357
2019,Anzahl,Zeitreihe,Insgesamt,Bayern,code09,37939
2006,Anzahl,Zeitreihe,Insgesamt,Berlin,code11,9715
2007,Anzahl,Zeitreihe,Insgesamt,Berlin,code11,10005
2008,Anzahl,Zeitreihe,Insgesamt,Berlin,code11,10531
2009,Anzahl,Zeitreihe,Insgesamt,Berlin,code11,10914
2010,Anzahl,Zeitreihe,Insgesamt,Berlin,code11,11647
2011,Anzahl,Zeitreihe,Insgesamt,Berlin,code11,11931
2012,Anzahl,Zeitreihe,Insgesamt,Berlin,code11,12536
2013,Anzahl,Zeitreihe,Insgesamt,Berlin,code11,13498
2014,Anzahl,Zeitreihe,Insgesamt,Berlin,code11,14509
2015,Anzahl,Zeitreihe,Insgesamt,Berlin,code11,15767
2016,Anzahl,Zeitreihe,Insgesamt,Berlin,code11,17179
2017,Anzahl,Zeitreihe,Insgesamt,Berlin,code11,19899
2018,Anzahl,Zeitreihe,Insgesamt,Berlin,code11,22086
2019,Anzahl,Zeitreihe,Insgesamt,Berlin,code11,24341
2006,Anzahl,Zeitreihe,Insgesamt,Brandenburg,code12,2568
2007,Anzahl,Zeitreihe,Insgesamt,Brandenburg,code12,2630
2008,Anzahl,Zeitreihe,Insgesamt,Brandenburg,code12,2675
2009,Anzahl,Zeitreihe,Insgesamt,Brandenburg,code12,2808
2010,Anzahl,Zeitreihe,Insgesamt,Brandenburg,code12,2862
2011,Anzahl,Zeitreihe,Insgesamt,Brandenburg,code12,3045
2012,Anzahl,Zeitreihe,Insgesamt,Brandenburg,code12,3374
2013,Anzahl,Zeitreihe,Insgesamt,Brandenburg,code12,3522
2014,Anzahl,Zeitreihe,Insgesamt,Brandenburg,code12,3754
2015,Anzahl,Zeitreihe,Insgesamt,Brandenburg,code12,4022
2016,Anzahl,Zeitreihe,Insgesamt,Brandenburg,code12,4418
2017,Anzahl,Zeitreihe,Insgesamt,Brandenburg,code12,4947
2018,Anzahl,Zeitreihe,Insgesamt,Brandenburg,code12,5378
2019,Anzahl,Zeitreihe,Insgesamt,Brandenburg,code12,5905
2006,Anzahl,Zeitreihe,Insgesamt,Bremen,code04,3789
2007,Anzahl,Zeitreihe,Insgesamt,Bremen,code04,3644
2008,Anzahl,Zeitreihe,Insgesamt,Bremen,code04,3552
2009,Anzahl,Zeitreihe,Insgesamt,Bremen,code04,3467
2010,Anzahl,Zeitreihe,Insgesamt,Bremen,code04,3350
2011,Anzahl,Zeitreihe,Insgesamt,Bremen,code04,3378
2012,Anzahl,Zeitreihe,Insgesamt,Bremen,code04,3430
2013,Anzahl,Zeitreihe,Insgesamt,Bremen,code04,3583
2014,Anzahl,Zeitreihe,Insgesamt,Bremen,code04,3741
2015,Anzahl,Zeitreihe,Insgesamt,Bremen,code04,3855
2016,Anzahl,Zeitreihe,Insgesamt,Bremen,code04,4047
2017,Anzahl,Zeitreihe,Insgesamt,Bremen,code04,4533
2018,Anzahl,Zeitreihe,Insgesamt,Bremen,code04,4716
2019,Anzahl,Zeitreihe,Insgesamt,Bremen,code04,5144
2006,Anzahl,Zeitreihe,Insgesamt,Hamburg,code02,5311
2007,Anzahl,Zeitreihe,Insgesamt,Hamburg,code02,4970
2008,Anzahl,Zeitreihe,Insgesamt,Hamburg,code02,5028
2009,Anzahl,Zeitreihe,Insgesamt,Hamburg,code02,5202
2010,Anzahl,Zeitreihe,Insgesamt,Hamburg,code02,5384
2011,Anzahl,Zeitreihe,Insgesamt,Hamburg,code02,5611
2012,Anzahl,Zeitreihe,Insgesamt,Hamburg,code02,5981
2013,Anzahl,Zeitreihe,Insgesamt,Hamburg,code02,6189
2014,Anzahl,Zeitreihe,Insgesamt,Hamburg,code02,6366
2015,Anzahl,Zeitreihe,Insgesamt,Hamburg,code02,6741
2016,Anzahl,Zeitreihe,Insgesamt,Hamburg,code02,7205
2017,Anzahl,Zeitreihe,Insgesamt,Hamburg,code02,7685
2018,Anzahl,Zeitreihe,Insgesamt,Hamburg,code02,8619
2019,Anzahl,Zeitreihe,Insgesamt,Hamburg,code02,9058
2006,Anzahl,Zeitreihe,Insgesamt,Hessen,code06,14955
2007,Anzahl,Zeitreihe,Insgesamt,Hessen,code06,13532
2008,Anzahl,Zeitreihe,Insgesamt,Hessen,code06,15441
2009,Anzahl,Zeitreihe,Insgesamt,Hessen,code06,17026
2010,Anzahl,Zeitreihe,Insgesamt,Hessen,code06,18427
2011,Anzahl,Zeitreihe,Insgesamt,Hessen,code06,18524
2012,Anzahl,Zeitreihe,Insgesamt,Hessen,code06,19593
2013,Anzahl,Zeitreihe,Insgesamt,Hessen,code06,21041
2014,Anzahl,Zeitreihe,Insgesamt,Hessen,code06,22324
2015,Anzahl,Zeitreihe,Insgesamt,Hessen,code06,23542
2016,Anzahl,Zeitreihe,Insgesamt,Hessen,code06,24605
2017,Anzahl,Zeitreihe,Insgesamt,Hessen,code06,25754
2018,Anzahl,Zeitreihe,Insgesamt,Hessen,code06,27467
2019,Anzahl,Zeitreihe,Insgesamt,Hessen,code06,28777
2006,Anzahl,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,1194
2007,Anzahl,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,1207
2008,Anzahl,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,1195
2009,Anzahl,Zeitreihe,Insgesamt,Mecklenburg-Vorpommern,code13,1291
