Year,Units,Bundesland,GeoCode,Zeitreihe,Value
2005,Anzahl,,,,140519.0
2006,Anzahl,,,,141289.0
2007,Anzahl,,,,136087.0
2008,Anzahl,,,,140832.0
2009,Anzahl,,,,147152.0
2010,Anzahl,,,,153690.0
2011,Anzahl,,,,158557.0
2012,Anzahl,,,,170618.0
2013,Anzahl,,,,185787.0
2014,Anzahl,,,,200349.0
2015,Anzahl,,,,215258.0
2016,Anzahl,,,,230688.0
2017,Anzahl,,,,247435.0
2018,Anzahl,,,,267250.0
2019,Anzahl,,,,285449.0
2020,Anzahl,,,,298149.0
2005,Anzahl,Baden-Württemberg,code08,,
2006,Anzahl,,,,20133.0
2007,Anzahl,,,,19383.0
2008,Anzahl,,,,19840.0
2009,Anzahl,,,,20914.0
2010,Anzahl,,,,21886.0
2011,Anzahl,,,,21857.0
2012,Anzahl,,,,24175.0
2013,Anzahl,,,,26218.0
2014,Anzahl,,,,28199.0
2015,Anzahl,,,,30019.0
2016,Anzahl,,,,32126.0
2017,Anzahl,,,,32564.0
2018,Anzahl,,,,32221.0
2019,Anzahl,,,,31590.0
2020,Anzahl,,,,30143.0
2005,Anzahl,,,,
2006,Anzahl,,,,13978.0
2007,Anzahl,,,,13633.0
2008,Anzahl,,,,14130.0
2009,Anzahl,,,,14747.0
2010,Anzahl,,,,15618.0
2011,Anzahl,,,,16297.0
2012,Anzahl,,,,17742.0
2013,Anzahl,,,,20459.0
2014,Anzahl,,,,22184.0
2015,Anzahl,,,,24310.0
2016,Anzahl,,,,26347.0
2017,Anzahl,,,,30357.0
2018,Anzahl,,,,34357.0
2019,Anzahl,,,,37939.0
2020,Anzahl,,,,42253.0
2005,Anzahl,,,,
2006,Anzahl,,,,9715.0
2007,Anzahl,,,,10005.0
2008,Anzahl,,,,10531.0
2009,Anzahl,,,,10914.0
2010,Anzahl,,,,11647.0
2011,Anzahl,,,,11931.0
2012,Anzahl,,,,12536.0
2013,Anzahl,,,,13498.0
2014,Anzahl,,,,14509.0
2015,Anzahl,,,,15767.0
2016,Anzahl,,,,17179.0
2017,Anzahl,,,,19899.0
2018,Anzahl,,,,22086.0
2019,Anzahl,,,,24341.0
2020,Anzahl,,,,25828.0
2005,Anzahl,,,,
2006,Anzahl,,,,2568.0
2007,Anzahl,,,,2630.0
2008,Anzahl,,,,2675.0
2009,Anzahl,,,,2808.0
2010,Anzahl,,,,2862.0
2011,Anzahl,,,,3045.0
2012,Anzahl,,,,3374.0
2013,Anzahl,,,,3522.0
2014,Anzahl,,,,3754.0
2015,Anzahl,,,,4022.0
2016,Anzahl,,,,4418.0
2017,Anzahl,,,,4947.0
2018,Anzahl,,,,5378.0
2019,Anzahl,,,,5905.0
2020,Anzahl,,,,6244.0
2005,Anzahl,,,,
2006,Anzahl,,,,3789.0
2007,Anzahl,,,,3644.0
2008,Anzahl,,,,3552.0
2009,Anzahl,,,,3467.0
2010,Anzahl,,,,3350.0
2011,Anzahl,,,,3378.0
2012,Anzahl,,,,3430.0
2013,Anzahl,,,,3583.0
2014,Anzahl,,,,3741.0
2015,Anzahl,,,,3855.0
2016,Anzahl,,,,4047.0
2017,Anzahl,,,,4533.0
2018,Anzahl,,,,4716.0
2019,Anzahl,,,,5144.0
2020,Anzahl,,,,5349.0
2005,Anzahl,,,,
2006,Anzahl,,,,5311.0
2007,Anzahl,,,,4970.0
2008,Anzahl,,,,5028.0
2009,Anzahl,,,,5202.0
2010,Anzahl,,,,5384.0
2011,Anzahl,,,,5611.0
2012,Anzahl,,,,5981.0
2013,Anzahl,,,,6189.0
2014,Anzahl,,,,6366.0
2015,Anzahl,,,,6741.0
2016,Anzahl,,,,7205.0
2017,Anzahl,,,,7685.0
2018,Anzahl,,,,8619.0
2019,Anzahl,,,,9058.0
2020,Anzahl,,,,9345.0
2005,Anzahl,,,,
2006,Anzahl,,,,14955.0
2007,Anzahl,,,,13532.0
2008,Anzahl,,,,15441.0
2009,Anzahl,,,,17026.0
2010,Anzahl,,,,18427.0
2011,Anzahl,,,,18524.0
2012,Anzahl,,,,19593.0
2013,Anzahl,,,,21041.0
2014,Anzahl,,,,22324.0
2015,Anzahl,,,,23542.0
2016,Anzahl,,,,24605.0
2017,Anzahl,,,,25754.0
2018,Anzahl,,,,27467.0
2019,Anzahl,,,,28777.0
2020,Anzahl,,,,29788.0
2005,Anzahl,,,,
2006,Anzahl,,,,1194.0
2007,Anzahl,,,,1207.0
2008,Anzahl,,,,1195.0
2009,Anzahl,,,,1291.0
2010,Anzahl,,,,1390.0
2011,Anzahl,,,,1405.0
2012,Anzahl,,,,1442.0
2013,Anzahl,,,,1618.0
2014,Anzahl,,,,1759.0
2015,Anzahl,,,,1972.0
2016,Anzahl,,,,2303.0
2017,Anzahl,,,,2775.0
2018,Anzahl,,,,3115.0
2019,Anzahl,,,,3247.0
2020,Anzahl,,,,3352.0
2005,Anzahl,,,,
2006,Anzahl,,,,10759.0
2007,Anzahl,,,,10237.0
2008,Anzahl,,,,10357.0
2009,Anzahl,,,,10402.0
2010,Anzahl,,,,10444.0
2011,Anzahl,,,,10452.0
2012,Anzahl,,,,11133.0
2013,Anzahl,,,,12109.0
2014,Anzahl,,,,13195.0
2015,Anzahl,,,,14657.0
2016,Anzahl,,,,15932.0
2017,Anzahl,,,,17702.0
2018,Anzahl,,,,19333.0
2019,Anzahl,,,,20687.0
2020,Anzahl,,,,21354.0
2005,Anzahl,,,,
2006,Anzahl,,,,38324.0
2007,Anzahl,,,,35303.0
2008,Anzahl,,,,36388.0
2009,Anzahl,,,,37820.0
2010,Anzahl,,,,38968.0
2011,Anzahl,,,,41572.0
2012,Anzahl,,,,44860.0
2013,Anzahl,,,,48945.0
2014,Anzahl,,,,53164.0
2015,Anzahl,,,,56422.0
2016,Anzahl,,,,60688.0
2017,Anzahl,,,,63089.0
2018,Anzahl,,,,67424.0
2019,Anzahl,,,,72166.0
2020,Anzahl,,,,75112.0
2005,Anzahl,,,,
2006,Anzahl,,,,6488.0
2007,Anzahl,,,,6993.0
2008,Anzahl,,,,7166.0
2009,Anzahl,,,,6992.0
2010,Anzahl,,,,7023.0
2011,Anzahl,,,,6748.0
2012,Anzahl,,,,6820.0
2013,Anzahl,,,,6951.0
2014,Anzahl,,,,7214.0
2015,Anzahl,,,,7575.0
2016,Anzahl,,,,8177.0
2017,Anzahl,,,,8928.0
2018,Anzahl,,,,10194.0
2019,Anzahl,,,,11069.0
2020,Anzahl,,,,11896.0
2005,Anzahl,,,,
2006,Anzahl,,,,1572.0
2007,Anzahl,,,,1573.0
2008,Anzahl,,,,1597.0
2009,Anzahl,,,,1708.0
2010,Anzahl,,,,1959.0
2011,Anzahl,,,,2085.0
2012,Anzahl,,,,2164.0
2013,Anzahl,,,,2246.0
2014,Anzahl,,,,2331.0
2015,Anzahl,,,,2413.0
2016,Anzahl,,,,2419.0
2017,Anzahl,,,,2481.0
2018,Anzahl,,,,2725.0
2019,Anzahl,,,,2961.0
2020,Anzahl,,,,3114.0
2005,Anzahl,,,,
2006,Anzahl,,,,4963.0
