Year,Units,Series,Value
1992,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,116.6
1993,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,110.9
1994,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,109.0
1995,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,107.4
1996,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,107.7
1997,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,108.6
1998,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,109.1
1999,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,107.9
2000,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,108.2
2001,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,107.7
2002,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,105.0
2003,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,102.3
2004,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,103.1
2005,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,101.8
2006,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,101.2
2007,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,98.3
2008,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,96.0
2009,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,96.4
2010,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,94.8
2011,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,93.2
2012,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,93.7
2013,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,96.1
2014,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,94.5
2015,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,94.3
2016,Kilogramm je Hektar,a) Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,93.3
1990,Kilogramm je Hektar,b) Berechnete jährliche Werte,141.4
1991,Kilogramm je Hektar,b) Berechnete jährliche Werte,117.0
1992,Kilogramm je Hektar,b) Berechnete jährliche Werte,111.9
1993,Kilogramm je Hektar,b) Berechnete jährliche Werte,106.2
1994,Kilogramm je Hektar,b) Berechnete jährliche Werte,106.2
1995,Kilogramm je Hektar,b) Berechnete jährliche Werte,113.1
1996,Kilogramm je Hektar,b) Berechnete jährliche Werte,107.6
1997,Kilogramm je Hektar,b) Berechnete jährliche Werte,103.9
1998,Kilogramm je Hektar,b) Berechnete jährliche Werte,107.7
1999,Kilogramm je Hektar,b) Berechnete jährliche Werte,110.8
2000,Kilogramm je Hektar,b) Berechnete jährliche Werte,115.2
2001,Kilogramm je Hektar,b) Berechnete jährliche Werte,101.6
2002,Kilogramm je Hektar,b) Berechnete jährliche Werte,105.7
2003,Kilogramm je Hektar,b) Berechnete jährliche Werte,105.2
2004,Kilogramm je Hektar,b) Berechnete jährliche Werte,97.1
2005,Kilogramm je Hektar,b) Berechnete jährliche Werte,102.1
2006,Kilogramm je Hektar,b) Berechnete jährliche Werte,105.1
2007,Kilogramm je Hektar,b) Berechnete jährliche Werte,99.6
2008,Kilogramm je Hektar,b) Berechnete jährliche Werte,102.3
2009,Kilogramm je Hektar,b) Berechnete jährliche Werte,82.5
2010,Kilogramm je Hektar,b) Berechnete jährliche Werte,90.7
2011,Kilogramm je Hektar,b) Berechnete jährliche Werte,106.8
2012,Kilogramm je Hektar,b) Berechnete jährliche Werte,91.7
2013,Kilogramm je Hektar,b) Berechnete jährliche Werte,94.1
2014,Kilogramm je Hektar,b) Berechnete jährliche Werte,85.3
2015,Kilogramm je Hektar,b) Berechnete jährliche Werte,102.6
2016,Kilogramm je Hektar,b) Berechnete jährliche Werte,99.0
2017,Kilogramm je Hektar,b) Berechnete jährliche Werte,90.6
2018,Kilogramm je Hektar,b) Berechnete jährliche Werte,89.1
