Year,Units,Series,Value
2006,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,5.87
2007,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,6.521
2008,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,7.313
2009,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,8.669
2010,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,10.167
2011,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,11.344
2012,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,12.745
2013,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,13.718
2014,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,15.306
2015,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,15.919
2016,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,16.158
2017,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,16.231
2018,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,16.528
2019,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,16.914
2020,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,17.096
2021,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,16.461
2022,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,16.803
2023,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,17.079
2024,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,17.344
2030,Prozent,Ganztagsbetreuung für Kinder <br>0- bis 2-Jährige,
2006,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,21.963
2007,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,24.189
2008,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,26.896
2009,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,29.696
2010,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,32.138
2011,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,34.672
2012,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,36.847
2013,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,39.05
2014,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,41.428
2015,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,44.136
2016,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,44.49
2017,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,45.239
2018,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,45.838
2019,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,46.871
2020,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,47.553
2021,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,46.934
2022,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,46.99
2023,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,46.64
2024,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,46.607
2030,Prozent,Ganztagsbetreuung für Kinder <br>3- bis 5-Jährige,
