Year,Units,Bundesland,GeoCode,Value
2008,Prozent,,,21.2
2009,Prozent,,,24.0
2010,Prozent,,,25.9
2011,Prozent,,,28.0
2012,Prozent,,,30.0
2013,Prozent,,,32.6
2014,Prozent,,,34.8
2015,Prozent,,,36.9
2016,Prozent,,,38.8
2017,Prozent,,,40.4
2018,Prozent,,,42.1
2019,Prozent,,,43.5
2008,Prozent,Baden-Württemberg,code08,20.6
2009,Prozent,,,24.6
2010,Prozent,,,27.4
2011,Prozent,,,30.5
2012,Prozent,,,33.4
2013,Prozent,,,36.7
2014,Prozent,,,39.2
2015,Prozent,,,40.9
2016,Prozent,,,42.2
2017,Prozent,,,43.7
2018,Prozent,,,45.4
2019,Prozent,,,46.7
2008,Prozent,,,27.4
2009,Prozent,,,30.7
2010,Prozent,,,33.5
2011,Prozent,,,36.5
2012,Prozent,,,38.6
2013,Prozent,,,40.5
2014,Prozent,,,42.2
2015,Prozent,,,44.8
2016,Prozent,,,46.5
2017,Prozent,,,47.7
2018,Prozent,,,49.3
2019,Prozent,,,50.7
2008,Prozent,,,27.5
2009,Prozent,,,30.7
2010,Prozent,,,32.2
2011,Prozent,,,33.7
2012,Prozent,,,35.5
2013,Prozent,,,37.9
2014,Prozent,,,39.7
2015,Prozent,,,40.9
2016,Prozent,,,42.9
2017,Prozent,,,43.8
2018,Prozent,,,45.2
2019,Prozent,,,46.1
2008,Prozent,,,25.5
2009,Prozent,,,27.3
2010,Prozent,,,28.1
2011,Prozent,,,30.2
2012,Prozent,,,32.4
2013,Prozent,,,34.8
2014,Prozent,,,36.6
2015,Prozent,,,40.0
2016,Prozent,,,42.5
2017,Prozent,,,44.9
2018,Prozent,,,45.8
2019,Prozent,,,48.4
2008,Prozent,,,18.3
2009,Prozent,,,19.9
2010,Prozent,,,19.3
2011,Prozent,,,21.7
2012,Prozent,,,22.9
2013,Prozent,,,25.8
2014,Prozent,,,27.1
2015,Prozent,,,28.1
2016,Prozent,,,31.0
2017,Prozent,,,33.4
2018,Prozent,,,35.0
2019,Prozent,,,36.3
2008,Prozent,,,22.9
2009,Prozent,,,27.4
2010,Prozent,,,28.5
2011,Prozent,,,31.1
2012,Prozent,,,33.7
2013,Prozent,,,36.2
2014,Prozent,,,38.0
2015,Prozent,,,40.2
2016,Prozent,,,41.0
2017,Prozent,,,42.5
2018,Prozent,,,44.8
2019,Prozent,,,45.9
2008,Prozent,,,20.3
2009,Prozent,,,23.3
2010,Prozent,,,25.3
2011,Prozent,,,27.2
2012,Prozent,,,29.4
2013,Prozent,,,30.8
2014,Prozent,,,33.1
2015,Prozent,,,34.4
2016,Prozent,,,35.8
2017,Prozent,,,37.3
2018,Prozent,,,38.5
2019,Prozent,,,38.9
2008,Prozent,,,20.5
2009,Prozent,,,23.3
2010,Prozent,,,23.5
