Year,Units,Anzeigen,Value
1990,Prozent,Zeitreihe,18.4
1991,Prozent,Zeitreihe,17.7
1992,Prozent,Zeitreihe,19.7
1993,Prozent,Zeitreihe,20.9
1994,Prozent,Zeitreihe,24.0
1995,Prozent,Zeitreihe,23.8
1996,Prozent,Zeitreihe,22.0
1997,Prozent,Zeitreihe,23.8
1998,Prozent,Zeitreihe,20.1
1999,Prozent,Zeitreihe,27.9
2000,Prozent,Zeitreihe,28.8
2001,Prozent,Zeitreihe,29.5
2002,Prozent,Zeitreihe,27.1
2003,Prozent,Zeitreihe,31.4
2004,Prozent,Zeitreihe,32.3
2005,Prozent,Zeitreihe,30.8
2006,Prozent,Zeitreihe,34.3
2007,Prozent,Zeitreihe,31.5
2008,Prozent,Zeitreihe,33.2
2009,Prozent,Zeitreihe,33.6
2010,Prozent,Zeitreihe,32.1
2011,Prozent,Zeitreihe,38.2
2012,Prozent,Zeitreihe,35.7
2013,Prozent,Zeitreihe,36.1
2014,Prozent,Zeitreihe,34.8
2015,Prozent,Zeitreihe,30.6
2016,Prozent,Zeitreihe,37.1
2017,Prozent,Zeitreihe,35.5
2018,Prozent,Zeitreihe,44.1
2030,Prozent,Ziel,100.0
