Year,Units,Bundesland,GeoCode,Value
2008,Prozent,,,81.8
2009,Prozent,,,82.5
2010,Prozent,,,81.7
2011,Prozent,,,82.0
2012,Prozent,,,81.0
2013,Prozent,,,81.4
2014,Prozent,,,81.8
2015,Prozent,,,81.0
2016,Prozent,,,81.8
2017,Prozent,,,83.1
2018,Prozent,,,82.7
2019,Prozent,,,84.2
2020,Prozent,,,84.1
2008,Prozent,Baden-Württemberg,code08,89.2
2009,Prozent,,,88.3
2010,Prozent,,,89.2
2011,Prozent,,,89.9
2012,Prozent,,,90.8
2013,Prozent,,,90.8
2014,Prozent,,,91.7
2015,Prozent,,,90.8
2016,Prozent,,,91.7
2017,Prozent,,,92.5
2018,Prozent,,,93.3
2019,Prozent,,,91.7
2020,Prozent,,,
2008,Prozent,,,93.6
2009,Prozent,,,94.5
2010,Prozent,,,94.9
2011,Prozent,,,93.6
2012,Prozent,,,94.0
2013,Prozent,,,94.1
2014,Prozent,,,94.5
2015,Prozent,,,94.4
2016,Prozent,,,94.5
2017,Prozent,,,92.7
2018,Prozent,,,93.6
2019,Prozent,,,95.2
2020,Prozent,,,
2008,Prozent,,,
2009,Prozent,,,
2010,Prozent,,,
2011,Prozent,,,
2012,Prozent,,,
2013,Prozent,,,
2014,Prozent,,,
2015,Prozent,,,
2016,Prozent,,,
2017,Prozent,,,
2018,Prozent,,,
2019,Prozent,,,
2020,Prozent,,,
2008,Prozent,,,84.7
2009,Prozent,,,85.7
2010,Prozent,,,84.7
2011,Prozent,,,83.7
2012,Prozent,,,83.7
2013,Prozent,,,84.7
2014,Prozent,,,86.7
2015,Prozent,,,85.7
2016,Prozent,,,85.7
2017,Prozent,,,86.7
2018,Prozent,,,88.8
2019,Prozent,,,88.7
2020,Prozent,,,
2008,Prozent,,,
2009,Prozent,,,
2010,Prozent,,,
2011,Prozent,,,
2012,Prozent,,,
2013,Prozent,,,
2014,Prozent,,,
2015,Prozent,,,
2016,Prozent,,,
2017,Prozent,,,
2018,Prozent,,,
2019,Prozent,,,
2020,Prozent,,,
2008,Prozent,,,
2009,Prozent,,,
2010,Prozent,,,
2011,Prozent,,,
2012,Prozent,,,
2013,Prozent,,,
2014,Prozent,,,
2015,Prozent,,,
2016,Prozent,,,
2017,Prozent,,,
2018,Prozent,,,
2019,Prozent,,,
2020,Prozent,,,
2008,Prozent,,,87.9
2009,Prozent,,,86.4
2010,Prozent,,,83.6
2011,Prozent,,,87.0
2012,Prozent,,,82.3
2013,Prozent,,,80.9
2014,Prozent,,,87.1
2015,Prozent,,,84.6
2016,Prozent,,,84.7
2017,Prozent,,,87.3
2018,Prozent,,,80.9
2019,Prozent,,,85.9
2020,Prozent,,,
2008,Prozent,,,88.7
2009,Prozent,,,90.0
2010,Prozent,,,86.2
2011,Prozent,,,86.2
2012,Prozent,,,85.0
2013,Prozent,,,85.0
2014,Prozent,,,
2015,Prozent,,,
2016,Prozent,,,
2017,Prozent,,,
2018,Prozent,,,81.4
2019,Prozent,,,82.2
2020,Prozent,,,
2008,Prozent,,,69.9
2009,Prozent,,,73.0
2010,Prozent,,,70.4
2011,Prozent,,,69.7
2012,Prozent,,,69.1
2013,Prozent,,,69.3
2014,Prozent,,,69.6
2015,Prozent,,,68.7
2016,Prozent,,,71.5
2017,Prozent,,,70.7
2018,Prozent,,,69.7
2019,Prozent,,,72.1
2020,Prozent,,,
2008,Prozent,,,85.1
2009,Prozent,,,86.4
2010,Prozent,,,84.0
2011,Prozent,,,89.2
2012,Prozent,,,84.6
2013,Prozent,,,89.3
2014,Prozent,,,89.3
2015,Prozent,,,88.6
2016,Prozent,,,87.4
2017,Prozent,,,89.0
2018,Prozent,,,88.5
2019,Prozent,,,87.8
2020,Prozent,,,
2008,Prozent,,,78.3
2009,Prozent,,,78.3
2010,Prozent,,,76.8
2011,Prozent,,,75.4
2012,Prozent,,,71.0
2013,Prozent,,,72.5
2014,Prozent,,,75.4
2015,Prozent,,,73.9
2016,Prozent,,,76.8
2017,Prozent,,,76.8
2018,Prozent,,,72.1
2019,Prozent,,,73.4
2020,Prozent,,,
2008,Prozent,,,100.0
2009,Prozent,,,100.0
2010,Prozent,,,100.0
2011,Prozent,,,87.5
2012,Prozent,,,100.0
2013,Prozent,,,100.0
2014,Prozent,,,100.0
2015,Prozent,,,100.0
2016,Prozent,,,100.0
2017,Prozent,,,100.0
2018,Prozent,,,100.0
2019,Prozent,,,100.0
2020,Prozent,,,
2008,Prozent,,,63.0
2009,Prozent,,,64.8
2010,Prozent,,,64.4
2011,Prozent,,,70.5
2012,Prozent,,,64.5
2013,Prozent,,,66.7
2014,Prozent,,,66.7
2015,Prozent,,,68.3
2016,Prozent,,,65.1
2017,Prozent,,,71.0
2018,Prozent,,,70.7
2019,Prozent,,,74.1
2020,Prozent,,,
2008,Prozent,,,78.5
2009,Prozent,,,76.9
2010,Prozent,,,76.8
2011,Prozent,,,75.4
2012,Prozent,,,75.4
2013,Prozent,,,73.9
2014,Prozent,,,73.9
2015,Prozent,,,72.9
2016,Prozent,,,75.7
2017,Prozent,,,80.0
2018,Prozent,,,77.3
2019,Prozent,,,79.1
2020,Prozent,,,
2008,Prozent,,,66.0
2009,Prozent,,,64.2
2010,Prozent,,,64.2
2011,Prozent,,,69.8
2012,Prozent,,,66.0
2013,Prozent,,,66.0
2014,Prozent,,,66.0
2015,Prozent,,,69.8
2016,Prozent,,,71.7
2017,Prozent,,,66.7
2018,Prozent,,,69.8
2019,Prozent,,,75.5
2020,Prozent,,,
2008,Prozent,,,72.7
2009,Prozent,,,74.5
2010,Prozent,,,76.4
2011,Prozent,,,74.5
2012,Prozent,,,72.7
2013,Prozent,,,70.0
2014,Prozent,,,74.6
2015,Prozent,,,
2016,Prozent,,,77.1
2017,Prozent,,,72.2
2018,Prozent,,,76.9
2019,Prozent,,,78.4
2020,Prozent,,,
