Year,Units,Series,Bundesland,GeoCode,Value
2008,2008 = 100,Endenergieproduktivität,,,100.0
2009,2008 = 100,Endenergieproduktivität,,,99.68
2010,2008 = 100,Endenergieproduktivität,,,96.66
2011,2008 = 100,Endenergieproduktivität,,,105.29
2012,2008 = 100,Endenergieproduktivität,,,105.29
2013,2008 = 100,Endenergieproduktivität,,,102.76
2014,2008 = 100,Endenergieproduktivität,,,110.82
2015,2008 = 100,Endenergieproduktivität,,,109.96
2016,2008 = 100,Endenergieproduktivität,,,110.26
2017,2008 = 100,Endenergieproduktivität,,,111.75
2018,2008 = 100,Endenergieproduktivität,,,116.34
2019,2008 = 100,Endenergieproduktivität,,,116.92
2020,2008 = 100,Endenergieproduktivität,,,120.04
2021,2008 = 100,Endenergieproduktivität,,,
2008,2008 = 100,Endenergieproduktivität,Baden-Württemberg,code08,100.0
2009,2008 = 100,Endenergieproduktivität,,,95.56
2010,2008 = 100,Endenergieproduktivität,,,100.38
2011,2008 = 100,Endenergieproduktivität,,,109.6
2012,2008 = 100,Endenergieproduktivität,,,111.95
2013,2008 = 100,Endenergieproduktivität,,,107.65
2014,2008 = 100,Endenergieproduktivität,,,117.24
2015,2008 = 100,Endenergieproduktivität,,,116.7
2016,2008 = 100,Endenergieproduktivität,,,115.33
2017,2008 = 100,Endenergieproduktivität,,,119.71
2018,2008 = 100,Endenergieproduktivität,,,121.65
2019,2008 = 100,Endenergieproduktivität,,,117.75
2020,2008 = 100,Endenergieproduktivität,,,123.69
2021,2008 = 100,Endenergieproduktivität,,,
2008,2008 = 100,Endenergieproduktivität,,,100.0
2009,2008 = 100,Endenergieproduktivität,,,98.7
2010,2008 = 100,Endenergieproduktivität,,,96.32
2011,2008 = 100,Endenergieproduktivität,,,103.17
2012,2008 = 100,Endenergieproduktivität,,,104.63
2013,2008 = 100,Endenergieproduktivität,,,104.95
2014,2008 = 100,Endenergieproduktivität,,,112.9
2015,2008 = 100,Endenergieproduktivität,,,112.09
2016,2008 = 100,Endenergieproduktivität,,,111.26
2017,2008 = 100,Endenergieproduktivität,,,114.29
2018,2008 = 100,Endenergieproduktivität,,,113.39
2019,2008 = 100,Endenergieproduktivität,,,112.21
2020,2008 = 100,Endenergieproduktivität,,,
2021,2008 = 100,Endenergieproduktivität,,,
2008,2008 = 100,Endenergieproduktivität,,,100.0
2009,2008 = 100,Endenergieproduktivität,,,98.34
2010,2008 = 100,Endenergieproduktivität,,,93.1
2011,2008 = 100,Endenergieproduktivität,,,108.4
