Year,Units,Series,Region,GeoCode,Value
2008,Total,Endenergieproduktivität,,,100.0
2009,Total,Endenergieproduktivität,,,99.7
2010,Total,Endenergieproduktivität,,,96.7
2011,Total,Endenergieproduktivität,,,105.3
2012,Total,Endenergieproduktivität,,,105.3
2013,Total,Endenergieproduktivität,,,102.8
2014,Total,Endenergieproduktivität,,,110.8
2015,Total,Endenergieproduktivität,,,110.0
2016,Total,Endenergieproduktivität,,,110.3
2017,Total,Endenergieproduktivität,,,111.7
2018,Total,Endenergieproduktivität,,,116.3
2019,Total,Endenergieproduktivität,,,116.9
2020,Total,Endenergieproduktivität,,,120.0
2008,Total,Endenergieproduktivität,Baden-Württemberg,code08,100.0
2009,Total,Endenergieproduktivität,Baden-Württemberg,code08,95.6
2010,Total,Endenergieproduktivität,Baden-Württemberg,code08,100.4
2011,Total,Endenergieproduktivität,Baden-Württemberg,code08,109.6
2012,Total,Endenergieproduktivität,Baden-Württemberg,code08,111.9
2013,Total,Endenergieproduktivität,Baden-Württemberg,code08,107.7
2014,Total,Endenergieproduktivität,Baden-Württemberg,code08,117.2
2015,Total,Endenergieproduktivität,Baden-Württemberg,code08,116.7
2016,Total,Endenergieproduktivität,Baden-Württemberg,code08,115.3
2017,Total,Endenergieproduktivität,Baden-Württemberg,code08,125.2
2018,Total,Endenergieproduktivität,Baden-Württemberg,code08,123.6
2019,Total,Endenergieproduktivität,Baden-Württemberg,code08,109.7
2008,Total,Endenergieproduktivität,Bayern,code09,100.0
2009,Total,Endenergieproduktivität,Bayern,code09,98.7
2010,Total,Endenergieproduktivität,Bayern,code09,96.3
2011,Total,Endenergieproduktivität,Bayern,code09,103.2
2012,Total,Endenergieproduktivität,Bayern,code09,104.6
2013,Total,Endenergieproduktivität,Bayern,code09,105.0
2014,Total,Endenergieproduktivität,Bayern,code09,112.9
2015,Total,Endenergieproduktivität,Bayern,code09,112.1
2016,Total,Endenergieproduktivität,Bayern,code09,111.3
2017,Total,Endenergieproduktivität,Bayern,code09,115.7
2018,Total,Endenergieproduktivität,Bayern,code09,117.9
2008,Total,Endenergieproduktivität,Berlin,code11,100.0
2009,Total,Endenergieproduktivität,Berlin,code11,98.3
2010,Total,Endenergieproduktivität,Berlin,code11,93.1
2011,Total,Endenergieproduktivität,Berlin,code11,108.6
2012,Total,Endenergieproduktivität,Berlin,code11,107.4
2013,Total,Endenergieproduktivität,Berlin,code11,104.1
2014,Total,Endenergieproduktivität,Berlin,code11,115.5
2015,Total,Endenergieproduktivität,Berlin,code11,122.1
2016,Total,Endenergieproduktivität,Berlin,code11,124.5
2017,Total,Endenergieproduktivität,Berlin,code11,131.4
2018,Total,Endenergieproduktivität,Berlin,code11,145.9
2008,Total,Endenergieproduktivität,Brandenburg,code12,100.0
2009,Total,Endenergieproduktivität,Brandenburg,code12,101.2
2010,Total,Endenergieproduktivität,Brandenburg,code12,97.5
2011,Total,Endenergieproduktivität,Brandenburg,code12,99.4
2012,Total,Endenergieproduktivität,Brandenburg,code12,100.1
2013,Total,Endenergieproduktivität,Brandenburg,code12,96.4
2014,Total,Endenergieproduktivität,Brandenburg,code12,103.7
2015,Total,Endenergieproduktivität,Brandenburg,code12,106.5
2016,Total,Endenergieproduktivität,Brandenburg,code12,103.6
2017,Total,Endenergieproduktivität,Brandenburg,code12,101.5
2018,Total,Endenergieproduktivität,Brandenburg,code12,105.2
2008,Total,Endenergieproduktivität,Bremen,code04,100.0
2009,Total,Endenergieproduktivität,Bremen,code04,97.4
2010,Total,Endenergieproduktivität,Bremen,code04,91.4
2011,Total,Endenergieproduktivität,Bremen,code04,95.9
2012,Total,Endenergieproduktivität,Bremen,code04,100.3
2013,Total,Endenergieproduktivität,Bremen,code04,99.9
2014,Total,Endenergieproduktivität,Bremen,code04,95.3
2015,Total,Endenergieproduktivität,Bremen,code04,97.4
2016,Total,Endenergieproduktivität,Bremen,code04,98.5
2017,Total,Endenergieproduktivität,Bremen,code04,107.0
2018,Total,Endenergieproduktivität,Bremen,code04,115.1
2019,Total,Endenergieproduktivität,Bremen,code04,113.4
2008,Total,Endenergieproduktivität,Hamburg,code02,100.0
2009,Total,Endenergieproduktivität,Hamburg,code02,97.6
2010,Total,Endenergieproduktivität,Hamburg,code02,94.2
2011,Total,Endenergieproduktivität,Hamburg,code02,100.9
2012,Total,Endenergieproduktivität,Hamburg,code02,99.3
2013,Total,Endenergieproduktivität,Hamburg,code02,103.8
2014,Total,Endenergieproduktivität,Hamburg,code02,109.6
2015,Total,Endenergieproduktivität,Hamburg,code02,108.8
2016,Total,Endenergieproduktivität,Hamburg,code02,110.7
2017,Total,Endenergieproduktivität,Hamburg,code02,115.0
2018,Total,Endenergieproduktivität,Hamburg,code02,116.1
2019,Total,Endenergieproduktivität,Hamburg,code02,112.8
2008,Total,Endenergieproduktivität,Hessen,code06,100.0
2009,Total,Endenergieproduktivität,Hessen,code06,97.6
2010,Total,Endenergieproduktivität,Hessen,code06,98.4
2011,Total,Endenergieproduktivität,Hessen,code06,106.6
2012,Total,Endenergieproduktivität,Hessen,code06,104.5
2013,Total,Endenergieproduktivität,Hessen,code06,102.6
2014,Total,Endenergieproduktivität,Hessen,code06,106.3
2015,Total,Endenergieproduktivität,Hessen,code06,104.6
2016,Total,Endenergieproduktivität,Hessen,code06,104.9
2017,Total,Endenergieproduktivität,Hessen,code06,110.4
2018,Total,Endenergieproduktivität,Hessen,code06,111.6
2019,Total,Endenergieproduktivität,Hessen,code06,102.7
2008,Total,Endenergieproduktivität,Mecklenburg-Vorpommern,code13,100.0
