Year,Units,Bundesland,GeoCode,Value
1991,Prozent,,,39.0
1992,Prozent,,,41.5
1993,Prozent,,,45.1
1994,Prozent,,,47.5
1995,Prozent,,,54.9
1996,Prozent,,,57.8
1997,Prozent,,,58.9
1998,Prozent,,,59.5
1999,Prozent,,,60.4
2000,Prozent,,,59.3
2001,Prozent,,,58.2
2002,Prozent,,,59.9
2003,Prozent,,,63.5
2004,Prozent,,,65.2
2005,Prozent,,,67.5
2006,Prozent,,,66.9
2007,Prozent,,,64.2
2008,Prozent,,,65.7
2009,Prozent,,,73.2
2010,Prozent,,,82.0
2011,Prozent,,,79.4
2012,Prozent,,,80.7
2013,Prozent,,,78.3
2014,Prozent,,,75.3
2015,Prozent,,,71.9
2016,Prozent,,,69.0
2017,Prozent,,,64.6
2018,Prozent,,,61.2
2019,Prozent,,,58.9
2020,Prozent,,,68.7
2021,Prozent,,,69.3
1991,Prozent,Niedersachsen,code03,20.8
1992,Prozent,,,20.7
1993,Prozent,,,20.3
1994,Prozent,,,21.1
1995,Prozent,,,22.1
1996,Prozent,,,23.0
1997,Prozent,,,23.5
1998,Prozent,,,23.6
1999,Prozent,,,23.5
2000,Prozent,,,22.8
2001,Prozent,,,22.6
2002,Prozent,,,24.1
2003,Prozent,,,25.6
2004,Prozent,,,26.7
2005,Prozent,,,27.7
2006,Prozent,,,27.3
2007,Prozent,,,26.4
2008,Prozent,,,25.9
2009,Prozent,,,27.8
2010,Prozent,,,29.7
2011,Prozent,,,29.0
2012,Prozent,,,28.0
2013,Prozent,,,27.8
2014,Prozent,,,26.9
2015,Prozent,,,28.0
2016,Prozent,,,26.0
2017,Prozent,,,25.3
2018,Prozent,,,24.1
2019,Prozent,,,22.9
2020,Prozent,,,26.1
2021,Prozent,,,24.9
1991,Prozent,,,19.8
1992,Prozent,,,19.4
1993,Prozent,,,19.3
1994,Prozent,,,19.8
1995,Prozent,,,19.6
1996,Prozent,,,20.8
1997,Prozent,,,21.1
1998,Prozent,,,21.6
1999,Prozent,,,22.1
2000,Prozent,,,22.2
2001,Prozent,,,22.1
2002,Prozent,,,23.1
2003,Prozent,,,24.1
2004,Prozent,,,25.0
2005,Prozent,,,26.1
2006,Prozent,,,26.4
2007,Prozent,,,25.0
2008,Prozent,,,24.3
2009,Prozent,,,26.9
2010,Prozent,,,39.6
2011,Prozent,,,39.5
2012,Prozent,,,44.3
2013,Prozent,,,40.4
2014,Prozent,,,38.6
2015,Prozent,,,37.7
2016,Prozent,,,36.3
2017,Prozent,,,33.5
2018,Prozent,,,31.2
2019,Prozent,,,31.0
2020,Prozent,,,33.1
2021,Prozent,,,31.6
1991,Prozent,,,19.6
1992,Prozent,,,19.8
1993,Prozent,,,19.8
1994,Prozent,,,20.0
1995,Prozent,,,20.3
1996,Prozent,,,20.9
1997,Prozent,,,21.6
1998,Prozent,,,22.7
