Year,Units,Bundesland,GeoCode,Value
1991,Prozent,,,24.891
1992,Prozent,,,25.201
1993,Prozent,,,24.056
1994,Prozent,,,24.141
1995,Prozent,,,23.539
1996,Prozent,,,23.027
1997,Prozent,,,22.651
1998,Prozent,,,22.798
1999,Prozent,,,23.039
2000,Prozent,,,23.114
2001,Prozent,,,21.778
2002,Prozent,,,20.122
2003,Prozent,,,19.523
2004,Prozent,,,19.091
2005,Prozent,,,19.077
2006,Prozent,,,19.803
2007,Prozent,,,20.057
2008,Prozent,,,20.303
2009,Prozent,,,19.268
2010,Prozent,,,19.543
2011,Prozent,,,20.371
2012,Prozent,,,20.321
2013,Prozent,,,19.901
2014,Prozent,,,20.04
2015,Prozent,,,20.02
2016,Prozent,,,20.298
2017,Prozent,,,20.411
2018,Prozent,,,21.065
2019,Prozent,,,21.374
2020,Prozent,,,21.617
2021,Prozent,,,21.762
1991,Prozent,Baden-Württemberg,code08,24.71
1992,Prozent,,,24.33
1993,Prozent,,,23.07
1994,Prozent,,,21.77
1995,Prozent,,,20.41
1996,Prozent,,,20.32
1997,Prozent,,,19.56
1998,Prozent,,,20.07
1999,Prozent,,,20.33
2000,Prozent,,,21.21
2001,Prozent,,,21.57
2002,Prozent,,,20.47
2003,Prozent,,,19.27
2004,Prozent,,,19.84
2005,Prozent,,,19.23
2006,Prozent,,,20.17
2007,Prozent,,,20.37
2008,Prozent,,,21.17
2009,Prozent,,,20.64
2010,Prozent,,,19.83
2011,Prozent,,,20.63
2012,Prozent,,,21.71
2013,Prozent,,,20.89
2014,Prozent,,,20.53
2015,Prozent,,,20.81
2016,Prozent,,,20.98
2017,Prozent,,,21.85
2018,Prozent,,,22.9
2019,Prozent,,,23.44
2020,Prozent,,,
2021,Prozent,,,
1991,Prozent,,,28.11
1992,Prozent,,,27.4
1993,Prozent,,,24.58
1994,Prozent,,,25.28
1995,Prozent,,,24.78
1996,Prozent,,,24.41
1997,Prozent,,,22.89
1998,Prozent,,,23.71
1999,Prozent,,,23.51
2000,Prozent,,,24.27
2001,Prozent,,,23.04
2002,Prozent,,,21.68
2003,Prozent,,,22.35
2004,Prozent,,,21.33
2005,Prozent,,,20.43
2006,Prozent,,,23.7
2007,Prozent,,,22.94
2008,Prozent,,,23.15
2009,Prozent,,,21.52
