Year,Units,Value
1991,Prozent,2.4
1992,Prozent,2.28
1993,Prozent,2.21
1994,Prozent,2.13
1995,Prozent,2.13
1996,Prozent,2.15
1997,Prozent,2.18
1998,Prozent,2.25
1999,Prozent,2.33
2000,Prozent,2.39
2001,Prozent,2.38
2002,Prozent,2.41
2003,Prozent,2.44
2004,Prozent,2.4
2005,Prozent,2.4
2006,Prozent,2.43
2007,Prozent,2.42
2008,Prozent,2.57
2009,Prozent,2.69
2010,Prozent,2.68
2011,Prozent,2.75
2012,Prozent,2.82
2013,Prozent,2.78
2014,Prozent,2.82
2015,Prozent,2.88
2016,Prozent,2.88
2017,Prozent,2.99
2018,Prozent,3.05
2019,Prozent,3.11
2020,Prozent,3.09
2021,Prozent,3.08
2022,Prozent,3.07
2025,Prozent,
