Year,Units,Zeitreihe,Geschlecht,Region,Value
2010,Prozent,Materiell Deprivierte,,EU-28,17.8
2011,Prozent,Materiell Deprivierte,,EU-28,18.5
2012,Prozent,Materiell Deprivierte,,EU-28,19.8
2013,Prozent,Materiell Deprivierte,,EU-28,19.5
2014,Prozent,Materiell Deprivierte,,EU-28,18.5
2015,Prozent,Materiell Deprivierte,,EU-28,17.0
2016,Prozent,Materiell Deprivierte,,EU-28,15.7
2017,Prozent,Materiell Deprivierte,,EU-28,14.5
2018,Prozent,Materiell Deprivierte,,EU-28,13.1
2019,Prozent,Materiell Deprivierte,,EU-28,12.0
2010,Prozent,Materiell Deprivierte,Weiblich,EU-28,18.4
2011,Prozent,Materiell Deprivierte,Weiblich,EU-28,19.1
2012,Prozent,Materiell Deprivierte,Weiblich,EU-28,20.3
2013,Prozent,Materiell Deprivierte,Weiblich,EU-28,20.1
2014,Prozent,Materiell Deprivierte,Weiblich,EU-28,19.1
2015,Prozent,Materiell Deprivierte,Weiblich,EU-28,17.5
2016,Prozent,Materiell Deprivierte,Weiblich,EU-28,16.3
2017,Prozent,Materiell Deprivierte,Weiblich,EU-28,15.0
2018,Prozent,Materiell Deprivierte,Weiblich,EU-28,13.6
2019,Prozent,Materiell Deprivierte,Weiblich,EU-28,12.5
2010,Prozent,Materiell Deprivierte,Männlich,EU-28,17.2
2011,Prozent,Materiell Deprivierte,Männlich,EU-28,17.8
2012,Prozent,Materiell Deprivierte,Männlich,EU-28,19.1
2013,Prozent,Materiell Deprivierte,Männlich,EU-28,18.9
2014,Prozent,Materiell Deprivierte,Männlich,EU-28,17.9
2015,Prozent,Materiell Deprivierte,Männlich,EU-28,16.5
2016,Prozent,Materiell Deprivierte,Männlich,EU-28,15.2
2017,Prozent,Materiell Deprivierte,Männlich,EU-28,13.9
2018,Prozent,Materiell Deprivierte,Männlich,EU-28,12.6
2019,Prozent,Materiell Deprivierte,Männlich,EU-28,11.5
2010,Prozent,Materiell Deprivierte,,Deutschland,11.1
2011,Prozent,Materiell Deprivierte,,Deutschland,12.4
2012,Prozent,Materiell Deprivierte,,Deutschland,11.3
2013,Prozent,Materiell Deprivierte,,Deutschland,11.6
2014,Prozent,Materiell Deprivierte,,Deutschland,11.3
2015,Prozent,Materiell Deprivierte,,Deutschland,10.7
2016,Prozent,Materiell Deprivierte,,Deutschland,9.7
2017,Prozent,Materiell Deprivierte,,Deutschland,9.1
2018,Prozent,Materiell Deprivierte,,Deutschland,7.8
2019,Prozent,Materiell Deprivierte,,Deutschland,6.8
2010,Prozent,Materiell Deprivierte,Weiblich,Deutschland,11.5
2011,Prozent,Materiell Deprivierte,Weiblich,Deutschland,13.3
2012,Prozent,Materiell Deprivierte,Weiblich,Deutschland,12.2
2013,Prozent,Materiell Deprivierte,Weiblich,Deutschland,12.5
2014,Prozent,Materiell Deprivierte,Weiblich,Deutschland,12.1
2015,Prozent,Materiell Deprivierte,Weiblich,Deutschland,11.2
2016,Prozent,Materiell Deprivierte,Weiblich,Deutschland,10.4
2017,Prozent,Materiell Deprivierte,Weiblich,Deutschland,9.9
2018,Prozent,Materiell Deprivierte,Weiblich,Deutschland,8.1
2019,Prozent,Materiell Deprivierte,Weiblich,Deutschland,7.2
2010,Prozent,Materiell Deprivierte,Männlich,Deutschland,10.6
2011,Prozent,Materiell Deprivierte,Männlich,Deutschland,11.5
2012,Prozent,Materiell Deprivierte,Männlich,Deutschland,10.5
2013,Prozent,Materiell Deprivierte,Männlich,Deutschland,10.7
2014,Prozent,Materiell Deprivierte,Männlich,Deutschland,10.4
2015,Prozent,Materiell Deprivierte,Männlich,Deutschland,10.1
2016,Prozent,Materiell Deprivierte,Männlich,Deutschland,8.9
2017,Prozent,Materiell Deprivierte,Männlich,Deutschland,8.3
2018,Prozent,Materiell Deprivierte,Männlich,Deutschland,7.5
2019,Prozent,Materiell Deprivierte,Männlich,Deutschland,6.5
2010,Prozent,Erhebliche materiell Deprivierte,,EU-28,8.4
2011,Prozent,Erhebliche materiell Deprivierte,,EU-28,8.8
2012,Prozent,Erhebliche materiell Deprivierte,,EU-28,9.9
2013,Prozent,Erhebliche materiell Deprivierte,,EU-28,9.6
2014,Prozent,Erhebliche materiell Deprivierte,,EU-28,8.9
2015,Prozent,Erhebliche materiell Deprivierte,,EU-28,8.1
2016,Prozent,Erhebliche materiell Deprivierte,,EU-28,7.5
2017,Prozent,Erhebliche materiell Deprivierte,,EU-28,6.6
2018,Prozent,Erhebliche materiell Deprivierte,,EU-28,5.9
2019,Prozent,Erhebliche materiell Deprivierte,,EU-28,5.5
2010,Prozent,Erhebliche materiell Deprivierte,,Deutschland,4.5
2011,Prozent,Erhebliche materiell Deprivierte,,Deutschland,5.3
2012,Prozent,Erhebliche materiell Deprivierte,,Deutschland,4.9
2013,Prozent,Erhebliche materiell Deprivierte,,Deutschland,5.4
2014,Prozent,Erhebliche materiell Deprivierte,,Deutschland,5.0
2015,Prozent,Erhebliche materiell Deprivierte,,Deutschland,4.4
2016,Prozent,Erhebliche materiell Deprivierte,,Deutschland,3.7
2017,Prozent,Erhebliche materiell Deprivierte,,Deutschland,3.4
2018,Prozent,Erhebliche materiell Deprivierte,,Deutschland,3.1
2019,Prozent,Erhebliche materiell Deprivierte,,Deutschland,2.6
