Year,Units,Zeitreihe,Geschlecht,Region,GeoCode,Value
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,80.4
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,80.6
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,80.5
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,80.7
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,80.1
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,79.8
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,80.6
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,80.9
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,81.9
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,82.6
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,83.2
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,84.0
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,85.0
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,86.2
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,87.2
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,88.2
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,88.6
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,89.3
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,88.1
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,88.2
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,85.8
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,81.8
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,81.8
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,,,,82.4
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,84.4
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,84.6
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,85.8
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,86.4
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,86.5
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,87.0
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,87.9
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,88.5
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,89.5
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,90.3
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,90.6
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,91.1
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,89.4
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,90.3
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,89.1
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,86.4
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,85.6
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,,,85.8
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,76.9
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,77.4
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,78.3
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,79.1
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,80.2
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,81.2
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,82.3
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,83.9
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,85.0
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,86.2
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,86.7
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,87.6
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,86.8
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,86.2
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,82.9
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,78.0
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,78.8
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,,,79.5
1996,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,92.3
1997,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,92.3
1998,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,92.1
1999,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,92.0
2000,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,91.7
2001,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,91.3
2002,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,91.8
2003,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,92.1
2004,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,92.6
2005,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,92.8
2006,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,93.0
2007,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,93.6
2008,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,93.8
2009,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,94.2
2010,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,94.6
2011,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,95.0
2012,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,95.1
2013,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,95.4
2014,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,95.1
2015,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,95.0
2016,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,95.1
2017,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,94.8
2018,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,94.6
2019,Prozent,Deutsche Schulabsolventinnen und -absolventen,,,,94.5
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,80.0
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,80.3
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,81.2
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,80.8
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,80.1
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,79.8
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,80.3
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,81.5
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,82.5
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,83.3
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,83.9
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,84.9
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,86.3
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,87.2
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,88.3
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,88.7
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,88.0
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Baden-Württemberg,code08,90.0
