Year,Units,Series,Geschlecht,Bundesland,GeoCode,Value
1996,Prozent,Ausländer,,,,80.35
1997,Prozent,Ausländer,,,,80.57
1998,Prozent,Ausländer,,,,80.51
1999,Prozent,Ausländer,,,,80.69
2000,Prozent,Ausländer,,,,80.1
2001,Prozent,Ausländer,,,,79.83
2002,Prozent,Ausländer,,,,80.55
2003,Prozent,Ausländer,,,,80.9
2004,Prozent,Ausländer,,,,81.91
2005,Prozent,Ausländer,,,,82.6
2006,Prozent,Ausländer,,,,83.23
2007,Prozent,Ausländer,,,,84.0
2008,Prozent,Ausländer,,,,85.0
2009,Prozent,Ausländer,,,,86.2
2010,Prozent,Ausländer,,,,87.19
2011,Prozent,Ausländer,,,,88.22
2012,Prozent,Ausländer,,,,88.61
2013,Prozent,Ausländer,,,,89.29
2014,Prozent,Ausländer,,,,88.06
2015,Prozent,Ausländer,,,,88.2
2016,Prozent,Ausländer,,,,85.83
2017,Prozent,Ausländer,,,,81.81
2018,Prozent,Ausländer,,,,81.8
2019,Prozent,Ausländer,,,,82.37
2020,Prozent,Ausländer,,,,85.35
1996,Prozent,Ausländer,Weiblich,,,84.47
1997,Prozent,Ausländer,,,,84.73
1998,Prozent,Ausländer,,,,84.53
1999,Prozent,Ausländer,,,,85.23
2000,Prozent,Ausländer,,,,84.33
2001,Prozent,Ausländer,,,,84.19
2002,Prozent,Ausländer,,,,84.42
2003,Prozent,Ausländer,,,,84.59
2004,Prozent,Ausländer,,,,85.81
2005,Prozent,Ausländer,,,,86.42
2006,Prozent,Ausländer,,,,86.53
2007,Prozent,Ausländer,,,,87.04
2008,Prozent,Ausländer,,,,87.92
2009,Prozent,Ausländer,,,,88.54
2010,Prozent,Ausländer,,,,89.47
2011,Prozent,Ausländer,,,,90.34
2012,Prozent,Ausländer,,,,90.59
2013,Prozent,Ausländer,,,,91.07
2014,Prozent,Ausländer,,,,89.41
2015,Prozent,Ausländer,,,,90.3
2016,Prozent,Ausländer,,,,89.1
2017,Prozent,Ausländer,,,,86.35
2018,Prozent,Ausländer,,,,85.57
2019,Prozent,Ausländer,,,,85.83
2020,Prozent,Ausländer,,,,88.02
1996,Prozent,Ausländer,,,,76.66
1997,Prozent,Ausländer,,,,76.83
1998,Prozent,Ausländer,,,,76.9
1999,Prozent,Ausländer,,,,77.49
2000,Prozent,Ausländer,,,,76.21
2001,Prozent,Ausländer,,,,75.63
2002,Prozent,Ausländer,,,,76.89
2003,Prozent,Ausländer,,,,77.42
2004,Prozent,Ausländer,,,,78.31
2005,Prozent,Ausländer,,,,79.14
2006,Prozent,Ausländer,,,,80.18
2007,Prozent,Ausländer,,,,81.21
2008,Prozent,Ausländer,,,,82.28
2009,Prozent,Ausländer,,,,83.85
2010,Prozent,Ausländer,,,,84.97
2011,Prozent,Ausländer,,,,86.17
2012,Prozent,Ausländer,,,,86.69
2013,Prozent,Ausländer,,,,87.56
2014,Prozent,Ausländer,,,,86.76
2015,Prozent,Ausländer,,,,86.2
2016,Prozent,Ausländer,,,,82.9
2017,Prozent,Ausländer,,,,77.98
2018,Prozent,Ausländer,,,,78.77
2019,Prozent,Ausländer,,,,79.49
2020,Prozent,Ausländer,,,,83.01
1996,Prozent,Deutsche,,,,92.28
1997,Prozent,Deutsche,,,,92.29
1998,Prozent,Deutsche,,,,92.06
1999,Prozent,Deutsche,,,,92.0
2000,Prozent,Deutsche,,,,91.69
2001,Prozent,Deutsche,,,,91.35
2002,Prozent,Deutsche,,,,91.8
2003,Prozent,Deutsche,,,,92.07
2004,Prozent,Deutsche,,,,92.58
2005,Prozent,Deutsche,,,,92.76
2006,Prozent,Deutsche,,,,93.05
2007,Prozent,Deutsche,,,,93.6
2008,Prozent,Deutsche,,,,93.8
2009,Prozent,Deutsche,,,,94.23
2010,Prozent,Deutsche,,,,94.57
2011,Prozent,Deutsche,,,,95.01
2012,Prozent,Deutsche,,,,95.1
2013,Prozent,Deutsche,,,,95.38
2014,Prozent,Deutsche,,,,95.14
2015,Prozent,Deutsche,,,,95.0
2016,Prozent,Deutsche,,,,95.08
2017,Prozent,Deutsche,,,,94.82
2018,Prozent,Deutsche,,,,94.58
2019,Prozent,Deutsche,,,,94.53
2020,Prozent,Deutsche,,,,94.91
1996,Prozent,Ausländer,,Baden-Württemberg,code08,79.95
1997,Prozent,Ausländer,,,,80.3
1998,Prozent,Ausländer,,,,81.16
1999,Prozent,Ausländer,,,,80.85
2000,Prozent,Ausländer,,,,80.12
2001,Prozent,Ausländer,,,,79.81
2002,Prozent,Ausländer,,,,80.27
2003,Prozent,Ausländer,,,,81.47
2004,Prozent,Ausländer,,,,82.46
2005,Prozent,Ausländer,,,,83.26
2006,Prozent,Ausländer,,,,83.89
2007,Prozent,Ausländer,,,,84.93
2008,Prozent,Ausländer,,,,86.3
2009,Prozent,Ausländer,,,,87.19
2010,Prozent,Ausländer,,,,88.35
2011,Prozent,Ausländer,,,,88.74
2012,Prozent,Ausländer,,,,88.04
2013,Prozent,Ausländer,,,,89.99
2014,Prozent,Ausländer,,,,89.1
2015,Prozent,Ausländer,,,,90.07
2016,Prozent,Ausländer,,,,87.8
2017,Prozent,Ausländer,,,,80.56
2018,Prozent,Ausländer,,,,81.54
2019,Prozent,Ausländer,,,,84.07
2020,Prozent,Ausländer,,,,85.49
1996,Prozent,Ausländer,,,,84.06
1997,Prozent,Ausländer,,,,84.43
1998,Prozent,Ausländer,,,,84.64
1999,Prozent,Ausländer,,,,85.0
2000,Prozent,Ausländer,,,,84.74
2001,Prozent,Ausländer,,,,84.39
2002,Prozent,Ausländer,,,,84.0
2003,Prozent,Ausländer,,,,85.58
2004,Prozent,Ausländer,,,,86.16
2005,Prozent,Ausländer,,,,87.53
2006,Prozent,Ausländer,,,,86.99
2007,Prozent,Ausländer,,,,87.57
2008,Prozent,Ausländer,,,,88.82
2009,Prozent,Ausländer,,,,89.44
2010,Prozent,Ausländer,,,,89.76
2011,Prozent,Ausländer,,,,90.6
2012,Prozent,Ausländer,,,,89.71
