Year,Units,Zeitreihe,Bundesland,GeoCode,Value
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,23.49
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,22.41
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,21.86
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,20.59
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,,,23.5
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,,,22.75
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,,,22.5
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des Jahres 2012,,,21.3
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Baden-Württemberg,code08,22.8
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,21.85
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,21.61
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,20.47
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,23.67
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,22.42
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,20.86
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,19.24
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,27.19
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,24.87
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,24.4
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,23.39
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,24.59
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,22.27
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,21.48
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,19.25
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,24.54
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,22.52
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,21.83
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,20.65
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,23.55
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,25.81
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,25.87
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,25.91
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,20.2
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,19.26
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,18.93
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,17.53
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,32.31
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,30.67
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,30.6
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,28.34
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,27.44
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,25.6
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,24.89
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,23.91
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,19.4
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,19.29
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,18.98
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,17.8
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,22.95
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,20.94
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,20.56
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,19.67
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,22.59
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,20.5
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,20.46
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,19.54
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,24.89
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,23.33
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,22.97
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,21.88
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,28.92
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,27.15
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,27.52
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,26.03
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,30.06
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,28.99
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,28.34
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,27.28
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,24.45
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,23.5
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,22.99
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,,,21.0
