Year,Units,Anzeigen,Zeitreihe,Value
2014.1,Millionen,Zeitreihe,Objekte insgesamt,7.9
2014.2,Millionen,Zeitreihe,Objekte insgesamt,11.2
2015.1,Millionen,Zeitreihe,Objekte insgesamt,15.1
2015.2,Millionen,Zeitreihe,Objekte insgesamt,18.2
2016.1,Millionen,Zeitreihe,Objekte insgesamt,19.7
2016.2,Millionen,Zeitreihe,Objekte insgesamt,20.4
2017.1,Millionen,Zeitreihe,Objekte insgesamt,22.5
2017.2,Millionen,Zeitreihe,Objekte insgesamt,23.7
2018.1,Millionen,Zeitreihe,Objekte insgesamt,24.2
2018.2,Millionen,Zeitreihe,Objekte insgesamt,24.2
2019.1,Millionen,Zeitreihe,Objekte insgesamt,26.4
2019.2,Millionen,Zeitreihe,Objekte insgesamt,32.1
2020.1,Millionen,Zeitreihe,Objekte insgesamt,33.0
2030.0,Millionen,Ziel,Objekte insgesamt,50.0
2016.1,Millionen,Zeitreihe,Objekte mit Digitalisat,6.2
2016.2,Millionen,Zeitreihe,Objekte mit Digitalisat,6.5
2017.1,Millionen,Zeitreihe,Objekte mit Digitalisat,7.4
2017.2,Millionen,Zeitreihe,Objekte mit Digitalisat,7.9
2018.1,Millionen,Zeitreihe,Objekte mit Digitalisat,7.9
2018.2,Millionen,Zeitreihe,Objekte mit Digitalisat,7.9
2019.1,Millionen,Zeitreihe,Objekte mit Digitalisat,10.2
2019.2,Millionen,Zeitreihe,Objekte mit Digitalisat,11.3
2020.1,Millionen,Zeitreihe,Objekte mit Digitalisat,11.3
