Year,Units,Series,Series.1,Series.2,Series.3,Value
2015,Prozent,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,
2016,Prozent,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,
2017,Prozent,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,
2018,Prozent,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,
2019,Prozent,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,
2020,Prozent,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,
2021,Prozent,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,12.6
2022,Prozent,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,12.8
2024,Prozent,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,
2023,Prozent,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,
2026,Prozent,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,a) Anteil nachhaltiger Vergabeverfahren,
2015,2015 = 100,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,100.0
2016,2015 = 100,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,99.954
2017,2015 = 100,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,99.679
2018,2015 = 100,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,99.854
2019,2015 = 100,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,100.427
2020,2015 = 100,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,101.93
2021,2015 = 100,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,102.998
2022,2015 = 100,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,101.606
2024,2015 = 100,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,b) CO₂-Emissionen der Kfz der öffentlichen Hand,
