Year,Units,Anzeigen,Meer,Value
1995,Milligramm pro Liter,Zeitreihe,Nordsee,4.73
1996,Milligramm pro Liter,Zeitreihe,Nordsee,4.71
1997,Milligramm pro Liter,Zeitreihe,Nordsee,4.49
1998,Milligramm pro Liter,Zeitreihe,Nordsee,4.3
1999,Milligramm pro Liter,Zeitreihe,Nordsee,4.14
2000,Milligramm pro Liter,Zeitreihe,Nordsee,4.03
2001,Milligramm pro Liter,Zeitreihe,Nordsee,3.85
2002,Milligramm pro Liter,Zeitreihe,Nordsee,3.78
2003,Milligramm pro Liter,Zeitreihe,Nordsee,3.63
2004,Milligramm pro Liter,Zeitreihe,Nordsee,3.6
2005,Milligramm pro Liter,Zeitreihe,Nordsee,3.57
2006,Milligramm pro Liter,Zeitreihe,Nordsee,3.57
2007,Milligramm pro Liter,Zeitreihe,Nordsee,3.49
2008,Milligramm pro Liter,Zeitreihe,Nordsee,3.46
2009,Milligramm pro Liter,Zeitreihe,Nordsee,3.39
2010,Milligramm pro Liter,Zeitreihe,Nordsee,3.4
2011,Milligramm pro Liter,Zeitreihe,Nordsee,3.31
2012,Milligramm pro Liter,Zeitreihe,Nordsee,3.18
2013,Milligramm pro Liter,Zeitreihe,Nordsee,3.17
2014,Milligramm pro Liter,Zeitreihe,Nordsee,3.1
2015,Milligramm pro Liter,Zeitreihe,Nordsee,2.99
2016,Milligramm pro Liter,Zeitreihe,Nordsee,2.93
2017,Milligramm pro Liter,Zeitreihe,Nordsee,2.99
1995,Milligramm pro Liter,Ziel,Nordsee,2.8
1996,Milligramm pro Liter,Ziel,Nordsee,2.8
1997,Milligramm pro Liter,Ziel,Nordsee,2.8
1998,Milligramm pro Liter,Ziel,Nordsee,2.8
1999,Milligramm pro Liter,Ziel,Nordsee,2.8
2000,Milligramm pro Liter,Ziel,Nordsee,2.8
2001,Milligramm pro Liter,Ziel,Nordsee,2.8
2002,Milligramm pro Liter,Ziel,Nordsee,2.8
2003,Milligramm pro Liter,Ziel,Nordsee,2.8
2004,Milligramm pro Liter,Ziel,Nordsee,2.8
2005,Milligramm pro Liter,Ziel,Nordsee,2.8
2006,Milligramm pro Liter,Ziel,Nordsee,2.8
2007,Milligramm pro Liter,Ziel,Nordsee,2.8
2008,Milligramm pro Liter,Ziel,Nordsee,2.8
2009,Milligramm pro Liter,Ziel,Nordsee,2.8
2010,Milligramm pro Liter,Ziel,Nordsee,2.8
2011,Milligramm pro Liter,Ziel,Nordsee,2.8
2012,Milligramm pro Liter,Ziel,Nordsee,2.8
2013,Milligramm pro Liter,Ziel,Nordsee,2.8
2014,Milligramm pro Liter,Ziel,Nordsee,2.8
2015,Milligramm pro Liter,Ziel,Nordsee,2.8
2016,Milligramm pro Liter,Ziel,Nordsee,2.8
2017,Milligramm pro Liter,Ziel,Nordsee,2.8
2018,Milligramm pro Liter,Ziel,Nordsee,2.8
2019,Milligramm pro Liter,Ziel,Nordsee,2.8
1998,Milligramm pro Liter,Zeitreihe,Ostsee,4.17
1999,Milligramm pro Liter,Zeitreihe,Ostsee,3.92
2000,Milligramm pro Liter,Zeitreihe,Ostsee,3.83
2001,Milligramm pro Liter,Zeitreihe,Ostsee,3.96
2002,Milligramm pro Liter,Zeitreihe,Ostsee,4.18
2003,Milligramm pro Liter,Zeitreihe,Ostsee,3.74
2004,Milligramm pro Liter,Zeitreihe,Ostsee,3.58
2005,Milligramm pro Liter,Zeitreihe,Ostsee,3.58
2006,Milligramm pro Liter,Zeitreihe,Ostsee,3.52
2007,Milligramm pro Liter,Zeitreihe,Ostsee,3.52
2008,Milligramm pro Liter,Zeitreihe,Ostsee,3.69
2009,Milligramm pro Liter,Zeitreihe,Ostsee,3.6
2010,Milligramm pro Liter,Zeitreihe,Ostsee,3.75
2011,Milligramm pro Liter,Zeitreihe,Ostsee,3.78
