Year,Units,Anzeigen,Zeitreihe,Meer,Value
2003,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,31.0
2004,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,20.7
2005,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,20.7
2006,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,13.8
2007,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,17.2
2008,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,24.1
2009,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,27.6
2010,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,34.5
2011,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,37.9
2012,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,44.8
2013,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,41.4
2014,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,41.4
2015,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,41.4
2016,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,44.8
2017,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,44.8
2018,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,51.7
2020,Prozent,Ziel,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,,100.0
2003,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,40.9
2004,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,22.7
2005,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,22.7
2006,Prozent,Zeitreihe,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen,Nordsee,13.6
