Year,Zeitreihe,Units,Value
2012,Corruption Perception Index in Deutschland,,79.0
2013,Corruption Perception Index in Deutschland,,78.0
2014,Corruption Perception Index in Deutschland,,79.0
2015,Corruption Perception Index in Deutschland,,81.0
2016,Corruption Perception Index in Deutschland,,81.0
2017,Corruption Perception Index in Deutschland,,81.0
2018,Corruption Perception Index in Deutschland,,80.0
2019,Corruption Perception Index in Deutschland,,80.0
2020,Corruption Perception Index in Deutschland,,80.0
2021,Corruption Perception Index in Deutschland,,80.0
2013,Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,Anzahl,20.0
2014,Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,Anzahl,40.0
2015,Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,Anzahl,43.0
2016,Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,Anzahl,45.0
2017,Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,Anzahl,45.0
2018,Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,Anzahl,44.0
2019,Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,Anzahl,45.0
2020,Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,Anzahl,47.0
2021,Corruption Perception Index in den Partnerländern der deutschen Entwicklungszusammenarbeit,Anzahl,48.0
