Year,Units,Series,Value
2000,Kilogramm pro Hektar,Berechnete jährliche Werte,115.3
2001,Kilogramm pro Hektar,Berechnete jährliche Werte,101.7
2002,Kilogramm pro Hektar,Berechnete jährliche Werte,105.8
2003,Kilogramm pro Hektar,Berechnete jährliche Werte,105.4
2004,Kilogramm pro Hektar,Berechnete jährliche Werte,97.3
2005,Kilogramm pro Hektar,Berechnete jährliche Werte,102.4
2006,Kilogramm pro Hektar,Berechnete jährliche Werte,105.7
2007,Kilogramm pro Hektar,Berechnete jährliche Werte,100.4
2008,Kilogramm pro Hektar,Berechnete jährliche Werte,103.2
2009,Kilogramm pro Hektar,Berechnete jährliche Werte,83.7
2010,Kilogramm pro Hektar,Berechnete jährliche Werte,90.3
2011,Kilogramm pro Hektar,Berechnete jährliche Werte,106.2
2012,Kilogramm pro Hektar,Berechnete jährliche Werte,91.0
2013,Kilogramm pro Hektar,Berechnete jährliche Werte,93.6
2014,Kilogramm pro Hektar,Berechnete jährliche Werte,84.8
2015,Kilogramm pro Hektar,Berechnete jährliche Werte,102.1
2016,Kilogramm pro Hektar,Berechnete jährliche Werte,98.5
2017,Kilogramm pro Hektar,Berechnete jährliche Werte,90.0
2018,Kilogramm pro Hektar,Berechnete jährliche Werte,87.9
2019,Kilogramm pro Hektar,Berechnete jährliche Werte,78.7
2020,Kilogramm pro Hektar,Berechnete jährliche Werte,79.7
2000,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,108.3
2001,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,107.8
2002,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,105.1
2003,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,102.5
2004,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,103.3
2005,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,102.2
2006,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,101.8
2007,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,99.1
2008,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,96.6
2009,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,96.8
2010,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,94.9
2011,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,93.0
2012,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,93.2
2013,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,95.6
2014,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,94.0
2015,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,93.8
2016,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,92.7
2017,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,91.5
2018,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr,87.0
