Year,Units,Zeitreihe,Region,GeoCode,Value
1999.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,2.85
2001.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,3.57
2003.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,4.3
2005.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,4.59
2007.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,5.08
2010.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,5.64
2012.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,5.76
2013.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,6.04
2014.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,6.18
2015.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,6.34
2016.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,6.82
2017.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,6.82
2018.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,7.34
2019.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,7.75
2020.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,9.6
,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,
2030.0,Prozent,Daten des Statistischen Bundesamtes,Deutschland,,
1999.0,Prozent,Daten des BMEL,Deutschland,,2.6
2000.0,Prozent,Daten des BMEL,Deutschland,,3.2
2001.0,Prozent,Daten des BMEL,Deutschland,,3.7
2002.0,Prozent,Daten des BMEL,Deutschland,,4.1
2003.0,Prozent,Daten des BMEL,Deutschland,,4.3
2004.0,Prozent,Daten des BMEL,Deutschland,,4.5
2005.0,Prozent,Daten des BMEL,Deutschland,,4.7
2006.0,Prozent,Daten des BMEL,Deutschland,,4.9
2007.0,Prozent,Daten des BMEL,Deutschland,,5.1
2008.0,Prozent,Daten des BMEL,Deutschland,,5.4
2009.0,Prozent,Daten des BMEL,Deutschland,,5.6
2010.0,Prozent,Daten des BMEL,Deutschland,,5.9
2011.0,Prozent,Daten des BMEL,Deutschland,,6.1
2012.0,Prozent,Daten des BMEL,Deutschland,,6.2
2013.0,Prozent,Daten des BMEL,Deutschland,,6.3
2014.0,Prozent,Daten des BMEL,Deutschland,,6.3
2015.0,Prozent,Daten des BMEL,Deutschland,,6.5
2016.0,Prozent,Daten des BMEL,Deutschland,,7.5
2017.0,Prozent,Daten des BMEL,Deutschland,,8.2
2018.0,Prozent,Daten des BMEL,Deutschland,,9.1
2019.0,Prozent,Daten des BMEL,Deutschland,,9.7
1999.0,Prozent,Daten des Statistischen Bundesamtes,Baden-Württemberg,code08,5.3
2001.0,Prozent,Daten des Statistischen Bundesamtes,Baden-Württemberg,code08,6.7
2003.0,Prozent,Daten des Statistischen Bundesamtes,Baden-Württemberg,code08,6.4
2005.0,Prozent,Daten des Statistischen Bundesamtes,Baden-Württemberg,code08,6.4
2007.0,Prozent,Daten des Statistischen Bundesamtes,Baden-Württemberg,code08,6.59
2010.0,Prozent,Daten des Statistischen Bundesamtes,Baden-Württemberg,code08,6.98
2013.0,Prozent,Daten des Statistischen Bundesamtes,Baden-Württemberg,code08,7.81
2016.0,Prozent,Daten des Statistischen Bundesamtes,Baden-Württemberg,code08,9.31
1999.0,Prozent,Daten des Statistischen Bundesamtes,Bayern,code09,2.2
2001.0,Prozent,Daten des Statistischen Bundesamtes,Bayern,code09,2.8
2003.0,Prozent,Daten des Statistischen Bundesamtes,Bayern,code09,3.9
2005.0,Prozent,Daten des Statistischen Bundesamtes,Bayern,code09,3.9
2007.0,Prozent,Daten des Statistischen Bundesamtes,Bayern,code09,4.55
2010.0,Prozent,Daten des Statistischen Bundesamtes,Bayern,code09,6.08
2013.0,Prozent,Daten des Statistischen Bundesamtes,Bayern,code09,6.82
2016.0,Prozent,Daten des Statistischen Bundesamtes,Bayern,code09,8.26
2010.0,Prozent,Daten des Statistischen Bundesamtes,Berlin,code11,12.42
2013.0,Prozent,Daten des Statistischen Bundesamtes,Berlin,code11,15.0
2016.0,Prozent,Daten des Statistischen Bundesamtes,Berlin,code11,15.61
1999.0,Prozent,Daten des Statistischen Bundesamtes,Brandenburg,code12,5.4
2001.0,Prozent,Daten des Statistischen Bundesamtes,Brandenburg,code12,7.1
2003.0,Prozent,Daten des Statistischen Bundesamtes,Brandenburg,code12,8.7
2005.0,Prozent,Daten des Statistischen Bundesamtes,Brandenburg,code12,9.8
2007.0,Prozent,Daten des Statistischen Bundesamtes,Brandenburg,code12,10.07
2010.0,Prozent,Daten des Statistischen Bundesamtes,Brandenburg,code12,10.6
2013.0,Prozent,Daten des Statistischen Bundesamtes,Brandenburg,code12,10.33
2016.0,Prozent,Daten des Statistischen Bundesamtes,Brandenburg,code12,10.42
2010.0,Prozent,Daten des Statistischen Bundesamtes,Bremen,code04,9.84
2013.0,Prozent,Daten des Statistischen Bundesamtes,Bremen,code04,11.76
2016.0,Prozent,Daten des Statistischen Bundesamtes,Bremen,code04,17.67
2010.0,Prozent,Daten des Statistischen Bundesamtes,Hamburg,code02,6.82
2013.0,Prozent,Daten des Statistischen Bundesamtes,Hamburg,code02,6.94
2016.0,Prozent,Daten des Statistischen Bundesamtes,Hamburg,code02,8.12
1999.0,Prozent,Daten des Statistischen Bundesamtes,Hessen,code06,5.6
2001.0,Prozent,Daten des Statistischen Bundesamtes,Hessen,code06,6.8
2003.0,Prozent,Daten des Statistischen Bundesamtes,Hessen,code06,7.0
2005.0,Prozent,Daten des Statistischen Bundesamtes,Hessen,code06,7.0
2007.0,Prozent,Daten des Statistischen Bundesamtes,Hessen,code06,7.8
2010.0,Prozent,Daten des Statistischen Bundesamtes,Hessen,code06,9.4
2013.0,Prozent,Daten des Statistischen Bundesamtes,Hessen,code06,10.52
2016.0,Prozent,Daten des Statistischen Bundesamtes,Hessen,code06,11.59
1999.0,Prozent,Daten des Statistischen Bundesamtes,Mecklenburg-Vorpommern,code13,6.9
2001.0,Prozent,Daten des Statistischen Bundesamtes,Mecklenburg-Vorpommern,code13,7.2
2003.0,Prozent,Daten des Statistischen Bundesamtes,Mecklenburg-Vorpommern,code13,8.1
2005.0,Prozent,Daten des Statistischen Bundesamtes,Mecklenburg-Vorpommern,code13,8.1
2007.0,Prozent,Daten des Statistischen Bundesamtes,Mecklenburg-Vorpommern,code13,8.85
2010.0,Prozent,Daten des Statistischen Bundesamtes,Mecklenburg-Vorpommern,code13,8.68
2013.0,Prozent,Daten des Statistischen Bundesamtes,Mecklenburg-Vorpommern,code13,8.97
2016.0,Prozent,Daten des Statistischen Bundesamtes,Mecklenburg-Vorpommern,code13,9.37
1999.0,Prozent,Daten des Statistischen Bundesamtes,Niedersachsen,code03,1.0
2001.0,Prozent,Daten des Statistischen Bundesamtes,Niedersachsen,code03,1.4
2003.0,Prozent,Daten des Statistischen Bundesamtes,Niedersachsen,code03,2.1
2005.0,Prozent,Daten des Statistischen Bundesamtes,Niedersachsen,code03,2.4
2007.0,Prozent,Daten des Statistischen Bundesamtes,Niedersachsen,code03,2.86
2010.0,Prozent,Daten des Statistischen Bundesamtes,Niedersachsen,code03,2.89
2013.0,Prozent,Daten des Statistischen Bundesamtes,Niedersachsen,code03,2.85
2016.0,Prozent,Daten des Statistischen Bundesamtes,Niedersachsen,code03,3.21
1999.0,Prozent,Daten des Statistischen Bundesamtes,Nordrhein-Westfalen,code05,1.0
2001.0,Prozent,Daten des Statistischen Bundesamtes,Nordrhein-Westfalen,code05,1.5
2003.0,Prozent,Daten des Statistischen Bundesamtes,Nordrhein-Westfalen,code05,2.5
2005.0,Prozent,Daten des Statistischen Bundesamtes,Nordrhein-Westfalen,code05,2.8
2007.0,Prozent,Daten des Statistischen Bundesamtes,Nordrhein-Westfalen,code05,3.26
2010.0,Prozent,Daten des Statistischen Bundesamtes,Nordrhein-Westfalen,code05,3.64
2013.0,Prozent,Daten des Statistischen Bundesamtes,Nordrhein-Westfalen,code05,4.19
2016.0,Prozent,Daten des Statistischen Bundesamtes,Nordrhein-Westfalen,code05,4.22
1999.0,Prozent,Daten des Statistischen Bundesamtes,Rheinland-Pfalz,code07,1.6
2001.0,Prozent,Daten des Statistischen Bundesamtes,Rheinland-Pfalz,code07,2.2
2003.0,Prozent,Daten des Statistischen Bundesamtes,Rheinland-Pfalz,code07,2.4
2005.0,Prozent,Daten des Statistischen Bundesamtes,Rheinland-Pfalz,code07,2.7
2007.0,Prozent,Daten des Statistischen Bundesamtes,Rheinland-Pfalz,code07,3.6
2010.0,Prozent,Daten des Statistischen Bundesamtes,Rheinland-Pfalz,code07,5.1
2013.0,Prozent,Daten des Statistischen Bundesamtes,Rheinland-Pfalz,code07,6.41
2016.0,Prozent,Daten des Statistischen Bundesamtes,Rheinland-Pfalz,code07,8.73
1999.0,Prozent,Daten des Statistischen Bundesamtes,Saarland,code10,6.3
2001.0,Prozent,Daten des Statistischen Bundesamtes,Saarland,code10,5.4
2003.0,Prozent,Daten des Statistischen Bundesamtes,Saarland,code10,6.7
2005.0,Prozent,Daten des Statistischen Bundesamtes,Saarland,code10,7.8
2007.0,Prozent,Daten des Statistischen Bundesamtes,Saarland,code10,9.06
2010.0,Prozent,Daten des Statistischen Bundesamtes,Saarland,code10,10.57
2013.0,Prozent,Daten des Statistischen Bundesamtes,Saarland,code10,11.42
2016.0,Prozent,Daten des Statistischen Bundesamtes,Saarland,code10,14.89
1999.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen,code14,1.5
2001.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen,code14,2.6
2003.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen,code14,3.4
2005.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen,code14,3.4
2007.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen,code14,3.49
2010.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen,code14,3.68
2013.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen,code14,3.79
2016.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen,code14,4.59
1999.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen-Anhalt,code15,2.0
2001.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen-Anhalt,code15,2.6
2003.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen-Anhalt,code15,3.2
2005.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen-Anhalt,code15,4.2
2007.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen-Anhalt,code15,3.82
2010.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen-Anhalt,code15,4.23
2013.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen-Anhalt,code15,4.54
2016.0,Prozent,Daten des Statistischen Bundesamtes,Sachsen-Anhalt,code15,4.97
1999.0,Prozent,Daten des Statistischen Bundesamtes,Schleswig-Holstein,code01,1.5
2001.0,Prozent,Daten des Statistischen Bundesamtes,Schleswig-Holstein,code01,1.9
2003.0,Prozent,Daten des Statistischen Bundesamtes,Schleswig-Holstein,code01,2.2
2005.0,Prozent,Daten des Statistischen Bundesamtes,Schleswig-Holstein,code01,2.8
2007.0,Prozent,Daten des Statistischen Bundesamtes,Schleswig-Holstein,code01,2.94
2010.0,Prozent,Daten des Statistischen Bundesamtes,Schleswig-Holstein,code01,3.32
2013.0,Prozent,Daten des Statistischen Bundesamtes,Schleswig-Holstein,code01,3.4
2016.0,Prozent,Daten des Statistischen Bundesamtes,Schleswig-Holstein,code01,4.04
1999.0,Prozent,Daten des Statistischen Bundesamtes,Thüringen,code16,1.9
2001.0,Prozent,Daten des Statistischen Bundesamtes,Thüringen,code16,2.1
2003.0,Prozent,Daten des Statistischen Bundesamtes,Thüringen,code16,3.0
2005.0,Prozent,Daten des Statistischen Bundesamtes,Thüringen,code16,3.1
2007.0,Prozent,Daten des Statistischen Bundesamtes,Thüringen,code16,5.09
