Year,Units,Geschlecht,Zeitreihe,Value
2011.0,Je 100 000 Einwohner/-innen,,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),257.93
2012.0,Je 100 000 Einwohner/-innen,,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),252.8
2013.0,Je 100 000 Einwohner/-innen,,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),253.78
2014.0,Je 100 000 Einwohner/-innen,,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),243.34
2015.0,Je 100 000 Einwohner/-innen,,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),249.22
2016.0,Je 100 000 Einwohner/-innen,,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),244.56
2017.0,Je 100 000 Einwohner/-innen,,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),241.05
2018.0,Je 100 000 Einwohner/-innen,,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),241.0
2019.0,Je 100 000 Einwohner/-innen,,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),231.41
2020.0,Je 100 000 Einwohner/-innen,,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),238.07
2021.0,Je 100 000 Einwohner/-innen,,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),252.54
2030.0,Je 100 000 Einwohner/-innen,,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),
2011.0,Je 100 000 Einwohner/-innen,Weiblich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),174.27
2012.0,Je 100 000 Einwohner/-innen,Weiblich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),171.48
2013.0,Je 100 000 Einwohner/-innen,Weiblich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),174.01
2014.0,Je 100 000 Einwohner/-innen,Weiblich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),166.63
2015.0,Je 100 000 Einwohner/-innen,Weiblich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),172.15
2016.0,Je 100 000 Einwohner/-innen,Weiblich,Unterschied in der Lebenserwartung zwischen sozio-ökonomisch deprivierten und wohlhabenden Regionen (Männer),169.95
