Year,Units,Anzeigen,Geschlecht,Region,GeoCode,Value
1991,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,235
1992,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,225
1993,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,223
1994,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,216
1995,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,212
1996,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,208
1997,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,200
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,193
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,189
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,184
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,179
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,177
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,173
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,166
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,165
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,159
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,158
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,159
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,157
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,155
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,157
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,153
2013,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,156
2014,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,149
2015,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,153
2016,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,152
2017,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,149
2018,Je 100 000 Einwohner,Zeitreihe,Frauen,Deutschland,,151
2030,Je 100 000 Einwohner,Ziel,Frauen,Deutschland,,100
1998,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,169
1999,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,168
2000,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,158
2001,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,160
2002,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,154
2003,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,154
2004,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,145
2005,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,144
2006,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,137
2007,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,137
2008,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,138
2009,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,135
2010,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,136
2011,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,135
2012,Je 100 000 Einwohner,Zeitreihe,Frauen,Baden-Württemberg,code08,130
