Year,Units,Value
2007.0,Millionen,29.659
2008.0,Millionen,21.016
2009.0,Millionen,31.126
2010.0,Millionen,34.611
2011.0,Millionen,36.372
2012.0,Millionen,12.507
2013.0,Millionen,17.184
2014.0,Millionen,11.904
2015.0,Millionen,4.987
2016.0,Millionen,3.842
2017.0,Millionen,2.539
2018.0,Millionen,2.9
2019.0,Millionen,0.2
2020.0,Millionen,0.04
2007.0,Millionen,29.659
2008.0,Millionen,21.016
2009.0,Millionen,31.126
2010.0,Millionen,34.611
2011.0,Millionen,36.372
2012.0,Millionen,12.507
2013.0,Millionen,17.184
2014.0,Millionen,11.904
2015.0,Millionen,4.987
2016.0,Millionen,3.842
2017.0,Millionen,2.539
2018.0,Millionen,2.9
2019.0,Millionen,0.2
2030.0,Millionen,
