Year,Units,Anzeigen,Geschlecht,Region,GeoCode,Value
1999,Prozent,Zeitreihe,Insgesamt,Deutschland,,14.9
2000,Prozent,Zeitreihe,Insgesamt,Deutschland,,14.9
2001,Prozent,Zeitreihe,Insgesamt,Deutschland,,12.5
2002,Prozent,Zeitreihe,Insgesamt,Deutschland,,12.6
2003,Prozent,Zeitreihe,Insgesamt,Deutschland,,12.8
2004,Prozent,Zeitreihe,Insgesamt,Deutschland,,12.1
2005,Prozent,Zeitreihe,Insgesamt,Deutschland,,13.8
2006,Prozent,Zeitreihe,Insgesamt,Deutschland,,14.1
2007,Prozent,Zeitreihe,Insgesamt,Deutschland,,12.7
2008,Prozent,Zeitreihe,Insgesamt,Deutschland,,11.8
2009,Prozent,Zeitreihe,Insgesamt,Deutschland,,11.1
2010,Prozent,Zeitreihe,Insgesamt,Deutschland,,11.9
2011,Prozent,Zeitreihe,Insgesamt,Deutschland,,11.6
2012,Prozent,Zeitreihe,Insgesamt,Deutschland,,10.4
2013,Prozent,Zeitreihe,Insgesamt,Deutschland,,9.8
2014,Prozent,Zeitreihe,Insgesamt,Deutschland,,9.5
2015,Prozent,Zeitreihe,Insgesamt,Deutschland,,9.8
2016,Prozent,Zeitreihe,Insgesamt,Deutschland,,10.3
2017,Prozent,Zeitreihe,Insgesamt,Deutschland,,10.1
2018,Prozent,Zeitreihe,Insgesamt,Deutschland,,10.3
2019,Prozent,Zeitreihe,Insgesamt,Deutschland,,10.3
2030,Prozent,Ziel,Insgesamt,Deutschland,,9.5
1999,Prozent,Zeitreihe,Weiblich,Deutschland,,15.6
2000,Prozent,Zeitreihe,Weiblich,Deutschland,,15.2
2001,Prozent,Zeitreihe,Weiblich,Deutschland,,12.8
2002,Prozent,Zeitreihe,Weiblich,Deutschland,,12.6
2003,Prozent,Zeitreihe,Weiblich,Deutschland,,12.8
2004,Prozent,Zeitreihe,Weiblich,Deutschland,,11.9
2005,Prozent,Zeitreihe,Weiblich,Deutschland,,14.2
2006,Prozent,Zeitreihe,Weiblich,Deutschland,,13.8
2007,Prozent,Zeitreihe,Weiblich,Deutschland,,12.0
2008,Prozent,Zeitreihe,Weiblich,Deutschland,,11.2
2009,Prozent,Zeitreihe,Weiblich,Deutschland,,10.8
2010,Prozent,Zeitreihe,Weiblich,Deutschland,,11.0
2011,Prozent,Zeitreihe,Weiblich,Deutschland,,10.6
2012,Prozent,Zeitreihe,Weiblich,Deutschland,,9.7
2013,Prozent,Zeitreihe,Weiblich,Deutschland,,9.3
2014,Prozent,Zeitreihe,Weiblich,Deutschland,,9.0
2015,Prozent,Zeitreihe,Weiblich,Deutschland,,9.5
2016,Prozent,Zeitreihe,Weiblich,Deutschland,,9.6
2017,Prozent,Zeitreihe,Weiblich,Deutschland,,9.0
2018,Prozent,Zeitreihe,Weiblich,Deutschland,,9.1
2019,Prozent,Zeitreihe,Weiblich,Deutschland,,8.7
1999,Prozent,Zeitreihe,Männlich,Deutschland,,14.2
2000,Prozent,Zeitreihe,Männlich,Deutschland,,14.6
2001,Prozent,Zeitreihe,Männlich,Deutschland,,12.2
2002,Prozent,Zeitreihe,Männlich,Deutschland,,12.6
2003,Prozent,Zeitreihe,Männlich,Deutschland,,12.9
2004,Prozent,Zeitreihe,Männlich,Deutschland,,12.2
2005,Prozent,Zeitreihe,Männlich,Deutschland,,13.5
2006,Prozent,Zeitreihe,Männlich,Deutschland,,14.4
2007,Prozent,Zeitreihe,Männlich,Deutschland,,13.5
2008,Prozent,Zeitreihe,Männlich,Deutschland,,12.4
2009,Prozent,Zeitreihe,Männlich,Deutschland,,11.5
2010,Prozent,Zeitreihe,Männlich,Deutschland,,12.7
2011,Prozent,Zeitreihe,Männlich,Deutschland,,12.5
2012,Prozent,Zeitreihe,Männlich,Deutschland,,11.0
2013,Prozent,Zeitreihe,Männlich,Deutschland,,10.3
2014,Prozent,Zeitreihe,Männlich,Deutschland,,10.0
2015,Prozent,Zeitreihe,Männlich,Deutschland,,10.1
2016,Prozent,Zeitreihe,Männlich,Deutschland,,11.0
2017,Prozent,Zeitreihe,Männlich,Deutschland,,11.1
2018,Prozent,Zeitreihe,Männlich,Deutschland,,11.4
2019,Prozent,Zeitreihe,Männlich,Deutschland,,11.8
2005,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,12.5
2006,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,12.4
2007,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,12.1
2008,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,10.1
2009,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,9.5
2010,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,9.8
2011,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,9.9
2012,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,8.3
2013,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,7.6
2014,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,7.9
2015,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,8.3
2016,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,9.4
2017,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,8.7
2018,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,9.7
2019,Prozent,Zeitreihe,Insgesamt,Baden-Württemberg,code08,9.2
2005,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,14.3
2006,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,13.4
2007,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,11.9
2008,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,10.4
2009,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,9.5
2010,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,10.0
2011,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,9.9
2012,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,8.3
2013,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,7.3
2014,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,7.3
2015,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,8.5
2016,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,8.8
2017,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,7.8
2018,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,8.5
2019,Prozent,Zeitreihe,Weiblich,Baden-Württemberg,code08,7.5
2005,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,10.7
2006,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,11.3
2007,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,12.3
2008,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,9.8
2009,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,9.5
2010,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,9.7
2011,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,9.9
2012,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,8.3
2013,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,7.9
2014,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,8.5
2015,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,8.1
2016,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,9.9
2017,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,9.6
2018,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,10.7
2019,Prozent,Zeitreihe,Männlich,Baden-Württemberg,code08,10.7
2005,Prozent,Zeitreihe,Insgesamt,Bayern,code09,11.2
2006,Prozent,Zeitreihe,Insgesamt,Bayern,code09,12.6
2007,Prozent,Zeitreihe,Insgesamt,Bayern,code09,11.2
2008,Prozent,Zeitreihe,Insgesamt,Bayern,code09,9.6
2009,Prozent,Zeitreihe,Insgesamt,Bayern,code09,8.8
2010,Prozent,Zeitreihe,Insgesamt,Bayern,code09,9.4
2011,Prozent,Zeitreihe,Insgesamt,Bayern,code09,9.1
2012,Prozent,Zeitreihe,Insgesamt,Bayern,code09,7.4
2013,Prozent,Zeitreihe,Insgesamt,Bayern,code09,7.3
2014,Prozent,Zeitreihe,Insgesamt,Bayern,code09,6.4
2015,Prozent,Zeitreihe,Insgesamt,Bayern,code09,6.2
2016,Prozent,Zeitreihe,Insgesamt,Bayern,code09,7.6
2017,Prozent,Zeitreihe,Insgesamt,Bayern,code09,7.2
2018,Prozent,Zeitreihe,Insgesamt,Bayern,code09,7.2
