Year,Units,Anzeigen,Zeitreihe,Geschlecht,Region,GeoCode,Value
1999,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,33.4
2000,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,33.0
2001,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,33.2
2002,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,33.3
2003,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,33.9
2004,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,36.2
2005,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,36.0
2006,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,36.5
2007,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,37.6
2008,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,38.8
2009,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,40.7
2010,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,41.3
2011,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,42.2
2012,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,43.4
2013,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,44.5
2014,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,45.7
2015,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,46.8
2016,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,47.9
2017,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,48.8
2018,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,49.8
2019,Prozent,Zeitreihe,Insgesamt,Insgesamt,Deutschland,,50.5
2030,Prozent,Ziel,Insgesamt,Insgesamt,Deutschland,,55.0
1999,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,31.4
2000,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,30.9
2001,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,31.1
2002,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,31.3
2003,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,32.2
2004,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,34.7
2005,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,35.0
2006,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,36.5
2007,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,38.0
2008,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,39.7
2009,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,42.2
2010,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,42.7
2011,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,44.4
2012,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,46.0
2013,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,46.8
2014,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,48.4
2015,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,50.5
2016,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,51.3
2017,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,52.6
2018,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,53.8
2019,Prozent,Zeitreihe,Insgesamt,Weiblich,Deutschland,,54.4
1999,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,35.2
2000,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,35.0
2001,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,35.2
2002,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,35.2
2003,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,35.5
2004,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,37.7
2005,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,37.0
2006,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,36.5
2007,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,37.3
2008,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,37.9
2009,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,39.2
2010,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,40.0
2011,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,40.1
2012,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,40.9
2013,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,42.2
2014,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,42.9
2015,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,43.1
2016,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,44.6
2017,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,45.2
2018,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,46.0
2019,Prozent,Zeitreihe,Insgesamt,Männlich,Deutschland,,46.8
2005,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,36.9
2006,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,36.9
2007,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,37.6
2008,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,37.8
2009,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,41.9
2010,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,42.3
2011,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,43.4
2012,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,44.9
2013,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,47.3
2014,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,47.3
2015,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,48.4
2016,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,50.2
2017,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,50.7
2018,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,51.4
2019,Prozent,Zeitreihe,Insgesamt,Insgesamt,Baden-Württemberg,code08,53.9
2005,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,33.1
2006,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,34.2
2007,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,35.7
2008,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,36.0
2009,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,41.0
2010,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,40.7
2011,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,41.9
2012,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,44.4
2013,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,46.1
2014,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,48.1
2015,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,49.6
2016,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,50.9
2017,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,51.5
2018,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,52.3
2019,Prozent,Zeitreihe,Insgesamt,Weiblich,Baden-Württemberg,code08,56.6
2005,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,40.5
2006,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,39.4
2007,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,39.5
2008,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,39.7
2009,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,42.8
2010,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,43.9
2011,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,44.9
2012,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,45.4
2013,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,48.4
2014,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,46.6
2015,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,47.2
2016,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,49.5
2017,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,49.9
2018,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,50.6
2019,Prozent,Zeitreihe,Insgesamt,Männlich,Baden-Württemberg,code08,51.5
2005,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,35.2
2006,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,34.7
2007,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,35.8
2008,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,37.5
2009,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,39.4
2010,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,40.4
2011,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,41.1
2012,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,43.6
2013,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,45.3
2014,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,45.8
2015,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,45.7
2016,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,48.0
2017,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,48.8
2018,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,50.0
2019,Prozent,Zeitreihe,Insgesamt,Insgesamt,Bayern,code09,49.5
2005,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,32.9
2006,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,33.1
2007,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,34.8
2008,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,36.8
2009,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,38.5
2010,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,40.2
2011,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,41.6
2012,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,44.8
2013,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,45.3
2014,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,46.1
2015,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,47.4
2016,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,49.5
2017,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,50.8
2018,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,52.2
2019,Prozent,Zeitreihe,Insgesamt,Weiblich,Bayern,code09,50.8
2005,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,37.4
2006,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,36.2
2007,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,36.9
2008,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,38.3
2009,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,40.3
2010,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,40.6
2011,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,40.7
2012,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,42.4
2013,Prozent,Zeitreihe,Insgesamt,Männlich,Bayern,code09,45.3
