Year,Units,Zeitreihe,Value
1999.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2000.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2001.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2002.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2003.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2004.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2005.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2006.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2007.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2008.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2009.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2010.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2011.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2012.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2013.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2014.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2015.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,21.3
2016.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,23.8
2017.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,28.1
2018.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,30.9
2019.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,33.9
2020.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,35.2
2021.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,35.9
2022.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,35.6
1999.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2000.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2001.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2002.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2003.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2004.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2005.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2006.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2007.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2008.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2009.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2010.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2011.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2012.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2013.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2014.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2015.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,21.3
2016.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,23.8
2017.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,28.1
2018.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,30.9
2019.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,33.9
2020.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,35.2
2021.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,35.9
2030.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
2025.0,Prozent,In Aufsichtsräten der börsennotierten und paritätisch mitbestimmten Unternehmen,
1999.0,Prozent,Im öffentlichen Dienst des Bundes,19.3
2000.0,Prozent,Im öffentlichen Dienst des Bundes,19.5
2001.0,Prozent,Im öffentlichen Dienst des Bundes,18.5
2002.0,Prozent,Im öffentlichen Dienst des Bundes,19.7
2003.0,Prozent,Im öffentlichen Dienst des Bundes,24.0
2004.0,Prozent,Im öffentlichen Dienst des Bundes,24.0
2005.0,Prozent,Im öffentlichen Dienst des Bundes,26.6
2006.0,Prozent,Im öffentlichen Dienst des Bundes,26.9
2007.0,Prozent,Im öffentlichen Dienst des Bundes,27.8
2008.0,Prozent,Im öffentlichen Dienst des Bundes,28.7
2009.0,Prozent,Im öffentlichen Dienst des Bundes,29.9
2010.0,Prozent,Im öffentlichen Dienst des Bundes,30.8
2011.0,Prozent,Im öffentlichen Dienst des Bundes,30.6
2012.0,Prozent,Im öffentlichen Dienst des Bundes,30.6
2013.0,Prozent,Im öffentlichen Dienst des Bundes,30.6
2014.0,Prozent,Im öffentlichen Dienst des Bundes,32.1
2015.0,Prozent,Im öffentlichen Dienst des Bundes,33.6
2016.0,Prozent,Im öffentlichen Dienst des Bundes,
2017.0,Prozent,Im öffentlichen Dienst des Bundes,35.2
2018.0,Prozent,Im öffentlichen Dienst des Bundes,
2019.0,Prozent,Im öffentlichen Dienst des Bundes,37.6
2020.0,Prozent,Im öffentlichen Dienst des Bundes,
2021.0,Prozent,Im öffentlichen Dienst des Bundes,39.6
2022.0,Prozent,Im öffentlichen Dienst des Bundes,
1999.0,Prozent,Im öffentlichen Dienst des Bundes,19.3
2000.0,Prozent,Im öffentlichen Dienst des Bundes,19.5
2001.0,Prozent,Im öffentlichen Dienst des Bundes,18.5
2002.0,Prozent,Im öffentlichen Dienst des Bundes,19.7
2003.0,Prozent,Im öffentlichen Dienst des Bundes,24.0
2004.0,Prozent,Im öffentlichen Dienst des Bundes,24.0
2005.0,Prozent,Im öffentlichen Dienst des Bundes,26.6
2006.0,Prozent,Im öffentlichen Dienst des Bundes,26.9
2007.0,Prozent,Im öffentlichen Dienst des Bundes,27.8
2008.0,Prozent,Im öffentlichen Dienst des Bundes,28.7
2009.0,Prozent,Im öffentlichen Dienst des Bundes,29.9
2010.0,Prozent,Im öffentlichen Dienst des Bundes,30.8
2011.0,Prozent,Im öffentlichen Dienst des Bundes,30.6
2012.0,Prozent,Im öffentlichen Dienst des Bundes,30.6
2013.0,Prozent,Im öffentlichen Dienst des Bundes,30.6
2014.0,Prozent,Im öffentlichen Dienst des Bundes,32.1
2015.0,Prozent,Im öffentlichen Dienst des Bundes,33.6
2016.0,Prozent,Im öffentlichen Dienst des Bundes,
2017.0,Prozent,Im öffentlichen Dienst des Bundes,35.2
2018.0,Prozent,Im öffentlichen Dienst des Bundes,
