Year,Units,Anzeigen,Region,GeoCode,Value
2008,Prozent,Zeitreihe,Deutschland,,81.8
2009,Prozent,Zeitreihe,Deutschland,,82.5
2010,Prozent,Zeitreihe,Deutschland,,81.7
2011,Prozent,Zeitreihe,Deutschland,,82.0
2012,Prozent,Zeitreihe,Deutschland,,81.0
2013,Prozent,Zeitreihe,Deutschland,,81.4
2014,Prozent,Zeitreihe,Deutschland,,81.8
2015,Prozent,Zeitreihe,Deutschland,,81.0
2016,Prozent,Zeitreihe,Deutschland,,81.8
2017,Prozent,Zeitreihe,Deutschland,,83.1
2018,Prozent,Zeitreihe,Deutschland,,82.7
2019,Prozent,Zeitreihe,Deutschland,,84.2
2008,Prozent,Ziel,Deutschland,,100.0
2009,Prozent,Ziel,Deutschland,,100.0
2010,Prozent,Ziel,Deutschland,,100.0
2011,Prozent,Ziel,Deutschland,,100.0
2012,Prozent,Ziel,Deutschland,,100.0
2013,Prozent,Ziel,Deutschland,,100.0
2014,Prozent,Ziel,Deutschland,,100.0
2015,Prozent,Ziel,Deutschland,,100.0
2016,Prozent,Ziel,Deutschland,,100.0
2017,Prozent,Ziel,Deutschland,,100.0
2018,Prozent,Ziel,Deutschland,,100.0
2019,Prozent,Ziel,Deutschland,,100.0
2008,Prozent,Zeitreihe,Baden-Württemberg,code08,89.2
2009,Prozent,Zeitreihe,Baden-Württemberg,code08,88.3
2010,Prozent,Zeitreihe,Baden-Württemberg,code08,89.2
2011,Prozent,Zeitreihe,Baden-Württemberg,code08,89.9
2012,Prozent,Zeitreihe,Baden-Württemberg,code08,90.8
2013,Prozent,Zeitreihe,Baden-Württemberg,code08,90.8
2014,Prozent,Zeitreihe,Baden-Württemberg,code08,91.7
2015,Prozent,Zeitreihe,Baden-Württemberg,code08,90.8
2016,Prozent,Zeitreihe,Baden-Württemberg,code08,91.7
2017,Prozent,Zeitreihe,Baden-Württemberg,code08,92.5
2018,Prozent,Zeitreihe,Baden-Württemberg,code08,93.3
2008,Prozent,Zeitreihe,Bayern,code09,93.6
2009,Prozent,Zeitreihe,Bayern,code09,94.5
2010,Prozent,Zeitreihe,Bayern,code09,94.9
2011,Prozent,Zeitreihe,Bayern,code09,93.6
2012,Prozent,Zeitreihe,Bayern,code09,94.0
2013,Prozent,Zeitreihe,Bayern,code09,94.1
2014,Prozent,Zeitreihe,Bayern,code09,94.5
2015,Prozent,Zeitreihe,Bayern,code09,94.4
2016,Prozent,Zeitreihe,Bayern,code09,94.5
2017,Prozent,Zeitreihe,Bayern,code09,92.7
