Year,Units,Anzeigen,Zeitreihe,Value
2012,Millionen,Zeitreihe,Trinkwasser- und Sanitärversorgung,10.6
2013,Millionen,Zeitreihe,Trinkwasser- und Sanitärversorgung,11.6
2014,Millionen,Zeitreihe,Trinkwasser- und Sanitärversorgung,31.0
2015,Millionen,Zeitreihe,Trinkwasser- und Sanitärversorgung,11.0
2016,Millionen,Zeitreihe,Trinkwasser- und Sanitärversorgung,14.3
2017,Millionen,Zeitreihe,Trinkwasser- und Sanitärversorgung,28.6
2018,Millionen,Zeitreihe,Trinkwasser- und Sanitärversorgung,60.3
2012,Millionen,Ziel,Trinkwasser- und Sanitärversorgung,10.0
2013,Millionen,Ziel,Trinkwasser- und Sanitärversorgung,10.0
2014,Millionen,Ziel,Trinkwasser- und Sanitärversorgung,10.0
2015,Millionen,Ziel,Trinkwasser- und Sanitärversorgung,10.0
2016,Millionen,Ziel,Trinkwasser- und Sanitärversorgung,10.0
2017,Millionen,Ziel,Trinkwasser- und Sanitärversorgung,10.0
2018,Millionen,Ziel,Trinkwasser- und Sanitärversorgung,10.0
2019,Millionen,Zeitreihe,Trinkwasserversorgung,14.3
2019,Millionen,Ziel,Trinkwasserversorgung,6.0
2030,Millionen,Ziel,Trinkwasserversorgung,6.0
2019,Millionen,Zeitreihe,Sanitärversorgung,6.1
2019,Millionen,Ziel,Sanitärversorgung,4.0
2030,Millionen,Ziel,Sanitärversorgung,4.0
