Year,Units,Anzeigen,Zeitreihe,Region,GeoCode,Value
2008,2008 = 100,Zeitreihe,Endenergieproduktivität,Deutschland,,100.0
2009,2008 = 100,Zeitreihe,Endenergieproduktivität,Deutschland,,99.7
2010,2008 = 100,Zeitreihe,Endenergieproduktivität,Deutschland,,96.7
2011,2008 = 100,Zeitreihe,Endenergieproduktivität,Deutschland,,105.3
2012,2008 = 100,Zeitreihe,Endenergieproduktivität,Deutschland,,105.3
2013,2008 = 100,Zeitreihe,Endenergieproduktivität,Deutschland,,102.8
2014,2008 = 100,Zeitreihe,Endenergieproduktivität,Deutschland,,110.8
2015,2008 = 100,Zeitreihe,Endenergieproduktivität,Deutschland,,110.0
2016,2008 = 100,Zeitreihe,Endenergieproduktivität,Deutschland,,110.3
2017,2008 = 100,Zeitreihe,Endenergieproduktivität,Deutschland,,111.5
2018,2008 = 100,Zeitreihe,Endenergieproduktivität,Deutschland,,115.9
2019,2008 = 100,Zeitreihe,Endenergieproduktivität,Deutschland,,115.4
2050,2008 = 100,Ziel,Endenergieproduktivität,Deutschland,,239.0
2008,2008 = 100,Zeitreihe,Endenergieproduktivität,Baden-Württemberg,code08,100.0
2009,2008 = 100,Zeitreihe,Endenergieproduktivität,Baden-Württemberg,code08,95.6
2010,2008 = 100,Zeitreihe,Endenergieproduktivität,Baden-Württemberg,code08,100.4
2011,2008 = 100,Zeitreihe,Endenergieproduktivität,Baden-Württemberg,code08,109.6
2012,2008 = 100,Zeitreihe,Endenergieproduktivität,Baden-Württemberg,code08,111.9
2013,2008 = 100,Zeitreihe,Endenergieproduktivität,Baden-Württemberg,code08,107.7
2014,2008 = 100,Zeitreihe,Endenergieproduktivität,Baden-Württemberg,code08,117.2
2015,2008 = 100,Zeitreihe,Endenergieproduktivität,Baden-Württemberg,code08,116.9
2016,2008 = 100,Zeitreihe,Endenergieproduktivität,Baden-Württemberg,code08,115.5
2017,2008 = 100,Zeitreihe,Endenergieproduktivität,Baden-Württemberg,code08,125.4
2018,2008 = 100,Zeitreihe,Endenergieproduktivität,Baden-Württemberg,code08,123.0
2008,2008 = 100,Zeitreihe,Endenergieproduktivität,Bayern,code09,100.0
2009,2008 = 100,Zeitreihe,Endenergieproduktivität,Bayern,code09,98.7
2010,2008 = 100,Zeitreihe,Endenergieproduktivität,Bayern,code09,96.3
2011,2008 = 100,Zeitreihe,Endenergieproduktivität,Bayern,code09,103.2
2012,2008 = 100,Zeitreihe,Endenergieproduktivität,Bayern,code09,104.6
2013,2008 = 100,Zeitreihe,Endenergieproduktivität,Bayern,code09,105.0
2014,2008 = 100,Zeitreihe,Endenergieproduktivität,Bayern,code09,112.9
2015,2008 = 100,Zeitreihe,Endenergieproduktivität,Bayern,code09,112.3
2016,2008 = 100,Zeitreihe,Endenergieproduktivität,Bayern,code09,111.4
2017,2008 = 100,Zeitreihe,Endenergieproduktivität,Bayern,code09,115.7
