Year,Units,Region,GeoCode,Value
1991,Prozent,Deutschland,,24.9
1992,Prozent,Deutschland,,25.2
1993,Prozent,Deutschland,,24.1
1994,Prozent,Deutschland,,24.1
1995,Prozent,Deutschland,,23.5
1996,Prozent,Deutschland,,23.0
1997,Prozent,Deutschland,,22.7
1998,Prozent,Deutschland,,22.8
1999,Prozent,Deutschland,,23.0
2000,Prozent,Deutschland,,23.1
2001,Prozent,Deutschland,,21.8
2002,Prozent,Deutschland,,20.1
2003,Prozent,Deutschland,,19.5
2004,Prozent,Deutschland,,19.1
2005,Prozent,Deutschland,,19.1
2006,Prozent,Deutschland,,19.8
2007,Prozent,Deutschland,,20.1
2008,Prozent,Deutschland,,20.3
2009,Prozent,Deutschland,,19.3
2010,Prozent,Deutschland,,19.5
2011,Prozent,Deutschland,,20.4
2012,Prozent,Deutschland,,20.3
2013,Prozent,Deutschland,,19.9
2014,Prozent,Deutschland,,20.0
2015,Prozent,Deutschland,,20.0
2016,Prozent,Deutschland,,20.3
2017,Prozent,Deutschland,,20.4
2018,Prozent,Deutschland,,21.1
2019,Prozent,Deutschland,,21.7
2020,Prozent,Deutschland,,22.0
1991,Prozent,Baden-Württemberg,code08,24.7
1992,Prozent,Baden-Württemberg,code08,24.3
1993,Prozent,Baden-Württemberg,code08,23.1
1994,Prozent,Baden-Württemberg,code08,21.8
1995,Prozent,Baden-Württemberg,code08,20.4
1996,Prozent,Baden-Württemberg,code08,20.3
1997,Prozent,Baden-Württemberg,code08,19.6
1998,Prozent,Baden-Württemberg,code08,20.1
1999,Prozent,Baden-Württemberg,code08,20.3
2000,Prozent,Baden-Württemberg,code08,21.2
2001,Prozent,Baden-Württemberg,code08,21.6
2002,Prozent,Baden-Württemberg,code08,20.5
2003,Prozent,Baden-Württemberg,code08,19.3
2004,Prozent,Baden-Württemberg,code08,19.8
2005,Prozent,Baden-Württemberg,code08,19.2
2006,Prozent,Baden-Württemberg,code08,20.2
2007,Prozent,Baden-Württemberg,code08,20.4
2008,Prozent,Baden-Württemberg,code08,21.2
2009,Prozent,Baden-Württemberg,code08,20.6
2010,Prozent,Baden-Württemberg,code08,19.8
2011,Prozent,Baden-Württemberg,code08,20.6
2012,Prozent,Baden-Württemberg,code08,21.7
2013,Prozent,Baden-Württemberg,code08,20.9
2014,Prozent,Baden-Württemberg,code08,20.5
2015,Prozent,Baden-Württemberg,code08,20.8
2016,Prozent,Baden-Württemberg,code08,21.0
2017,Prozent,Baden-Württemberg,code08,21.9
1991,Prozent,Bayern,code09,28.1
1992,Prozent,Bayern,code09,27.4
1993,Prozent,Bayern,code09,24.6
1994,Prozent,Bayern,code09,25.3
1995,Prozent,Bayern,code09,24.8
1996,Prozent,Bayern,code09,24.4
1997,Prozent,Bayern,code09,22.9
1998,Prozent,Bayern,code09,23.7
1999,Prozent,Bayern,code09,23.5
2000,Prozent,Bayern,code09,24.3
2001,Prozent,Bayern,code09,23.0
2002,Prozent,Bayern,code09,21.7
2003,Prozent,Bayern,code09,22.4
