Year,Units,Series,Geschlecht,Bundesland,GeoCode,Value
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,68.7
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,69.1
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,68.8
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,68.4
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.9
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,69.4
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.1
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.9
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.0
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.2
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.0
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.5
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.9
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.3
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.7
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.0
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.6
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.2
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.9
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,80.6
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.2
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.6
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),Weiblich,,,60.7
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,61.6
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,61.8
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,62.0
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,61.8
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,63.1
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,65.0
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,66.7
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.8
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,68.7
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,69.7
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.3
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.6
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.5
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.1
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.6
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.5
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.2
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.8
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.6
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.4
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.9
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.5
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.4
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.6
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.8
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.0
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.6
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.2
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.1
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,80.1
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.6
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,80.4
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,81.7
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.1
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.1
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.2
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.3
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.7
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,83.1
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,83.9
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,84.6
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,83.0
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,83.2
