Year,Value,Units,Series,GeoCode
1996,80.35,Prozent,Ausländer,
1997,80.57,Prozent,Ausländer,
1998,80.51,Prozent,Ausländer,
1999,80.69,Prozent,Ausländer,
2000,80.1,Prozent,Ausländer,
2001,79.83,Prozent,Ausländer,
2002,80.55,Prozent,Ausländer,
2003,80.9,Prozent,Ausländer,
2004,81.91,Prozent,Ausländer,
2005,82.6,Prozent,Ausländer,
2006,83.23,Prozent,Ausländer,
2007,84.0,Prozent,Ausländer,
2008,85.0,Prozent,Ausländer,
2009,86.2,Prozent,Ausländer,
2010,87.19,Prozent,Ausländer,
2011,88.22,Prozent,Ausländer,
2012,88.61,Prozent,Ausländer,
2013,89.29,Prozent,Ausländer,
2014,88.06,Prozent,Ausländer,
2015,88.2,Prozent,Ausländer,
2016,85.83,Prozent,Ausländer,
2017,81.81,Prozent,Ausländer,
2018,81.8,Prozent,Ausländer,
2019,82.37,Prozent,Ausländer,
2020,85.35,Prozent,Ausländer,
2021,84.342,Prozent,Ausländer,
1996,80.35,Prozent,Ausländer,
1997,80.57,Prozent,Ausländer,
1998,80.51,Prozent,Ausländer,
1999,80.69,Prozent,Ausländer,
2000,80.1,Prozent,Ausländer,
2001,79.83,Prozent,Ausländer,
2002,80.55,Prozent,Ausländer,
2003,80.9,Prozent,Ausländer,
2004,81.91,Prozent,Ausländer,
2005,82.6,Prozent,Ausländer,
2006,83.23,Prozent,Ausländer,
2007,84.0,Prozent,Ausländer,
2008,85.0,Prozent,Ausländer,
2009,86.2,Prozent,Ausländer,
2010,87.19,Prozent,Ausländer,
2011,88.22,Prozent,Ausländer,
2012,88.61,Prozent,Ausländer,
2013,89.29,Prozent,Ausländer,
2014,88.06,Prozent,Ausländer,
2015,88.2,Prozent,Ausländer,
2016,85.83,Prozent,Ausländer,
2017,81.81,Prozent,Ausländer,
2018,81.8,Prozent,Ausländer,
2019,82.37,Prozent,Ausländer,
2020,85.35,Prozent,Ausländer,
1996,92.28,Prozent,Deutsche,
1997,92.29,Prozent,Deutsche,
1998,92.06,Prozent,Deutsche,
