Year,Value,Units,Series,GeoCode
1996,119.576,Hektar pro Tag,Berechnete jährliche Werte,
1997,124.252,Hektar pro Tag,Berechnete jährliche Werte,
1998,130.622,Hektar pro Tag,Berechnete jährliche Werte,
1999,130.655,Hektar pro Tag,Berechnete jährliche Werte,
2000,131.098,Hektar pro Tag,Berechnete jährliche Werte,
2001,121.096,Hektar pro Tag,Berechnete jährliche Werte,
2002,109.315,Hektar pro Tag,Berechnete jährliche Werte,
2003,98.904,Hektar pro Tag,Berechnete jährliche Werte,
2004,131.148,Hektar pro Tag,Berechnete jährliche Werte,
2005,117.534,Hektar pro Tag,Berechnete jährliche Werte,
2006,105.753,Hektar pro Tag,Berechnete jährliche Werte,
2007,96.712,Hektar pro Tag,Berechnete jährliche Werte,
2008,95.082,Hektar pro Tag,Berechnete jährliche Werte,
2009,78.082,Hektar pro Tag,Berechnete jährliche Werte,
2010,76.712,Hektar pro Tag,Berechnete jährliche Werte,
2011,73.624,Hektar pro Tag,Berechnete jährliche Werte,
2012,69.349,Hektar pro Tag,Berechnete jährliche Werte,
2013,70.591,Hektar pro Tag,Berechnete jährliche Werte,
2014,63.273,Hektar pro Tag,Berechnete jährliche Werte,
2015,61.012,Hektar pro Tag,Berechnete jährliche Werte,
2016,51.278,Hektar pro Tag,Berechnete jährliche Werte,
2017,55.205,Hektar pro Tag,Berechnete jährliche Werte,
2018,57.997,Hektar pro Tag,Berechnete jährliche Werte,
2019,45.0,Hektar pro Tag,Berechnete jährliche Werte,
2020,58.0,Hektar pro Tag,Berechnete jährliche Werte,
1997,20.642,Hektar pro Tag,Berechnete jährliche Werte,
1998,23.302,Hektar pro Tag,Berechnete jährliche Werte,
1999,23.308,Hektar pro Tag,Berechnete jährliche Werte,
2000,23.642,Hektar pro Tag,Berechnete jährliche Werte,
2001,23.0,Hektar pro Tag,Berechnete jährliche Werte,
2002,22.466,Hektar pro Tag,Berechnete jährliche Werte,
2003,20.274,Hektar pro Tag,Berechnete jährliche Werte,
2004,24.59,Hektar pro Tag,Berechnete jährliche Werte,
2005,25.205,Hektar pro Tag,Berechnete jährliche Werte,
2006,24.11,Hektar pro Tag,Berechnete jährliche Werte,
2007,24.384,Hektar pro Tag,Berechnete jährliche Werte,
2008,21.492,Hektar pro Tag,Berechnete jährliche Werte,
2009,18.082,Hektar pro Tag,Berechnete jährliche Werte,
2010,20.548,Hektar pro Tag,Berechnete jährliche Werte,
2011,16.95,Hektar pro Tag,Berechnete jährliche Werte,
2012,10.858,Hektar pro Tag,Berechnete jährliche Werte,
2013,18.52,Hektar pro Tag,Berechnete jährliche Werte,
2014,23.437,Hektar pro Tag,Berechnete jährliche Werte,
2015,9.768,Hektar pro Tag,Berechnete jährliche Werte,
2016,,Hektar pro Tag,Berechnete jährliche Werte,
2017,8.482,Hektar pro Tag,Berechnete jährliche Werte,
2018,15.953,Hektar pro Tag,Berechnete jährliche Werte,
2019,2.0,Hektar pro Tag,Berechnete jährliche Werte,
2020,6.0,Hektar pro Tag,Berechnete jährliche Werte,
1996,87.201,Hektar pro Tag,Berechnete jährliche Werte,
1997,83.405,Hektar pro Tag,Berechnete jährliche Werte,
1998,86.759,Hektar pro Tag,Berechnete jährliche Werte,
1999,86.781,Hektar pro Tag,Berechnete jährliche Werte,
2000,86.926,Hektar pro Tag,Berechnete jährliche Werte,
2001,69.863,Hektar pro Tag,Berechnete jährliche Werte,
2002,65.753,Hektar pro Tag,Berechnete jährliche Werte,
2003,44.932,Hektar pro Tag,Berechnete jährliche Werte,
2004,60.109,Hektar pro Tag,Berechnete jährliche Werte,
2005,34.616,Hektar pro Tag,Berechnete jährliche Werte,
2006,29.589,Hektar pro Tag,Berechnete jährliche Werte,
2007,39.726,Hektar pro Tag,Berechnete jährliche Werte,
2008,34.973,Hektar pro Tag,Berechnete jährliche Werte,
2009,27.945,Hektar pro Tag,Berechnete jährliche Werte,
2010,33.151,Hektar pro Tag,Berechnete jährliche Werte,
2011,29.61,Hektar pro Tag,Berechnete jährliche Werte,
2012,40.004,Hektar pro Tag,Berechnete jährliche Werte,
2013,29.005,Hektar pro Tag,Berechnete jährliche Werte,
2014,21.91,Hektar pro Tag,Berechnete jährliche Werte,
2015,39.63,Hektar pro Tag,Berechnete jährliche Werte,
2016,,Hektar pro Tag,Berechnete jährliche Werte,
2017,31.801,Hektar pro Tag,Berechnete jährliche Werte,
2018,32.036,Hektar pro Tag,Berechnete jährliche Werte,
2019,33.0,Hektar pro Tag,Berechnete jährliche Werte,
2020,40.0,Hektar pro Tag,Berechnete jährliche Werte,
1996,8.693,Hektar pro Tag,Berechnete jährliche Werte,
1997,20.204,Hektar pro Tag,Berechnete jährliche Werte,
1998,20.561,Hektar pro Tag,Berechnete jährliche Werte,
1999,20.566,Hektar pro Tag,Berechnete jährliche Werte,
2000,20.803,Hektar pro Tag,Berechnete jährliche Werte,
2001,29.0,Hektar pro Tag,Berechnete jährliche Werte,
2002,21.096,Hektar pro Tag,Berechnete jährliche Werte,
2003,34.0,Hektar pro Tag,Berechnete jährliche Werte,
2004,45.721,Hektar pro Tag,Berechnete jährliche Werte,
2005,56.986,Hektar pro Tag,Berechnete jährliche Werte,
2006,51.781,Hektar pro Tag,Berechnete jährliche Werte,
2007,32.603,Hektar pro Tag,Berechnete jährliche Werte,
2008,38.617,Hektar pro Tag,Berechnete jährliche Werte,
2009,32.055,Hektar pro Tag,Berechnete jährliche Werte,
2010,23.288,Hektar pro Tag,Berechnete jährliche Werte,
2011,27.064,Hektar pro Tag,Berechnete jährliche Werte,
2012,18.487,Hektar pro Tag,Berechnete jährliche Werte,
2013,23.065,Hektar pro Tag,Berechnete jährliche Werte,
2014,17.927,Hektar pro Tag,Berechnete jährliche Werte,
2015,11.614,Hektar pro Tag,Berechnete jährliche Werte,
2016,,Hektar pro Tag,Berechnete jährliche Werte,
2017,14.925,Hektar pro Tag,Berechnete jährliche Werte,
2018,10.008,Hektar pro Tag,Berechnete jährliche Werte,
2019,10.0,Hektar pro Tag,Berechnete jährliche Werte,
2020,12.0,Hektar pro Tag,Berechnete jährliche Werte,
1996,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1997,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1998,,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
1999,126.276,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2000,129.157,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2001,128.368,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2002,123.041,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2003,115.103,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2004,115.116,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
2005,114.225,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,
