Year,Value,Units,Series
2015,,Prozent,Anteil nachhaltiger Vergabeverfahren
2016,,Prozent,Anteil nachhaltiger Vergabeverfahren
2017,,Prozent,Anteil nachhaltiger Vergabeverfahren
2018,,Prozent,Anteil nachhaltiger Vergabeverfahren
2019,,Prozent,Anteil nachhaltiger Vergabeverfahren
2020,,Prozent,Anteil nachhaltiger Vergabeverfahren
2021,12.6,Prozent,Anteil nachhaltiger Vergabeverfahren
2022,12.8,Prozent,Anteil nachhaltiger Vergabeverfahren
2024,,Prozent,Anteil nachhaltiger Vergabeverfahren
2023,,Prozent,Anteil nachhaltiger Vergabeverfahren
2026,,Prozent,Anteil nachhaltiger Vergabeverfahren
2015,100.0,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2016,99.954,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2017,99.679,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2018,99.854,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2019,100.427,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2020,101.93,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2021,102.998,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2022,101.606,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2024,,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2023,,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2026,,2015 = 100,CO₂-Emissionen je Fahrleistungen der Kraftfahrzeuge der öffentlichen Hand
2015,,Prozent,Nachhaltige Textilbeschaffung
2016,,Prozent,Nachhaltige Textilbeschaffung
2017,,Prozent,Nachhaltige Textilbeschaffung
2018,,Prozent,Nachhaltige Textilbeschaffung
2019,,Prozent,Nachhaltige Textilbeschaffung
2020,,Prozent,Nachhaltige Textilbeschaffung
2021,,Prozent,Nachhaltige Textilbeschaffung
2022,,Prozent,Nachhaltige Textilbeschaffung
2024,99.999,Prozent,Nachhaltige Textilbeschaffung
2023,,Prozent,Nachhaltige Textilbeschaffung
2026,,Prozent,Nachhaltige Textilbeschaffung
