Year,Value,Units,Series
2003,33.333,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2004,23.333,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2005,20.0,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2006,16.667,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2007,20.0,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2008,26.667,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2009,36.667,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2010,40.0,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2011,40.0,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2012,50.0,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2013,43.333,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2014,40.0,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2015,43.333,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2016,43.333,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2017,43.333,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2018,43.333,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2019,46.667,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2020,60.0,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2004,27.273,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2005,22.727,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2006,18.182,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2007,22.727,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2008,27.273,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2009,40.909,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2010,40.909,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2011,40.909,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2012,50.0,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2013,40.909,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2014,36.364,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2015,45.455,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2016,45.455,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2017,45.455,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2018,45.455,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2019,45.455,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2020,59.091,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2003,12.5,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2004,12.5,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2005,12.5,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2006,12.5,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2007,12.5,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2008,25.0,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2009,25.0,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2010,37.5,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2011,37.5,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2012,50.0,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2013,50.0,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2014,50.0,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2015,37.5,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2016,37.5,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2017,37.5,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2018,37.5,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2019,50.0,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2020,62.5,Prozent,Anteil der nachhaltig bewirtschafteten Bestände an allen MSY-untersuchten Beständen
2003,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2004,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2005,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2006,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2007,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2008,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2009,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2010,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2011,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2012,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2013,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2014,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2015,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2016,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2017,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2018,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2019,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
2020,38.462,Prozent,MSY-untersuchte Bestände an allen bewirtschafteten Beständen
