Year,Value,Units
1990,76.571,2030 = 100
1991,72.271,2030 = 100
1992,71.288,2030 = 100
1993,73.097,2030 = 100
1994,76.604,2030 = 100
1995,73.082,2030 = 100
1996,76.048,2030 = 100
1997,72.785,2030 = 100
1998,70.136,2030 = 100
1999,74.822,2030 = 100
2000,71.864,2030 = 100
2001,71.115,2030 = 100
2002,69.744,2030 = 100
2003,69.809,2030 = 100
2004,72.457,2030 = 100
2005,70.991,2030 = 100
2006,70.212,2030 = 100
2007,70.06,2030 = 100
2008,70.34,2030 = 100
2009,67.219,2030 = 100
2010,67.973,2030 = 100
2011,66.195,2030 = 100
2012,70.411,2030 = 100
2013,67.814,2030 = 100
2014,67.006,2030 = 100
2015,69.773,2030 = 100
2016,70.502,2030 = 100
1991,77.149,2030 = 100
1992,76.79,2030 = 100
1993,77.784,2030 = 100
1994,80.786,2030 = 100
1995,70.721,2030 = 100
1996,77.961,2030 = 100
1997,76.731,2030 = 100
1998,70.613,2030 = 100
1999,75.525,2030 = 100
2000,73.416,2030 = 100
2001,74.815,2030 = 100
2002,74.307,2030 = 100
2003,78.529,2030 = 100
2004,79.188,2030 = 100
2005,79.598,2030 = 100
2006,78.604,2030 = 100
2007,75.276,2030 = 100
2008,81.808,2030 = 100
2009,73.269,2030 = 100
2010,79.536,2030 = 100
2011,80.187,2030 = 100
2012,86.987,2030 = 100
2013,87.071,2030 = 100
2014,84.293,2030 = 100
2015,90.834,2030 = 100
2016,87.507,2030 = 100
1990,80.76,2030 = 100
1991,73.731,2030 = 100
1992,68.36,2030 = 100
1993,75.142,2030 = 100
1994,71.935,2030 = 100
1995,75.152,2030 = 100
1996,85.294,2030 = 100
1997,77.357,2030 = 100
1998,75.51,2030 = 100
1999,74.896,2030 = 100
2000,69.777,2030 = 100
2001,69.65,2030 = 100
2002,63.368,2030 = 100
2003,59.161,2030 = 100
2004,66.464,2030 = 100
2005,66.47,2030 = 100
2006,65.079,2030 = 100
2007,66.038,2030 = 100
2008,63.192,2030 = 100
2009,63.825,2030 = 100
2010,66.525,2030 = 100
2011,70.467,2030 = 100
2012,70.703,2030 = 100
2013,67.524,2030 = 100
2014,69.622,2030 = 100
2015,72.21,2030 = 100
2016,75.503,2030 = 100
1990,74.22,2030 = 100
1991,71.237,2030 = 100
1992,70.112,2030 = 100
1993,70.86,2030 = 100
1994,75.741,2030 = 100
1995,73.848,2030 = 100
1996,75.223,2030 = 100
1997,71.121,2030 = 100
1998,69.144,2030 = 100
1999,75.183,2030 = 100
2000,71.696,2030 = 100
2001,68.57,2030 = 100
2002,68.841,2030 = 100
2003,67.827,2030 = 100
2004,70.668,2030 = 100
2005,67.966,2030 = 100
2006,68.001,2030 = 100
2007,68.025,2030 = 100
2008,65.792,2030 = 100
2009,64.74,2030 = 100
2010,62.36,2030 = 100
2011,57.594,2030 = 100
2012,62.05,2030 = 100
2013,57.559,2030 = 100
2014,56.985,2030 = 100
2015,58.049,2030 = 100
2016,60.492,2030 = 100
1990,64.132,2030 = 100
1991,55.763,2030 = 100
1992,57.338,2030 = 100
1993,63.732,2030 = 100
1994,68.52,2030 = 100
1995,67.53,2030 = 100
1996,58.205,2030 = 100
1997,58.583,2030 = 100
1998,61.493,2030 = 100
1999,67.233,2030 = 100
2000,67.443,2030 = 100
2001,73.728,2030 = 100
2002,66.953,2030 = 100
2003,66.665,2030 = 100
2004,71.995,2030 = 100
2005,69.036,2030 = 100
2006,63.144,2030 = 100
2007,72.933,2030 = 100
2008,76.965,2030 = 100
2009,70.59,2030 = 100
2010,68.202,2030 = 100
2011,69.472,2030 = 100
2012,72.11,2030 = 100
2013,72.95,2030 = 100
2014,73.596,2030 = 100
2015,74.031,2030 = 100
2016,74.99,2030 = 100
1990,79.679,2030 = 100
1991,72.333,2030 = 100
1992,78.956,2030 = 100
1993,79.376,2030 = 100
1994,85.816,2030 = 100
1995,85.365,2030 = 100
1996,74.299,2030 = 100
1997,76.431,2030 = 100
1998,80.453,2030 = 100
1999,76.907,2030 = 100
2000,76.787,2030 = 100
2001,80.852,2030 = 100
2002,71.782,2030 = 100
2003,68.111,2030 = 100
2004,63.548,2030 = 100
2005,63.583,2030 = 100
2006,63.167,2030 = 100
2007,65.639,2030 = 100
2008,55.093,2030 = 100
2009,59.416,2030 = 100
2010,62.174,2030 = 100
2011,62.478,2030 = 100
2012,56.154,2030 = 100
2013,56.622,2030 = 100
2014,56.59,2030 = 100
2015,58.962,2030 = 100
2016,57.982,2030 = 100
