Year,Value,Units,Series
1990.0,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1991.0,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1992.0,116.6,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1993.0,111.0,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1994.0,109.1,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1995.0,107.5,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1996.0,107.8,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1997.0,108.7,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1998.0,109.1,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1999.0,107.9,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2000.0,108.3,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2001.0,107.8,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2002.0,105.1,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2003.0,102.5,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2004.0,103.3,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2005.0,102.2,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2006.0,101.8,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2007.0,99.1,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2008.0,96.6,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2009.0,96.8,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2010.0,94.9,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2011.0,93.0,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2012.0,93.2,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2013.0,95.6,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2014.0,94.0,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2015.0,93.8,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2016.0,92.7,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2017.0,91.5,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2018.0,87.0,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2019.0,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2020.0,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1990.0,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1991.0,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1992.0,116.6,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1993.0,111.0,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1994.0,109.1,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
