Year,Value,Units
2007.0,29.659,Millionen
2008.0,21.016,Millionen
2009.0,31.126,Millionen
2010.0,34.611,Millionen
2011.0,36.372,Millionen
2012.0,12.507,Millionen
2013.0,17.184,Millionen
2014.0,11.904,Millionen
2015.0,4.987,Millionen
2016.0,3.842,Millionen
2017.0,2.539,Millionen
2018.0,2.9,Millionen
2019.0,0.2,Millionen
2020.0,0.04,Millionen
2007.0,29.659,Millionen
2008.0,21.016,Millionen
2009.0,31.126,Millionen
2010.0,34.611,Millionen
2011.0,36.372,Millionen
2012.0,12.507,Millionen
2013.0,17.184,Millionen
2014.0,11.904,Millionen
2015.0,4.987,Millionen
2016.0,3.842,Millionen
2017.0,2.539,Millionen
2018.0,2.9,Millionen
2019.0,0.2,Millionen
2030.0,,Millionen
