Year,Value,Units,GeoCode
1999.0,14.9,Prozent,
2000.0,14.9,Prozent,
2001.0,12.5,Prozent,
2002.0,12.6,Prozent,
2003.0,12.8,Prozent,
2004.0,12.1,Prozent,
2005.0,13.83,Prozent,
2006.0,14.09,Prozent,
2007.0,12.73,Prozent,
2008.0,11.8,Prozent,
2009.0,11.1,Prozent,
2010.0,11.86,Prozent,
2011.0,11.56,Prozent,
2012.0,10.37,Prozent,
2013.0,9.81,Prozent,
2014.0,9.53,Prozent,
2015.0,9.82,Prozent,
2016.0,10.3,Prozent,
2017.0,10.11,Prozent,
2018.0,10.34,Prozent,
2019.0,10.34,Prozent,
2020.0,10.1,Prozent,
2021.0,11.6,Prozent,
1999.0,14.9,Prozent,
2000.0,14.9,Prozent,
2001.0,12.5,Prozent,
2002.0,12.6,Prozent,
2003.0,12.8,Prozent,
2004.0,12.1,Prozent,
2005.0,13.83,Prozent,
2006.0,14.09,Prozent,
2007.0,12.73,Prozent,
2008.0,11.8,Prozent,
2009.0,11.1,Prozent,
2010.0,11.86,Prozent,
2011.0,11.56,Prozent,
2012.0,10.37,Prozent,
2013.0,9.81,Prozent,
2014.0,9.53,Prozent,
2015.0,9.82,Prozent,
2016.0,10.3,Prozent,
2017.0,10.11,Prozent,
2018.0,10.34,Prozent,
2019.0,10.34,Prozent,
2020.0,10.1,Prozent,
2020.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
