Year,Value,Units,GeoCode
1999.0,33.35,Prozent,
2010.0,41.31,Prozent,
2011.0,42.22,Prozent,
2012.0,43.43,Prozent,
2013.0,44.48,Prozent,
2014.0,45.67,Prozent,
2015.0,46.77,Prozent,
2016.0,47.88,Prozent,
2017.0,48.84,Prozent,
2018.0,49.83,Prozent,
2019.0,50.49,Prozent,
2020.0,52.3,Prozent,
2021.0,53.3,Prozent,
1999.0,33.35,Prozent,
2000.0,33.0,Prozent,
2001.0,33.17,Prozent,
2002.0,33.28,Prozent,
2003.0,33.89,Prozent,
2004.0,36.22,Prozent,
2005.0,35.99,Prozent,
2006.0,36.5,Prozent,
2007.0,37.63,Prozent,
2008.0,38.77,Prozent,
2009.0,40.71,Prozent,
2010.0,41.31,Prozent,
2011.0,42.22,Prozent,
2012.0,43.43,Prozent,
2013.0,44.48,Prozent,
2014.0,45.67,Prozent,
2015.0,46.77,Prozent,
2016.0,47.88,Prozent,
2017.0,48.84,Prozent,
2018.0,49.83,Prozent,
2019.0,50.49,Prozent,
2020.0,52.3,Prozent,
2020.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
2030.0,,Prozent,
