Year,Value,Units,GeoCode
2006.0,23.0,Prozent,
2007.0,23.0,Prozent,
2008.0,23.0,Prozent,
2009.0,23.0,Prozent,
2010.0,22.0,Prozent,
2011.0,22.0,Prozent,
2012.0,23.0,Prozent,
2013.0,22.0,Prozent,
2014.0,22.0,Prozent,
2015.0,22.0,Prozent,
2016.0,21.0,Prozent,
2017.0,20.0,Prozent,
2018.0,20.0,Prozent,
2019.0,19.0,Prozent,
2020.0,18.0,Prozent,
2021.0,18.0,Prozent,
2006.0,23.0,Prozent,
2007.0,23.0,Prozent,
2008.0,23.0,Prozent,
2009.0,23.0,Prozent,
2010.0,22.0,Prozent,
2011.0,22.0,Prozent,
2012.0,23.0,Prozent,
2013.0,22.0,Prozent,
2014.0,22.0,Prozent,
2015.0,22.0,Prozent,
2016.0,21.0,Prozent,
2017.0,20.0,Prozent,
2018.0,20.0,Prozent,
2019.0,19.0,Prozent,
2020.0,18.0,Prozent,
2020.0,,Prozent,
