Year,Value,Units
2000,-1.58,Prozent
2001,-3.03,Prozent
2002,-3.87,Prozent
2003,-3.7,Prozent
2004,-3.33,Prozent
2005,-3.32,Prozent
2006,-1.65,Prozent
2007,0.26,Prozent
2008,-0.12,Prozent
2009,-3.15,Prozent
2010,-4.38,Prozent
2011,-0.88,Prozent
2012,0.01,Prozent
2013,0.04,Prozent
2014,0.58,Prozent
2015,0.96,Prozent
2016,1.16,Prozent
2017,1.34,Prozent
2018,1.91,Prozent
2019,1.47,Prozent
2020,-4.31,Prozent
2021,-3.71,Prozent
2005,-2.2,Prozent
2006,-1.8,Prozent
2007,-0.7,Prozent
2008,-0.6,Prozent
2009,-0.5,Prozent
2010,-2.1,Prozent
2011,-1.2,Prozent
2012,0.1,Prozent
2013,0.6,Prozent
2014,0.9,Prozent
2015,1.1,Prozent
2016,1.0,Prozent
2017,0.7,Prozent
2018,1.3,Prozent
2019,0.8,Prozent
2020,-2.0,Prozent
2021,-2.1,Prozent
